episode,step,time,dir_0,dir_1,dir_2,dir_3,phase,total_waiting,vehicle_count,avg_travel_time
1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,1,5.0,0.0,0.0,0.0,0.0,0,0.0,1.0,4.0
1,2,10.0,0.0,0.0,0.0,0.0,0,0.0,1.0,9.0
1,3,15.0,0.0,0.0,0.0,0.0,1,0.0,1.0,14.0
1,4,20.0,0.0,0.0,0.0,0.0,0,0.0,2.0,11.5
1,5,25.0,0.0,0.0,0.0,0.0,0,0.0,3.0,9.25
1,6,30.0,0.0,0.0,0.0,0.0,0,0.0,6.0,10.166666666666666
1,7,35.0,0.0,0.0,1.0,0.0,0,1.0,10.0,9.9
1,8,40.0,0.0,0.0,1.0,0.0,0,1.0,11.0,13.727272727272727
1,9,45.0,0.0,0.0,0.0,0.0,1,0.0,14.0,15.285714285714286
1,10,50.0,0.0,0.0,0.0,0.0,0,0.0,16.0,18.1875
1,11,55.0,0.0,0.0,0.0,0.0,0,0.0,17.0,22.058823529411764
1,12,60.0,0.0,0.0,0.0,0.0,0,0.0,20.0,23.6
1,13,65.0,0.0,1.0,0.0,0.0,0,1.0,25.0,23.32
1,14,70.0,0.0,2.0,0.0,0.0,0,2.0,29.0,24.896551724137932
1,15,75.0,1.0,3.0,0.0,0.0,0,4.0,28.0,28.866666666666667
1,16,80.0,1.0,5.0,0.0,0.0,0,6.0,27.0,33.46666666666667
1,17,85.0,1.0,2.0,0.0,0.0,1,3.0,28.0,34.666666666666664
1,18,90.0,1.0,4.0,0.0,0.0,0,5.0,26.0,38.63636363636363
1,19,95.0,3.0,3.0,0.0,1.0,1,7.0,24.0,42.27272727272727
1,20,100.0,4.0,2.0,0.0,2.0,1,8.0,25.0,43.457142857142856
1,21,105.0,2.0,4.0,0.0,0.0,0,6.0,24.0,46.91428571428571
1,22,110.0,2.0,8.0,0.0,0.0,0,10.0,26.0,47.729729729729726
1,23,115.0,2.0,3.0,0.0,1.0,1,6.0,25.0,47.375
1,24,120.0,2.0,3.0,0.0,1.0,1,6.0,28.0,48.285714285714285
1,25,125.0,2.0,3.0,0.0,1.0,1,6.0,31.0,45.416666666666664
1,26,130.0,2.0,3.0,0.0,0.0,0,5.0,31.0,46.8
1,27,135.0,2.0,3.0,0.0,0.0,0,5.0,30.0,48.92156862745098
1,28,140.0,2.0,3.0,0.0,0.0,1,5.0,31.0,49.84905660377358
1,29,145.0,2.0,3.0,0.0,0.0,0,5.0,29.0,52.64150943396226
1,30,150.0,2.0,5.0,0.0,0.0,0,7.0,29.0,53.345454545454544
1,31,155.0,3.0,5.0,0.0,1.0,1,9.0,28.0,54.857142857142854
1,32,160.0,2.0,6.0,0.0,1.0,0,9.0,30.0,54.54237288135593
1,33,165.0,4.0,3.0,0.0,1.0,1,8.0,31.0,53.57142857142857
1,34,170.0,5.0,3.0,0.0,1.0,1,9.0,33.0,52.92537313432836
1,35,175.0,5.0,3.0,0.0,1.0,1,9.0,35.0,52.436619718309856
1,36,180.0,2.0,4.0,0.0,1.0,0,7.0,36.0,52.810810810810814
1,37,185.0,3.0,4.0,0.0,1.0,1,8.0,37.0,53.88157894736842
1,38,190.0,3.0,4.0,0.0,1.0,0,8.0,36.0,56.28947368421053
1,39,195.0,4.0,5.0,0.0,1.0,1,10.0,35.0,58.61842105263158
2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,1,5.0,0.0,0.0,0.0,0.0,1,0.0,1.0,4.0
2,2,10.0,0.0,0.0,0.0,0.0,1,0.0,1.0,9.0
2,3,15.0,0.0,0.0,0.0,0.0,0,0.0,1.0,14.0
2,4,20.0,0.0,0.0,0.0,0.0,0,0.0,2.0,11.5
2,5,25.0,0.0,0.0,0.0,0.0,0,0.0,3.0,9.25
2,6,30.0,0.0,0.0,0.0,0.0,0,0.0,6.0,10.166666666666666
2,7,35.0,0.0,0.0,0.0,0.0,1,0.0,10.0,9.9
2,8,40.0,0.0,0.0,0.0,0.0,0,0.0,11.0,13.727272727272727
2,9,45.0,0.0,0.0,0.0,0.0,0,0.0,14.0,15.285714285714286
2,10,50.0,0.0,0.0,0.0,0.0,0,0.0,16.0,18.1875
2,11,55.0,0.0,0.0,0.0,0.0,1,0.0,17.0,22.058823529411764
2,12,60.0,2.0,0.0,0.0,2.0,1,4.0,19.0,23.55
2,13,65.0,3.0,0.0,0.0,3.0,1,6.0,24.0,23.08
2,14,70.0,3.0,0.0,0.0,3.0,1,6.0,28.0,24.517241379310345
2,15,75.0,2.0,1.0,0.0,0.0,0,3.0,28.0,28.433333333333334
2,16,80.0,3.0,0.0,0.0,1.0,1,4.0,27.0,33.03333333333333
2,17,85.0,5.0,0.0,0.0,1.0,1,6.0,30.0,34.45454545454545
2,18,90.0,1.0,2.0,0.0,0.0,0,3.0,30.0,39.0
2,19,95.0,4.0,3.0,0.0,1.0,1,8.0,28.0,43.36363636363637
2,20,100.0,2.0,5.0,0.0,0.0,0,7.0,30.0,45.114285714285714
2,21,105.0,2.0,6.0,0.0,0.0,0,8.0,26.0,49.0
2,22,110.0,2.0,8.0,0.0,0.0,0,10.0,27.0,49.891891891891895
2,23,115.0,2.0,8.0,0.0,0.0,0,10.0,27.0,49.5
2,24,120.0,2.0,4.0,0.0,0.0,1,6.0,27.0,50.30952380952381
2,25,125.0,2.0,3.0,0.0,0.0,1,5.0,31.0,47.166666666666664
2,26,130.0,2.0,3.0,0.0,1.0,1,6.0,30.0,48.42
2,27,135.0,2.0,3.0,0.0,0.0,0,5.0,29.0,50.372549019607845
2,28,140.0,2.0,3.0,0.0,0.0,1,5.0,31.0,51.24528301886792
2,29,145.0,2.0,3.0,0.0,0.0,0,5.0,30.0,54.075471698113205
2,30,150.0,2.0,5.0,0.0,0.0,0,7.0,30.0,54.81818181818182
2,31,155.0,2.0,7.0,0.0,1.0,0,10.0,29.0,56.410714285714285
2,32,160.0,2.0,3.0,0.0,1.0,1,6.0,30.0,56.03389830508475
2,33,165.0,4.0,3.0,0.0,1.0,1,8.0,32.0,55.01587301587302
2,34,170.0,5.0,3.0,0.0,1.0,1,9.0,33.0,54.298507462686565
2,35,175.0,2.0,4.0,0.0,1.0,0,7.0,35.0,53.732394366197184
2,36,180.0,2.0,5.0,1.0,1.0,0,9.0,36.0,54.054054054054056
2,37,185.0,2.0,3.0,0.0,1.0,1,6.0,37.0,55.06578947368421
2,38,190.0,3.0,4.0,0.0,1.0,0,8.0,36.0,57.473684210526315
2,39,195.0,3.0,5.0,0.0,1.0,1,9.0,35.0,59.80263157894737
3,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3,1,5.0,0.0,0.0,0.0,0.0,1,0.0,1.0,4.0
3,2,10.0,0.0,0.0,0.0,0.0,0,0.0,1.0,9.0
3,3,15.0,0.0,0.0,0.0,0.0,1,0.0,1.0,14.0
3,4,20.0,0.0,0.0,0.0,0.0,0,0.0,2.0,11.5
3,5,25.0,0.0,0.0,0.0,0.0,0,0.0,3.0,9.25
3,6,30.0,0.0,0.0,0.0,0.0,1,0.0,6.0,10.166666666666666
3,7,35.0,0.0,0.0,0.0,0.0,1,0.0,10.0,9.9
3,8,40.0,0.0,0.0,0.0,0.0,1,0.0,11.0,13.727272727272727
3,9,45.0,0.0,0.0,0.0,0.0,1,0.0,14.0,15.285714285714286
3,10,50.0,0.0,0.0,0.0,0.0,0,0.0,16.0,18.1875
3,11,55.0,0.0,0.0,0.0,0.0,0,0.0,17.0,22.058823529411764
3,12,60.0,0.0,0.0,0.0,1.0,1,1.0,19.0,23.45
3,13,65.0,0.0,1.0,0.0,0.0,0,1.0,24.0,23.0
3,14,70.0,0.0,2.0,0.0,0.0,0,2.0,28.0,24.448275862068964
