episode,step,time,dir_0,dir_1,dir_2,dir_3,phase,total_waiting,vehicle_count,avg_travel_time
1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,1,5.0,0.0,0.0,0.0,0.0,0,0.0,12.0,5.0
1,2,10.0,0.0,0.0,0.0,0.0,0,0.0,24.0,7.5
1,3,15.0,0.0,0.0,0.0,0.0,1,0.0,36.0,10.0
1,4,20.0,0.0,0.0,0.0,0.0,0,0.0,48.0,12.5
1,5,25.0,1.0,1.0,1.0,1.0,0,4.0,60.0,15.0
1,6,30.0,2.0,2.0,2.0,2.0,0,8.0,72.0,17.5
1,7,35.0,3.0,3.0,3.0,3.0,0,12.0,84.0,20.0
1,8,40.0,4.0,4.0,4.0,4.0,0,16.0,96.0,22.5
1,9,45.0,0.0,5.0,5.0,0.0,1,10.0,102.0,24.73148148148148
1,10,50.0,3.0,6.0,6.0,3.0,0,18.0,108.0,26.783333333333335
1,11,55.0,4.0,8.0,7.0,4.0,0,23.0,114.0,28.689393939393938
1,12,60.0,5.0,9.0,8.0,5.0,0,27.0,120.0,30.48611111111111
1,13,65.0,7.0,10.0,9.0,6.0,0,32.0,122.0,32.15384615384615
1,14,70.0,8.0,10.0,11.0,7.0,0,36.0,127.0,33.69047619047619
1,15,75.0,9.0,11.0,12.0,9.0,0,41.0,132.0,35.138888888888886
1,16,80.0,9.0,12.0,13.0,10.0,0,44.0,138.0,36.5625
1,17,85.0,5.0,14.0,14.0,4.0,1,37.0,144.0,37.94117647058823
1,18,90.0,4.0,15.0,15.0,5.0,0,39.0,150.0,39.31944444444444
1,19,95.0,2.0,16.0,16.0,2.0,1,36.0,156.0,40.671052631578945
1,20,100.0,2.0,16.0,17.0,1.0,1,37.0,162.0,42.02916666666667
1,21,105.0,2.0,17.0,17.0,3.0,0,41.0,164.0,43.34126984126984
1,22,110.0,6.0,17.0,18.0,5.0,0,49.0,168.0,44.59469696969697
1,23,115.0,4.0,17.0,19.0,2.0,1,46.0,170.0,45.789855072463766
1,24,120.0,1.0,18.0,20.0,0.0,1,43.0,172.0,46.916666666666664
1,25,125.0,0.0,19.0,20.0,0.0,1,44.0,175.0,47.986666666666665
1,26,130.0,3.0,20.0,20.0,2.0,0,51.0,179.0,49.01923076923077
1,27,135.0,4.0,20.0,20.0,3.0,0,55.0,183.0,50.05864197530864
1,28,140.0,0.0,20.0,20.0,0.0,1,50.0,185.0,51.06547619047619
1,29,145.0,2.0,20.0,20.0,2.0,0,56.0,187.0,52.03448275862069
1,30,150.0,3.0,20.0,20.0,3.0,0,60.0,191.0,52.99722222222222
1,31,155.0,0.0,20.0,20.0,0.0,1,56.0,195.0,53.916666666666664
1,32,160.0,2.0,20.0,20.0,2.0,0,62.0,197.0,54.8359375
1,33,165.0,0.0,20.0,20.0,0.0,1,60.0,200.0,55.717171717171716
1,34,170.0,0.0,20.0,20.0,0.0,1,62.0,206.0,56.6078431372549
1,35,175.0,0.0,20.0,20.0,0.0,1,66.0,208.0,57.50238095238095
1,36,180.0,1.0,20.0,20.0,1.0,0,70.0,212.0,58.379629629629626
