step,sim_time,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,-1.2000000000000002,0.0,12,5.0
1,10.0,-2.4000000000000004,0.0,24,7.5
2,15.0,-3.6,0.0,36,10.0
3,20.0,-4.800000000000001,0.0,48,12.5
4,25.0,-7.0,1.0,60,15.0
5,30.0,-9.2,2.0,72,17.5
6,35.0,-10.4,2.0,84,20.0
7,40.0,-15.600000000000001,6.0,96,22.5
8,45.0,-18.200000000000003,8.0,102,24.75
9,50.0,-20.8,10.0,108,26.8
10,55.0,-18.4,7.0,114,28.75
11,60.0,-20.0,8.0,120,30.541666666666668
12,65.0,-23.3,11.0,123,32.282051282051285
13,70.0,-24.6,12.0,126,33.74404761904762
14,75.0,-20.0,7.0,130,35.17777777777778
15,80.0,-24.4,11.0,134,36.484375
16,85.0,-29.700000000000003,16.0,137,37.794117647058826
17,90.0,-31.9,18.0,139,38.925925925925924
18,95.0,-28.3,14.0,143,40.06578947368421
19,100.0,-28.700000000000003,14.0,147,41.141666666666666
20,105.0,-30.1,15.0,151,42.25396825396825
21,110.0,-35.5,20.0,155,43.28030303030303
22,115.0,-29.9,14.0,159,44.32971014492754
23,120.0,-31.3,16.0,163,45.31597222222222
24,125.0,-37.5,23.0,165,46.336666666666666
25,130.0,-41.7,27.0,167,47.23717948717949
26,135.0,-40.1,23.0,171,48.17283950617284
27,140.0,-41.5,24.0,175,49.05952380952381
28,145.0,-45.7,28.0,177,49.98275862068966
29,150.0,-49.0,31.0,180,50.82222222222222
30,155.0,-43.400000000000006,28.0,184,51.69086021505376
31,160.0,-42.8,28.0,188,52.53125
32,165.0,-45.0,30.0,190,53.406565656565654
33,170.0,-51.2,37.0,192,54.193627450980394
34,175.0,-51.6,33.0,196,55.01190476190476
35,180.0,-52.0,32.0,200,55.80555555555556
36,185.0,-55.2,37.0,202,56.63288288288288
37,190.0,-56.400000000000006,38.0,204,57.3859649122807
38,195.0,-52.8,34.0,208,58.164529914529915
39,200.0,-52.2,36.0,212,58.922916666666666
