step,sim_time,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,-1.2000000000000002,0.0,12,5.0
1,10.0,-2.4000000000000004,0.0,24,7.5
2,15.0,-3.6,0.0,36,10.0
3,20.0,-4.800000000000001,0.0,48,12.5
4,25.0,-7.0,1.0,60,15.0
5,30.0,-9.2,2.0,72,17.5
6,35.0,-8.4,0.0,84,20.0
7,40.0,-11.600000000000001,2.0,96,22.5
8,45.0,-13.200000000000001,3.0,102,24.75
9,50.0,-15.8,5.0,108,26.8
10,55.0,-13.3,2.0,113,28.734848484848484
11,60.0,-16.9,5.0,119,30.493055555555557
12,65.0,-18.0,6.0,120,32.1025641025641
13,70.0,-19.1,7.0,121,33.51190476190476
14,75.0,-17.200000000000003,5.0,122,34.74444444444445
15,80.0,-17.200000000000003,5.0,122,35.875
16,85.0,-20.0,8.0,120,36.77450980392157
17,90.0,-24.5,12.0,125,37.64351851851852
18,95.0,-20.0,7.0,130,38.55263157894737
19,100.0,-24.5,11.0,135,39.458333333333336
20,105.0,-26.8,13.0,138,40.36507936507937
21,110.0,-29.200000000000003,15.0,142,41.291666666666664
22,115.0,-30.3,16.0,143,42.1231884057971
23,120.0,-32.5,18.0,145,42.90625
24,125.0,-31.3,16.0,153,43.74333333333333
25,130.0,-35.1,19.0,161,44.6474358974359
26,135.0,-38.900000000000006,22.0,169,45.611111111111114
27,140.0,-36.1,19.0,171,46.598214285714285
28,145.0,-40.1,23.0,171,47.479885057471265
29,150.0,-43.400000000000006,26.0,174,48.327777777777776
30,155.0,-49.2,31.0,182,49.21774193548387
31,160.0,-43.6,25.0,186,50.140625
32,165.0,-43.1,24.0,191,51.04040404040404
33,170.0,-45.900000000000006,27.0,199,51.9828431372549
34,175.0,-54.7,35.0,207,52.96666666666667
35,180.0,-57.1,37.0,211,53.97222222222222
36,185.0,-59.5,40.0,215,54.94144144144144
37,190.0,-52.7,32.0,217,55.93201754385965
38,195.0,-51.900000000000006,33.0,219,56.83974358974359
39,200.0,-56.7,39.0,227,57.7875
