file,rows,final_step,final_sim_time,final_reward,final_total_waiting,final_vehicle_count,final_avg_travel_time,final_eval_wait_only_reward,final_avg_waiting,final_final_waiting,final_decision_step,final_time,final_action,final_phase_id,final_state_north_bucket,final_state_east_bucket,final_state_south_bucket,final_state_west_bucket,final_episode,final_total_reward,final_mean_reward_per_decision,final_final_avg_travel_time,final_epsilon,final_state_phase_bucket,final_state_north_count,final_state_east_count,final_state_south_count,final_state_west_count,final_state_phase,final_num_decisions,final_run,final_mean_total_reward,final_mean_final_waiting,final_mean_avg_waiting,final_mean_avg_travel_time,final_baseline_mean_total_reward,final_baseline_mean_final_waiting,final_baseline_mean_avg_waiting,final_baseline_mean_avg_travel_time
results/baseline/fixed_ep1.csv,40,39.0,200.0,-52.2,36.0,212.0,58.922916666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/baseline/fixed_ep2.csv,40,39.0,200.0,-52.2,36.0,212.0,58.922916666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/baseline/fixed_ep3.csv,40,39.0,200.0,-52.2,36.0,212.0,58.922916666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/baseline/fixed_ep4.csv,40,39.0,200.0,-52.2,36.0,212.0,58.922916666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/baseline/fixed_ep5.csv,40,39.0,200.0,-52.2,36.0,212.0,58.922916666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/baseline/random_ep1.csv,40,39.0,200.0,-58.400000000000006,45.0,214.0,61.045833333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/baseline/random_ep2.csv,40,39.0,200.0,-61.900000000000006,45.0,239.0,63.7875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/baseline/random_ep3.csv,40,39.0,200.0,-56.0,35.0,230.0,60.96875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/baseline/random_ep4.csv,40,39.0,200.0,-59.8,42.0,228.0,59.358333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/baseline/random_ep5.csv,40,39.0,200.0,-56.7,39.0,227.0,57.7875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/hangzhou_comparison/comparison_single_run.csv,17,,,,,,74.6358988011127,-2315.0,16.07638888888889,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_bucketed_no_phase_default_reward/q_learning_trace.csv,144,,,-58.0,58.0,63.0,85.06389776357827,,,,143.0,720.0,2.0,3.0,0.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_bucketed_no_phase_default_reward/q_learning_training.csv,2000,,,,,,,,5.131944444444445,18.0,,,,,,,,,2000.0,-739.0,-5.131944444444445,70.6773162939297,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_bucketed_no_phase_delta_wait/training.csv,2000,,,,,,,,,7.0,,,,,,,,,2000.0,-7.0,,67.3738019169329,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_bucketed_no_phase_wait_small_vehicle/q_learning_trace.csv,144,,,-23.3,21.0,46.0,72.91693290734824,,,,143.0,720.0,7.0,8.0,0.0,2.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_bucketed_no_phase_wait_small_vehicle/q_learning_training.csv,2000,,,,,,,,7.729166666666667,21.0,,,,,,,,,2000.0,-1350.15,-9.376041666666667,76.17252396166134,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_bucketed_no_phase_wait_vehicle/q_learning_trace.csv,144,,,-85.2,77.0,82.0,92.47284345047925,,,,143.0,720.0,2.0,3.0,2.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_bucketed_no_phase_wait_vehicle/q_learning_training.csv,2000,,,,,,,,9.34722222222222,21.0,,,,,,,,,2000.0,-1857.1000000000008,-12.896527777777775,82.07987220447285,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_bucketed_with_phase_default_reward/q_learning_trace.csv,144,,,-42.0,42.0,62.0,93.41214057507987,,,,143.0,720.0,3.0,4.0,0.0,3.0,3.0,2.0,,,,,,3.0,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_bucketed_with_phase_default_reward/q_learning_training.csv,2000,,,,,,,,21.9375,47.0,,,,,,,,,2000.0,-3159.0,-21.9375,112.78274760383388,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_bucketed_with_phase_delta_wait/q_learning_trace.csv,144,,,-1.0,7.0,33.0,69.74760383386581,,,,143.0,720.0,7.0,8.0,0.0,2.0,0.0,2.0,,,,,,7.0,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_bucketed_with_phase_delta_wait/q_learning_training.csv,2000,,,,,,,,4.270833333333333,7.0,,,,,,,,,2000.0,-7.0,-0.0486111111111111,70.65495207667732,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_bucketed_with_phase_wait_small_vehicle/q_learning_trace.csv,144,,,-24.3,22.0,46.0,87.19808306709265,,,,143.0,720.0,0.0,1.0,0.0,4.0,3.0,2.0,,,,,,0.0,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_bucketed_with_phase_wait_small_vehicle/q_learning_training.csv,2000,,,,,,,,11.131944444444445,16.0,,,,,,,,,2000.0,-1879.0499999999995,-13.048958333333331,88.6773162939297,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_bucketed_with_phase_wait_vehicle/q_learning_trace.csv,144,,,-55.6,47.0,86.0,121.52396166134186,,,,143.0,720.0,3.0,4.0,3.0,3.0,3.0,4.0,,,,,,3.0,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_bucketed_with_phase_wait_vehicle/q_learning_training.csv,2000,,,,,,,,11.15972222222222,21.0,,,,,,,,,2000.0,-2145.1999999999994,-14.89722222222222,86.36741214057508,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_capped_no_phase_default_reward/q_learning_trace.csv,144,,,-40.0,40.0,63.0,93.3035143769968,,,,143.0,720.0,0.0,1.0,,,,,,,,,,,0.0,10.0,10.0,10.0,,,,,,,,,,,
