episode,total_reward,mean_reward_per_decision,final_waiting,avg_waiting,final_avg_travel_time,epsilon
1,-2900.0,-20.13888888888889,47.0,20.13888888888889,108.04472843450479,0.997
2,-3355.0,-23.29861111111111,34.0,23.29861111111111,118.61661341853035,0.994009
3,-4046.0,-28.09722222222222,37.0,28.09722222222222,131.34504792332268,0.991026973
4,-3997.0,-27.756944444444443,47.0,27.756944444444443,133.24600638977637,0.988053892081
5,-3151.0,-21.881944444444443,39.0,21.881944444444443,112.35143769968052,0.985089730404757
6,-3903.0,-27.104166666666668,36.0,27.104166666666668,126.68690095846645,0.9821344612135428
7,-3880.0,-26.944444444444443,52.0,26.944444444444443,135.89137380191693,0.9791880578299021
8,-3789.0,-26.3125,55.0,26.3125,125.61661341853035,0.9762504936564125
9,-4568.0,-31.72222222222222,46.0,31.72222222222222,136.65495207667732,0.9733217421754432
10,-2463.0,-17.104166666666668,38.0,17.104166666666668,100.91054313099042,0.9704017769489168
11,-4252.0,-29.52777777777778,50.0,29.52777777777778,135.26198083067092,0.9674905716180701
12,-4056.0,-28.166666666666668,41.0,28.166666666666668,132.14376996805112,0.9645880999032158
13,-4333.0,-30.09027777777778,54.0,30.09027777777778,132.14696485623003,0.9616943356035061
14,-3326.0,-23.09722222222222,34.0,23.09722222222222,117.30670926517571,0.9588092525966956
15,-3399.0,-23.604166666666668,40.0,23.604166666666668,117.47603833865814,0.9559328248389055
16,-3909.0,-27.145833333333332,40.0,27.145833333333332,132.2523961661342,0.9530650263643888
17,-4232.0,-29.38888888888889,41.0,29.38888888888889,129.0,0.9502058312852957
18,-3640.0,-25.27777777777778,43.0,25.27777777777778,120.5814696485623,0.9473552137914398
19,-3307.0,-22.96527777777778,51.0,22.96527777777778,113.98402555910543,0.9445131481500655
20,-3252.0,-22.583333333333332,49.0,22.583333333333332,116.66453674121406,0.9416796087056153
21,-3436.0,-23.86111111111111,47.0,23.86111111111111,120.6773162939297,0.9388545698794984
22,-3790.0,-26.319444444444443,49.0,26.319444444444443,125.53993610223642,0.93603800616986
23,-3454.0,-23.98611111111111,53.0,23.98611111111111,115.60383386581469,0.9332298921513504
24,-3516.0,-24.416666666666668,30.0,24.416666666666668,121.38977635782747,0.9304302024748964
25,-3894.0,-27.041666666666668,38.0,27.041666666666668,129.1405750798722,0.9276389118674717
26,-3228.0,-22.416666666666668,39.0,22.416666666666668,115.4408945686901,0.9248559951318693
27,-3415.0,-23.71527777777778,41.0,23.71527777777778,118.85303514376997,0.9220814271464737
28,-3266.0,-22.680555555555557,66.0,22.680555555555557,109.7667731629393,0.9193151828650342
29,-2886.0,-20.041666666666668,52.0,20.041666666666668,106.08945686900958,0.9165572373164391
30,-3321.0,-23.0625,44.0,23.0625,114.57188498402556,0.9138075656044898
31,-3877.0,-26.92361111111111,47.0,26.92361111111111,126.05111821086263,0.9110661429076764
32,-3603.0,-25.020833333333332,49.0,25.020833333333332,119.97444089456869,0.9083329444789534
33,-3529.0,-24.506944444444443,48.0,24.506944444444443,121.33546325878594,0.9056079456455165
34,-2816.0,-19.555555555555557,32.0,19.555555555555557,108.73162939297124,0.90289112180858
35,-3812.0,-26.47222222222222,30.0,26.47222222222222,126.08945686900958,0.9001824484431542
36,-3363.0,-23.354166666666668,40.0,23.354166666666668,120.52076677316293,0.8974819010978248
37,-3730.0,-25.90277777777778,59.0,25.90277777777778,122.21086261980831,0.8947894553945313
38,-4149.0,-28.8125,57.0,28.8125,132.2140575079872,0.8921050870283477
39,-3800.0,-26.38888888888889,40.0,26.38888888888889,127.04153354632588,0.8894287717672626
40,-2710.0,-18.819444444444443,35.0,18.819444444444443,103.39936102236422,0.8867604854519608
41,-3772.0,-26.194444444444443,55.0,26.194444444444443,123.16932907348243,0.884100203995605
42,-3687.0,-25.604166666666668,44.0,25.604166666666668,122.40894568690096,0.8814479033836181
43,-3716.0,-25.805555555555557,31.0,25.805555555555557,125.15335463258786,0.8788035596734672
44,-3797.0,-26.368055555555557,26.0,26.368055555555557,123.25239616613419,0.8761671489944468
45,-3894.0,-27.041666666666668,47.0,27.041666666666668,130.72843450479232,0.8735386475474635
46,-3898.0,-27.069444444444443,54.0,27.069444444444443,128.31629392971246,0.8709180316048211
47,-4102.0,-28.48611111111111,47.0,28.48611111111111,131.18210862619807,0.8683052775100066
48,-3238.0,-22.48611111111111,37.0,22.48611111111111,115.45686900958466,0.8657003616774767
49,-3464.0,-24.055555555555557,39.0,24.055555555555557,119.8370607028754,0.8631032605924442
50,-3021.0,-20.979166666666668,38.0,20.979166666666668,108.69968051118211,0.860513950810667
51,-3642.0,-25.291666666666668,51.0,25.291666666666668,118.93610223642173,0.857932408958235
52,-2055.0,-14.270833333333334,36.0,14.270833333333334,92.79872204472844,0.8553586117313603
