decision_step,time,action,phase_id,state_north_bucket,state_east_bucket,state_south_bucket,state_west_bucket,state_phase_bucket,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,3,4,0,0,0,0,3,-0.0,0.0,1,4.0
1,10.0,7,8,0,0,0,0,7,-0.0,0.0,1,9.0
2,15.0,0,1,0,0,0,0,0,-0.0,0.0,1,14.0
3,20.0,3,4,0,0,0,0,3,-0.0,0.0,2,11.5
4,25.0,7,8,0,0,0,0,7,-0.0,0.0,3,9.25
5,30.0,0,1,0,0,0,0,0,-0.0,0.0,6,10.166666666666666
6,35.0,3,4,0,0,1,0,3,-1.0,1.0,10,9.9
7,40.0,3,4,0,0,1,0,3,-1.0,1.0,11,13.727272727272727
8,45.0,3,4,0,0,1,0,3,-1.0,1.0,14,15.285714285714286
9,50.0,3,4,0,0,1,1,3,-2.0,2.0,16,18.1875
10,55.0,3,4,0,0,1,2,3,-4.0,4.0,17,22.058823529411764
11,60.0,6,7,1,0,1,2,6,-7.0,7.0,20,23.6
12,65.0,4,5,0,1,1,2,4,-7.0,7.0,25,23.32
13,70.0,6,7,1,0,1,2,6,-7.0,7.0,29,24.896551724137932
14,75.0,4,5,0,1,1,2,4,-8.0,8.0,30,29.066666666666666
15,80.0,6,7,1,1,1,2,6,-8.0,8.0,30,34.06666666666667
16,85.0,2,3,1,2,1,2,2,-10.0,10.0,33,35.84848484848485
17,90.0,6,7,1,1,1,2,6,-10.0,10.0,33,40.84848484848485
18,95.0,2,3,2,2,1,3,2,-13.0,13.0,31,45.63636363636363
19,100.0,3,4,2,3,1,3,3,-18.0,18.0,31,47.57142857142857
20,105.0,1,2,2,1,0,3,1,-13.0,13.0,29,51.8
21,110.0,0,1,0,1,0,3,0,-8.0,8.0,30,52.945945945945944
22,115.0,6,7,1,1,0,2,6,-9.0,9.0,32,52.9
23,120.0,1,2,1,0,0,3,1,-8.0,8.0,33,54.214285714285715
24,125.0,6,7,1,0,0,3,6,-10.0,10.0,37,51.166666666666664
25,130.0,4,5,0,1,0,3,4,-9.0,9.0,37,52.9
26,135.0,3,4,0,1,0,3,3,-9.0,9.0,36,55.450980392156865
27,140.0,6,7,0,0,1,3,6,-9.0,9.0,35,56.60377358490566
28,145.0,7,8,1,1,0,3,7,-10.0,10.0,33,59.79245283018868
29,150.0,1,2,2,0,0,3,1,-12.0,12.0,33,60.58181818181818
30,155.0,3,4,2,1,0,3,3,-17.0,17.0,32,62.32142857142857
31,160.0,6,7,3,0,0,3,6,-17.0,17.0,33,61.898305084745765
32,165.0,1,2,3,0,0,3,1,-18.0,18.0,36,60.79365079365079
33,170.0,5,6,3,1,0,2,5,-14.0,14.0,38,60.08955223880597
34,175.0,1,2,3,0,0,2,1,-11.0,11.0,41,59.563380281690144
35,180.0,0,1,2,1,0,1,0,-8.0,8.0,42,60.04054054054054
36,185.0,4,5,2,1,0,1,4,-7.0,7.0,44,61.35526315789474
37,190.0,0,1,1,2,1,1,0,-6.0,6.0,43,64.22368421052632
38,195.0,2,3,1,3,2,1,2,-12.0,12.0,42,66.98684210526316
39,200.0,1,2,2,2,1,2,1,-11.0,11.0,39,69.59210526315789
40,205.0,6,7,2,1,1,2,6,-9.0,9.0,37,72.03947368421052
41,210.0,6,7,2,0,2,2,6,-11.0,11.0,34,73.36363636363636
42,215.0,0,1,0,1,3,0,0,-8.0,8.0,33,74.56410256410257
43,220.0,1,2,1,1,2,1,1,-7.0,7.0,30,75.62025316455696
44,225.0,0,1,0,2,2,0,0,-6.0,6.0,32,73.87951807228916
45,230.0,1,2,0,0,1,1,1,-3.0,3.0,35,70.02222222222223
46,235.0,2,3,0,1,2,1,2,-6.0,6.0,35,67.58333333333333
47,240.0,3,4,0,1,2,1,3,-8.0,8.0,38,64.96116504854369
48,245.0,2,3,0,1,2,2,2,-10.0,10.0,39,66.34615384615384
49,250.0,7,8,0,1,0,2,7,-7.0,7.0,38,67.02830188679245
50,255.0,6,7,2,0,1,3,6,-11.0,11.0,38,68.90566037735849
51,260.0,0,1,1,1,1,3,0,-12.0,12.0,37,70.68867924528301
52,265.0,4,5,0,2,1,3,4,-12.0,12.0,39,71.14814814814815
53,270.0,7,8,1,3,0,3,7,-16.0,16.0,40,72.3211009174312
54,275.0,6,7,2,2,0,3,6,-18.0,18.0,42,72.89189189189189
55,280.0,6,7,2,2,0,3,6,-17.0,17.0,40,74.72072072072072
56,285.0,6,7,2,1,0,3,6,-14.0,14.0,41,74.54385964912281
57,290.0,0,1,1,1,0,2,0,-8.0,8.0,41,74.3931623931624
58,295.0,6,7,1,1,0,3,6,-10.0,10.0,40,74.24166666666666
