episode,total_reward,mean_reward_per_decision,final_waiting,avg_waiting,final_avg_travel_time,epsilon
1,-2900.0,-20.13888888888889,47.0,20.13888888888889,108.04472843450479,0.997
2,-3345.0,-23.229166666666668,31.0,23.229166666666668,118.5814696485623,0.994009
3,-4046.0,-28.09722222222222,37.0,28.09722222222222,131.34504792332268,0.991026973
4,-4154.0,-28.84722222222222,47.0,28.84722222222222,138.41214057507986,0.988053892081
5,-3151.0,-21.881944444444443,39.0,21.881944444444443,112.35143769968052,0.985089730404757
6,-3783.0,-26.270833333333332,39.0,26.270833333333332,125.49520766773163,0.9821344612135428
7,-3880.0,-26.944444444444443,52.0,26.944444444444443,135.89137380191693,0.9791880578299021
8,-3710.0,-25.76388888888889,55.0,25.76388888888889,124.52076677316293,0.9762504936564125
9,-4568.0,-31.72222222222222,46.0,31.72222222222222,136.65495207667732,0.9733217421754432
10,-2402.0,-16.680555555555557,39.0,16.680555555555557,99.96485623003196,0.9704017769489168
11,-3957.0,-27.479166666666668,50.0,27.479166666666668,130.45686900958466,0.9674905716180701
12,-3915.0,-27.1875,41.0,27.1875,128.7667731629393,0.9645880999032158
13,-3959.0,-27.493055555555557,50.0,27.493055555555557,125.39616613418531,0.9616943356035061
14,-3268.0,-22.694444444444443,31.0,22.694444444444443,116.7923322683706,0.9588092525966956
15,-3265.0,-22.67361111111111,38.0,22.67361111111111,114.92651757188499,0.9559328248389055
16,-3770.0,-26.180555555555557,41.0,26.180555555555557,130.02875399361022,0.9530650263643888
17,-4068.0,-28.25,41.0,28.25,126.08945686900958,0.9502058312852957
18,-3618.0,-25.125,43.0,25.125,120.52396166134186,0.9473552137914398
19,-3009.0,-20.895833333333332,49.0,20.895833333333332,108.66773162939297,0.9445131481500655
20,-3145.0,-21.84027777777778,49.0,21.84027777777778,114.16613418530352,0.9416796087056153
21,-3154.0,-21.90277777777778,47.0,21.90277777777778,114.30670926517571,0.9388545698794984
22,-3819.0,-26.520833333333332,47.0,26.520833333333332,125.86900958466454,0.93603800616986
23,-3201.0,-22.229166666666668,46.0,22.229166666666668,112.23961661341853,0.9332298921513504
24,-3325.0,-23.09027777777778,30.0,23.09027777777778,118.49201277955271,0.9304302024748964
25,-3712.0,-25.77777777777778,39.0,25.77777777777778,125.39936102236422,0.9276389118674717
26,-3568.0,-24.77777777777778,40.0,24.77777777777778,122.21086261980831,0.9248559951318693
27,-3228.0,-22.416666666666668,34.0,22.416666666666668,116.07667731629392,0.9220814271464737
28,-3094.0,-21.48611111111111,53.0,21.48611111111111,107.64856230031948,0.9193151828650342
29,-2783.0,-19.32638888888889,51.0,19.32638888888889,103.8370607028754,0.9165572373164391
30,-3143.0,-21.82638888888889,29.0,21.82638888888889,112.36741214057508,0.9138075656044898
31,-3962.0,-27.51388888888889,46.0,27.51388888888889,127.09904153354633,0.9110661429076764
32,-3122.0,-21.680555555555557,41.0,21.680555555555557,112.46006389776358,0.9083329444789534
33,-2759.0,-19.15972222222222,39.0,19.15972222222222,108.06709265175719,0.9056079456455165
34,-2807.0,-19.493055555555557,28.0,19.493055555555557,108.69329073482429,0.90289112180858
35,-3981.0,-27.645833333333332,29.0,27.645833333333332,129.93290734824282,0.9001824484431542
