decision_step,time,action,phase_id,state_north_bucket,state_east_bucket,state_south_bucket,state_west_bucket,state_phase_bucket,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,1,2,0,0,0,0,1,-0.0,0.0,1,4.0
1,10.0,2,3,0,0,0,0,2,0.0,0.0,1,9.0
2,15.0,7,8,0,0,0,0,7,0.0,0.0,1,14.0
3,20.0,7,8,0,0,0,0,7,0.0,0.0,2,11.5
4,25.0,7,8,0,0,0,0,7,0.0,0.0,3,9.25
5,30.0,7,8,0,0,0,0,7,0.0,0.0,6,10.166666666666666
6,35.0,7,8,0,0,0,0,7,0.0,0.0,10,9.9
7,40.0,7,8,0,0,0,0,7,0.0,0.0,11,13.727272727272727
8,45.0,7,8,0,0,0,0,7,0.0,0.0,14,15.285714285714286
9,50.0,7,8,0,0,0,1,7,-1.0,1.0,16,18.1875
10,55.0,0,1,0,0,0,0,0,1.0,0.0,17,22.058823529411764
11,60.0,1,2,0,0,0,1,1,-2.0,2.0,19,23.45
12,65.0,5,6,1,1,0,0,5,-1.0,3.0,24,23.0
13,70.0,0,1,0,1,0,0,0,1.0,2.0,28,24.448275862068964
14,75.0,6,7,1,1,0,0,6,0.0,2.0,29,28.466666666666665
15,80.0,6,7,2,0,0,0,6,-1.0,3.0,29,33.3
16,85.0,4,5,0,1,0,0,4,1.0,2.0,29,34.72727272727273
17,90.0,2,3,1,2,0,0,2,-4.0,6.0,29,39.121212121212125
18,95.0,1,2,2,2,0,1,1,-3.0,9.0,27,43.303030303030305
19,100.0,0,1,1,2,0,0,0,4.0,5.0,26,44.57142857142857
20,105.0,6,7,1,1,0,1,6,0.0,5.0,25,48.2
21,110.0,0,1,1,2,0,0,0,-1.0,6.0,25,48.86486486486486
22,115.0,6,7,1,0,0,1,6,4.0,2.0,24,48.2
23,120.0,0,1,1,1,0,0,0,-1.0,3.0,27,48.95238095238095
24,125.0,4,5,0,2,0,0,4,-1.0,4.0,30,45.895833333333336
25,130.0,6,7,0,0,0,1,6,3.0,1.0,29,47.1
26,135.0,1,2,0,0,0,1,1,0.0,1.0,29,49.09803921568628
27,140.0,5,6,0,1,0,0,5,0.0,1.0,29,49.867924528301884
28,145.0,1,2,1,0,0,0,1,0.0,1.0,25,52.320754716981135
29,150.0,1,2,2,0,0,0,1,-2.0,3.0,26,52.74545454545454
