episode,total_reward,mean_reward_per_decision,final_waiting,avg_waiting,final_avg_travel_time,epsilon
1,-47.0,-0.3263888888888889,47.0,20.13888888888889,108.04472843450479,0.997
2,-31.0,-0.2152777777777778,31.0,23.229166666666668,118.5814696485623,0.994009
3,-37.0,-0.2569444444444444,37.0,28.09722222222222,131.34504792332268,0.991026973
4,-47.0,-0.3263888888888889,47.0,28.84722222222222,138.41214057507986,0.988053892081
5,-39.0,-0.2708333333333333,39.0,21.881944444444443,112.35143769968052,0.985089730404757
6,-38.0,-0.2638888888888889,38.0,26.805555555555557,127.27476038338658,0.9821344612135428
7,-46.0,-0.3194444444444444,46.0,26.895833333333332,135.8626198083067,0.9791880578299021
8,-55.0,-0.3819444444444444,55.0,25.76388888888889,124.52076677316293,0.9762504936564125
9,-46.0,-0.3194444444444444,46.0,31.72222222222222,136.65495207667732,0.9733217421754432
10,-39.0,-0.2708333333333333,39.0,16.680555555555557,99.96485623003196,0.9704017769489168
11,-46.0,-0.3194444444444444,46.0,27.02777777777778,128.96485623003196,0.9674905716180701
12,-40.0,-0.2777777777777778,40.0,27.53472222222222,130.88817891373802,0.9645880999032158
13,-50.0,-0.3472222222222222,50.0,27.354166666666668,126.08306709265176,0.9616943356035061
14,-35.0,-0.24305555555555555,35.0,22.9375,116.52715654952077,0.9588092525966956
15,-40.0,-0.2777777777777778,40.0,23.479166666666668,118.15654952076677,0.9559328248389055
16,-40.0,-0.2777777777777778,40.0,25.0,125.22683706070288,0.9530650263643888
17,-40.0,-0.2777777777777778,40.0,29.416666666666668,129.85623003194888,0.9502058312852957
18,-42.0,-0.2916666666666667,42.0,24.95138888888889,120.3035143769968,0.9473552137914398
19,-41.0,-0.2847222222222222,41.0,21.555555555555557,111.35143769968052,0.9445131481500655
20,-49.0,-0.3402777777777778,49.0,21.78472222222222,114.02875399361022,0.9416796087056153
21,-46.0,-0.3194444444444444,46.0,20.27777777777778,110.39936102236422,0.9388545698794984
22,-42.0,-0.2916666666666667,42.0,25.520833333333332,123.61341853035144,0.93603800616986
23,-45.0,-0.3125,45.0,21.54861111111111,110.55271565495208,0.9332298921513504
24,-25.0,-0.1736111111111111,25.0,23.22222222222222,118.84345047923323,0.9304302024748964
25,-34.0,-0.2361111111111111,34.0,26.36111111111111,126.80830670926518,0.9276389118674717
26,-36.0,-0.25,36.0,21.61111111111111,114.8626198083067,0.9248559951318693
27,-36.0,-0.25,36.0,22.25,115.33546325878594,0.9220814271464737
28,-53.0,-0.3680555555555556,53.0,21.36111111111111,107.55271565495208,0.9193151828650342
29,-46.0,-0.3194444444444444,46.0,17.52777777777778,100.8370607028754,0.9165572373164391
30,-39.0,-0.2708333333333333,39.0,19.604166666666668,106.15335463258786,0.9138075656044898
31,-47.0,-0.3263888888888889,47.0,23.4375,116.68690095846645,0.9110661429076764
32,-39.0,-0.2708333333333333,39.0,24.0,118.51437699680511,0.9083329444789534
33,-39.0,-0.2708333333333333,39.0,19.46527777777778,109.56549520766774,0.9056079456455165
34,-30.0,-0.20833333333333334,30.0,17.45138888888889,103.61022364217253,0.90289112180858
35,-29.0,-0.2013888888888889,29.0,24.90277777777778,122.36102236421725,0.9001824484431542
36,-32.0,-0.2222222222222222,32.0,21.52777777777778,114.24281150159744,0.8974819010978248
37,-53.0,-0.3680555555555556,53.0,20.34027777777778,108.47284345047923,0.8947894553945313
38,-55.0,-0.3819444444444444,55.0,27.868055555555557,130.50159744408947,0.8921050870283477
39,-37.0,-0.2569444444444444,37.0,26.208333333333332,126.72843450479233,0.8894287717672626
40,-34.0,-0.2361111111111111,34.0,19.03472222222222,104.1373801916933,0.8867604854519608
41,-45.0,-0.3125,45.0,22.479166666666668,113.18210862619809,0.884100203995605
42,-36.0,-0.25,36.0,21.430555555555557,110.52715654952077,0.8814479033836181
43,-30.0,-0.20833333333333334,30.0,22.78472222222222,118.34824281150159,0.8788035596734672
44,-17.0,-0.11805555555555555,17.0,24.27777777777778,122.2332268370607,0.8761671489944468
45,-50.0,-0.3472222222222222,50.0,21.770833333333332,112.814696485623,0.8735386475474635
46,-54.0,-0.375,54.0,20.32638888888889,107.56869009584665,0.8709180316048211
47,-46.0,-0.3194444444444444,46.0,28.208333333333332,131.93610223642173,0.8683052775100066
48,-35.0,-0.24305555555555555,35.0,21.13888888888889,113.29073482428115,0.8657003616774767
49,-33.0,-0.22916666666666666,33.0,19.645833333333332,109.629392971246,0.8631032605924442
50,-29.0,-0.2013888888888889,29.0,20.52777777777778,109.0223642172524,0.860513950810667
51,-47.0,-0.3263888888888889,47.0,24.02777777777778,117.18210862619809,0.857932408958235
52,-42.0,-0.2916666666666667,42.0,15.48611111111111,95.40894568690096,0.8553586117313603
53,-18.0,-0.125,18.0,18.6875,107.26198083067092,0.8527925358961662
54,-27.0,-0.1875,27.0,17.756944444444443,105.29073482428115,0.8502341582884777
55,-36.0,-0.25,36.0,18.791666666666668,104.27795527156549,0.8476834558136123
56,-47.0,-0.3263888888888889,47.0,21.569444444444443,113.3738019169329,0.8451404054461714
57,-49.0,-0.3402777777777778,49.0,26.993055555555557,127.68370607028754,0.8426049842298329
58,-30.0,-0.20833333333333334,30.0,18.256944444444443,104.56549520766774,0.8400771692771434
59,-14.0,-0.09722222222222222,14.0,12.715277777777779,91.25878594249201,0.837556937769312
60,-56.0,-0.3888888888888889,56.0,19.180555555555557,104.71246006389777,0.835044266956004
61,-39.0,-0.2708333333333333,39.0,16.04861111111111,98.15335463258786,0.8325391341551359
62,-26.0,-0.18055555555555555,26.0,19.805555555555557,111.1405750798722,0.8300415167526705
63,-44.0,-0.3055555555555556,44.0,24.993055555555557,123.185303514377,0.8275513922024125
64,-32.0,-0.2222222222222222,32.0,25.32638888888889,122.84345047923323,0.8250687380258053
65,-38.0,-0.2638888888888889,38.0,21.430555555555557,110.85623003194888,0.8225935318117279
66,-26.0,-0.18055555555555555,26.0,22.6875,116.10223642172524,0.8201257512162927
67,-30.0,-0.20833333333333334,30.0,24.118055555555557,122.38977635782747,0.8176653739626438
68,-43.0,-0.2986111111111111,43.0,21.96527777777778,110.2076677316294,0.8152123778407558
69,-32.0,-0.2222222222222222,32.0,16.368055555555557,100.15654952076677,0.8127667407072335
70,-30.0,-0.20833333333333334,30.0,20.166666666666668,110.06709265175719,0.8103284404851119
71,-24.0,-0.16666666666666666,24.0,16.59722222222222,98.92332268370608,0.8078974551636565
72,-22.0,-0.1527777777777778,22.0,12.979166666666666,92.19169329073482,0.8054737627981655
73,-51.0,-0.3541666666666667,51.0,18.40972222222222,102.57188498402556,0.803057341509771
74,-48.0,-0.3333333333333333,48.0,18.479166666666668,105.6773162939297,0.8006481694852418
75,-32.0,-0.2222222222222222,32.0,17.895833333333332,103.63258785942492,0.798246224976786
76,-18.0,-0.125,18.0,16.15277777777778,99.45047923322684,0.7958514863018556
77,-37.0,-0.2569444444444444,37.0,16.006944444444443,99.54952076677316,0.79346393184295
78,-30.0,-0.20833333333333334,30.0,13.11111111111111,93.09584664536742,0.7910835400474212
79,-55.0,-0.3819444444444444,55.0,16.3125,96.48242811501598,0.7887102894272789
80,-28.0,-0.19444444444444445,28.0,14.5,93.99680511182109,0.7863441585589971
