decision_step,time,action,phase_id,state_north_count,state_east_count,state_south_count,state_west_count,state_phase,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,4,5,0,0,0,0,4,-0.0,0.0,1,4.0
1,10.0,2,3,0,0,0,0,2,0.0,0.0,1,9.0
2,15.0,7,8,0,0,0,0,7,0.0,0.0,1,14.0
3,20.0,7,8,0,0,0,0,7,0.0,0.0,2,11.5
4,25.0,7,8,0,0,0,0,7,0.0,0.0,3,9.25
5,30.0,7,8,0,0,0,0,7,0.0,0.0,6,10.166666666666666
6,35.0,7,8,0,0,0,0,7,0.0,0.0,10,9.9
7,40.0,7,8,0,0,0,0,7,0.0,0.0,11,13.727272727272727
8,45.0,7,8,0,0,0,0,7,0.0,0.0,14,15.285714285714286
9,50.0,7,8,0,0,0,1,7,-1.0,1.0,16,18.1875
10,55.0,2,3,0,0,0,3,2,-2.0,3.0,17,22.058823529411764
11,60.0,0,1,0,0,0,0,0,3.0,0.0,19,23.45
12,65.0,4,5,0,1,0,2,4,-3.0,3.0,24,23.0
13,70.0,0,1,0,2,0,0,0,1.0,2.0,28,24.448275862068964
14,75.0,6,7,1,0,0,1,6,0.0,2.0,29,28.466666666666665
15,80.0,1,2,2,1,0,1,1,-2.0,4.0,29,33.3
16,85.0,6,7,2,0,0,1,6,1.0,3.0,31,34.96969696969697
17,90.0,6,7,3,0,0,1,6,-1.0,4.0,28,39.333333333333336
18,95.0,0,1,2,4,0,0,0,-2.0,6.0,27,43.42424242424242
19,100.0,6,7,4,2,0,0,6,0.0,6.0,27,44.82857142857143
20,105.0,0,1,2,4,0,0,0,0.0,6.0,25,48.48571428571429
21,110.0,6,7,2,1,0,0,6,3.0,3.0,26,49.270270270270274
22,115.0,6,7,2,0,0,1,6,0.0,3.0,26,48.8
23,120.0,6,7,2,0,0,1,6,0.0,3.0,27,49.57142857142857
24,125.0,6,7,2,0,0,1,6,0.0,3.0,28,46.333333333333336
25,130.0,6,7,2,0,0,2,6,-1.0,4.0,28,47.4
26,135.0,0,1,2,0,0,0,0,2.0,2.0,27,49.21568627450981
27,140.0,0,1,2,1,1,0,0,-2.0,4.0,26,49.81132075471698
28,145.0,6,7,3,0,1,0,6,0.0,4.0,24,52.113207547169814
29,150.0,1,2,5,0,0,0,1,-1.0,5.0,25,52.41818181818182
30,155.0,4,5,1,2,0,2,4,0.0,5.0,25,53.67857142857143
31,160.0,6,7,2,0,0,2,6,1.0,4.0,28,53.220338983050844
32,165.0,0,1,1,1,0,1,0,1.0,3.0,29,52.15873015873016
33,170.0,2,3,2,2,0,0,2,-1.0,4.0,33,51.55223880597015
34,175.0,6,7,4,0,0,0,6,0.0,4.0,35,51.12676056338028
35,180.0,4,5,0,1,1,0,4,2.0,2.0,35,51.472972972972975
36,185.0,0,1,0,2,1,0,0,-1.0,3.0,33,52.35526315789474
37,190.0,1,2,2,0,0,0,1,1.0,2.0,33,54.55263157894737
38,195.0,6,7,2,0,1,0,6,-1.0,3.0,30,56.5921052631579
39,200.0,1,2,2,0,0,0,1,1.0,2.0,29,58.5
40,205.0,6,7,2,0,5,0,6,-5.0,7.0,27,60.31578947368421
41,210.0,1,2,2,0,2,0,1,3.0,4.0,26,61.20779220779221
