decision_step,time,action,phase_id,state_north_count,state_east_count,state_south_count,state_west_count,state_phase,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,7,8,0,0,0,0,7,-0.05,0.0,1,4.0
1,10.0,3,4,0,0,0,0,3,-0.05,0.0,1,9.0
2,15.0,6,7,0,0,0,0,6,-0.05,0.0,1,14.0
3,20.0,5,6,0,0,0,0,5,-0.1,0.0,2,11.5
4,25.0,0,1,0,0,0,0,0,-0.15000000000000002,0.0,3,9.25
5,30.0,7,8,0,0,0,0,7,-0.30000000000000004,0.0,6,10.166666666666666
6,35.0,3,4,0,0,0,0,3,-0.5,0.0,10,9.9
7,40.0,6,7,0,0,0,0,6,-0.55,0.0,11,13.727272727272727
8,45.0,5,6,0,0,0,0,5,-0.7000000000000001,0.0,14,15.285714285714286
9,50.0,0,1,0,0,0,0,0,-0.8,0.0,16,18.1875
10,55.0,7,8,0,0,0,0,7,-0.8500000000000001,0.0,17,22.058823529411764
11,60.0,3,4,2,0,0,2,3,-4.95,4.0,19,23.45
12,65.0,7,8,3,1,0,3,7,-8.2,7.0,24,23.0
13,70.0,1,2,3,0,0,3,1,-7.4,6.0,28,24.448275862068964
14,75.0,5,6,6,1,0,1,5,-9.4,8.0,28,28.366666666666667
15,80.0,6,7,6,0,0,2,6,-9.35,8.0,27,32.96666666666667
16,85.0,3,4,7,1,0,2,3,-11.5,10.0,30,34.39393939393939
17,90.0,3,4,8,3,0,2,3,-14.5,13.0,30,38.93939393939394
18,95.0,2,3,8,8,0,3,2,-20.5,19.0,30,43.484848484848484
19,100.0,5,6,8,8,0,0,5,-17.5,16.0,30,45.31428571428572
20,105.0,2,3,8,8,0,2,2,-19.45,18.0,29,49.51428571428571
21,110.0,5,6,8,10,0,0,5,-19.45,18.0,29,50.67567567567568
22,115.0,1,2,8,6,0,1,1,-16.55,15.0,31,50.675
23,120.0,6,7,8,0,0,1,6,-10.7,9.0,34,52.142857142857146
24,125.0,5,6,8,2,0,0,5,-11.85,10.0,37,49.395833333333336
25,130.0,5,6,8,5,0,0,5,-14.85,13.0,37,51.22
26,135.0,0,1,4,5,0,0,0,-10.95,9.0,39,54.03921568627451
27,140.0,7,8,4,7,0,0,7,-12.95,11.0,39,55.58490566037736
28,145.0,7,8,5,9,0,0,7,-15.85,14.0,37,59.132075471698116
29,150.0,3,4,9,10,0,0,3,-20.75,19.0,35,60.18181818181818
30,155.0,4,5,8,10,0,2,4,-21.75,20.0,35,62.19642857142857
31,160.0,4,5,5,10,0,2,4,-18.85,17.0,37,62.067796610169495
32,165.0,2,3,4,10,0,1,2,-17.85,16.0,37,61.142857142857146
33,170.0,6,7,5,7,0,1,6,-15.05,13.0,41,60.59701492537314
34,175.0,2,3,9,6,0,1,2,-18.25,16.0,45,60.32394366197183
35,180.0,1,2,10,4,0,1,1,-17.35,15.0,47,61.067567567567565
36,185.0,1,2,10,1,0,1,1,-15.35,13.0,47,62.5921052631579
37,190.0,7,8,10,3,0,1,7,-18.3,16.0,46,65.65789473684211
38,195.0,0,1,7,7,0,0,0,-16.25,14.0,45,68.61842105263158
39,200.0,6,7,9,5,3,0,6,-19.15,17.0,43,71.48684210526316
40,205.0,1,2,10,5,1,0,1,-18.1,16.0,42,74.30263157894737
41,210.0,0,1,8,5,2,0,0,-17.05,15.0,41,75.98701298701299
42,215.0,1,2,7,2,0,0,1,-10.95,9.0,39,77.55128205128206
43,220.0,1,2,8,2,0,0,1,-12.0,10.0,40,79.10126582278481
44,225.0,0,1,7,3,0,0,0,-12.0,10.0,40,77.75903614457832
45,230.0,0,1,3,6,0,0,0,-11.15,9.0,43,74.03333333333333
46,235.0,7,8,3,8,0,0,7,-13.15,11.0,43,71.77083333333333
47,240.0,3,4,7,8,0,1,3,-18.35,16.0,47,69.29126213592232
48,245.0,0,1,2,8,0,0,0,-12.4,10.0,48,71.0673076923077
49,250.0,3,4,3,8,0,1,3,-14.25,12.0,45,72.0
50,255.0,0,1,3,10,0,0,0,-15.3,13.0,46,74.23584905660377
51,260.0,2,3,4,10,0,2,2,-21.25,19.0,45,76.37735849056604
52,265.0,5,6,6,10,0,0,5,-23.35,21.0,47,77.10185185185185
53,270.0,7,8,10,10,0,1,7,-31.4,29.0,48,78.58715596330275
54,275.0,7,8,10,10,0,1,7,-34.3,32.0,46,79.27927927927928
55,280.0,7,8,10,10,0,1,7,-35.3,33.0,46,81.35135135135135
56,285.0,7,8,10,10,0,1,7,-35.25,33.0,45,81.20175438596492
57,290.0,7,8,10,10,0,1,7,-35.25,33.0,45,81.02564102564102
58,295.0,7,8,10,10,0,1,7,-36.25,34.0,45,80.9
59,300.0,7,8,10,10,0,3,7,-39.55,37.0,51,79.04761904761905
60,305.0,7,8,10,10,0,4,7,-40.65,38.0,53,80.48031496062993
61,310.0,5,6,10,10,0,0,5,-37.85,35.0,57,79.56060606060606
62,315.0,3,4,10,10,2,2,3,-43.9,41.0,58,81.75757575757575
63,320.0,1,2,10,10,0,2,1,-41.05,38.0,61,82.18518518518519
