decision_step,time,action,phase_id,state_north_count,state_east_count,state_south_count,state_west_count,state_phase,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,3,4,0,0,0,0,3,-0.1,0.0,1,4.0
1,10.0,7,8,0,0,0,0,7,-0.1,0.0,1,9.0
2,15.0,6,7,0,0,0,0,6,-0.1,0.0,1,14.0
3,20.0,6,7,0,0,0,0,6,-0.2,0.0,2,11.5
4,25.0,6,7,0,0,0,0,6,-0.30000000000000004,0.0,3,9.25
5,30.0,6,7,0,0,0,0,6,-0.6000000000000001,0.0,6,10.166666666666666
6,35.0,6,7,0,0,1,0,6,-2.0,1.0,10,9.9
7,40.0,7,8,0,0,0,0,7,-1.1,0.0,11,13.727272727272727
8,45.0,6,7,0,0,0,0,6,-1.4000000000000001,0.0,14,15.285714285714286
9,50.0,6,7,0,0,0,1,6,-2.6,1.0,16,18.1875
10,55.0,7,8,0,0,0,3,7,-4.7,3.0,17,22.058823529411764
11,60.0,4,5,0,0,0,4,4,-6.0,4.0,20,23.6
12,65.0,6,7,1,0,0,5,6,-8.5,6.0,25,23.32
13,70.0,0,1,0,1,0,1,0,-4.800000000000001,2.0,28,24.724137931034484
14,75.0,3,4,1,2,0,2,3,-7.9,5.0,29,28.733333333333334
15,80.0,1,2,2,0,0,3,1,-7.9,5.0,29,33.56666666666667
16,85.0,0,1,1,2,0,0,0,-6.1,3.0,31,35.21212121212121
17,90.0,6,7,1,2,0,2,6,-8.0,5.0,30,39.78787878787879
18,95.0,6,7,3,1,0,3,6,-9.9,7.0,29,44.18181818181818
19,100.0,3,4,4,2,0,4,3,-12.7,10.0,27,45.628571428571426
20,105.0,2,3,2,4,0,4,2,-12.7,10.0,27,49.48571428571429
21,110.0,2,3,2,5,0,4,2,-13.7,11.0,27,50.37837837837838
22,115.0,1,2,2,2,0,5,1,-11.6,9.0,26,49.9
23,120.0,3,4,2,2,0,5,3,-11.7,9.0,27,50.714285714285715
24,125.0,4,5,0,4,0,6,4,-12.9,10.0,29,47.354166666666664
25,130.0,6,7,0,1,0,6,6,-10.1,7.0,31,48.6
26,135.0,2,3,0,3,0,6,2,-12.1,9.0,31,50.72549019607843
27,140.0,0,1,0,5,1,2,0,-11.3,8.0,33,51.77358490566038
28,145.0,7,8,1,6,0,2,7,-12.1,9.0,31,54.75471698113208
29,150.0,6,7,3,5,0,5,6,-16.2,13.0,32,55.6
30,155.0,4,5,1,3,0,6,4,-13.1,10.0,31,57.357142857142854
31,160.0,4,5,0,6,0,6,4,-15.3,12.0,33,57.16949152542373
32,165.0,1,2,2,5,0,6,1,-16.6,13.0,36,56.36507936507937
33,170.0,7,8,4,4,0,6,7,-17.8,14.0,38,55.92537313432836
34,175.0,3,4,4,7,0,6,3,-21.1,17.0,41,55.66197183098591
35,180.0,4,5,0,9,1,6,4,-20.2,16.0,42,56.2972972972973
36,185.0,1,2,2,7,0,6,1,-19.2,15.0,42,57.61842105263158
37,190.0,7,8,4,7,0,6,7,-21.1,17.0,41,60.35526315789474
38,195.0,2,3,3,10,0,5,2,-24.0,20.0,40,63.01315789473684
39,200.0,6,7,3,8,3,5,6,-23.0,19.0,40,65.64473684210526
40,205.0,2,3,3,8,5,5,2,-25.0,21.0,40,68.27631578947368
41,210.0,1,2,3,6,2,5,1,-19.9,16.0,39,69.9090909090909
42,215.0,2,3,3,4,2,5,2,-17.7,14.0,37,71.41025641025641
43,220.0,0,1,0,8,4,1,0,-16.7,13.0,37,72.88607594936708
44,225.0,6,7,1,7,4,2,6,-17.8,14.0,38,71.67469879518072
45,230.0,4,5,0,8,4,3,4,-19.1,15.0,41,68.31111111111112
46,235.0,4,5,0,9,4,3,4,-20.5,16.0,45,66.44791666666667
47,240.0,6,7,0,6,4,4,6,-18.6,14.0,46,64.32038834951456
48,245.0,2,3,0,5,4,6,2,-20.0,15.0,50,66.1923076923077
49,250.0,1,2,0,2,0,7,1,-13.7,9.0,47,67.32075471698113
50,255.0,3,4,3,4,2,9,3,-22.8,18.0,48,69.65094339622641
51,260.0,0,1,1,8,2,7,0,-22.8,18.0,48,71.91509433962264
52,265.0,2,3,2,10,2,5,2,-24.0,19.0,50,72.86111111111111
53,270.0,5,6,6,10,2,1,5,-28.9,24.0,49,74.45871559633028
54,275.0,2,3,7,10,2,2,2,-35.1,30.0,51,75.3963963963964
55,280.0,6,7,7,10,2,6,6,-34.7,30.0,47,77.56756756756756
56,285.0,0,1,3,10,2,3,0,-26.0,21.0,50,77.6842105263158
57,290.0,1,2,2,9,0,3,1,-18.9,14.0,49,77.80341880341881
58,295.0,1,2,5,7,0,6,1,-22.9,18.0,49,77.91666666666667
59,300.0,6,7,5,4,0,7,6,-21.3,16.0,53,76.30952380952381
60,305.0,3,4,5,5,0,8,3,-23.5,18.0,55,77.84251968503936
61,310.0,2,3,5,6,0,7,2,-23.6,18.0,56,77.00757575757575
62,315.0,5,6,6,9,2,3,5,-25.4,20.0,54,79.0909090909091
63,320.0,3,4,9,10,2,3,3,-32.5,27.0,55,79.38518518518518
64,325.0,7,8,10,10,0,6,7,-38.3,33.0,53,80.74264705882354
65,330.0,1,2,10,10,0,7,1,-38.1,33.0,51,82.00729927007299
66,335.0,4,5,7,10,1,7,4,-33.1,28.0,51,83.86861313868613
67,340.0,2,3,5,10,3,7,2,-35.2,30.0,52,84.48920863309353
68,345.0,6,7,6,9,4,7,6,-31.5,26.0,55,83.45138888888889
69,350.0,1,2,9,7,0,7,1,-28.6,23.0,56,84.8
70,355.0,3,4,10,9,2,7,3,-33.4,28.0,54,86.68275862068965
71,360.0,0,1,6,9,2,3,0,-25.3,20.0,53,87.9041095890411
72,365.0,0,1,2,10,2,0,0,-19.9,15.0,49,89.61643835616438
73,370.0,1,2,1,10,0,1,1,-17.0,12.0,50,90.70748299319727
74,375.0,6,7,5,9,3,4,6,-25.9,21.0,49,91.13422818791946
75,380.0,3,4,6,9,3,4,3,-26.5,22.0,45,92.68456375838926
76,385.0,0,1,2,10,3,0,0,-19.6,15.0,46,92.97350993377484
77,390.0,6,7,2,7,3,2,6,-18.4,14.0,44,93.84210526315789
78,395.0,1,2,4,7,0,2,1,-17.1,13.0,41,94.60130718954248
79,400.0,4,5,1,7,2,2,4,-16.4,12.0,44,92.38364779874213
