episode,total_reward,final_waiting,final_avg_travel_time,epsilon
1,-85.0,85.0,184.45530145530145,0.997
2,-78.0,78.0,186.3825363825364,0.994009
3,-67.0,67.0,185.75467775467774,0.991026973
4,-71.0,71.0,172.40540540540542,0.988053892081
5,-66.0,66.0,155.24324324324326,0.985089730404757
6,-77.0,77.0,179.20997920997922,0.9821344612135428
7,-82.0,82.0,179.44074844074845,0.9791880578299021
8,-102.0,102.0,171.04573804573803,0.9762504936564125
9,-80.0,80.0,173.75051975051974,0.9733217421754432
10,-74.0,74.0,180.3825363825364,0.9704017769489168
11,-70.0,70.0,174.7172557172557,0.9674905716180701
12,-83.0,83.0,188.9002079002079,0.9645880999032158
13,-87.0,87.0,177.23492723492723,0.9616943356035061
14,-74.0,74.0,168.1018711018711,0.9588092525966956
15,-76.0,76.0,171.63201663201664,0.9559328248389055
16,-65.0,65.0,176.54885654885655,0.9530650263643888
17,-78.0,78.0,172.06444906444906,0.9502058312852957
18,-80.0,80.0,168.02286902286903,0.9473552137914398
19,-76.0,76.0,172.93762993762994,0.9445131481500655
20,-97.0,97.0,177.76299376299377,0.9416796087056153
21,-63.0,63.0,182.6049896049896,0.9388545698794984
22,-95.0,95.0,186.46569646569645,0.93603800616986
23,-62.0,62.0,186.36590436590436,0.9332298921513504
24,-73.0,73.0,162.74844074844074,0.9304302024748964
25,-74.0,74.0,174.34095634095635,0.9276389118674717
26,-93.0,93.0,170.72972972972974,0.9248559951318693
27,-62.0,62.0,177.45114345114345,0.9220814271464737
28,-69.0,69.0,162.65488565488565,0.9193151828650342
29,-90.0,90.0,182.9126819126819,0.9165572373164391
30,-73.0,73.0,159.7110187110187,0.9138075656044898
31,-62.0,62.0,162.35758835758836,0.9110661429076764
32,-75.0,75.0,179.0914760914761,0.9083329444789534
33,-90.0,90.0,174.6133056133056,0.9056079456455165
34,-62.0,62.0,169.64033264033264,0.90289112180858
35,-89.0,89.0,166.1871101871102,0.9001824484431542
36,-72.0,72.0,169.05405405405406,0.8974819010978248
37,-83.0,83.0,171.02079002079003,0.8947894553945313
38,-70.0,70.0,160.85031185031184,0.8921050870283477
39,-78.0,78.0,167.3991683991684,0.8894287717672626
40,-75.0,75.0,162.53846153846155,0.8867604854519608
41,-81.0,81.0,178.32432432432432,0.884100203995605
42,-72.0,72.0,174.0935550935551,0.8814479033836181
43,-56.0,56.0,165.1912681912682,0.8788035596734672
44,-81.0,81.0,175.92099792099793,0.8761671489944468
45,-77.0,77.0,175.45945945945945,0.8735386475474635
46,-79.0,79.0,171.15384615384616,0.8709180316048211
47,-88.0,88.0,168.35966735966736,0.8683052775100066
48,-87.0,87.0,166.94802494802494,0.8657003616774767
49,-80.0,80.0,172.56964656964658,0.8631032605924442
50,-75.0,75.0,169.47817047817048,0.860513950810667
51,-74.0,74.0,168.5987525987526,0.857932408958235
52,-84.0,84.0,174.95010395010394,0.8553586117313603
53,-77.0,77.0,160.45114345114345,0.8527925358961662
54,-80.0,80.0,166.93970893970894,0.8502341582884777
55,-57.0,57.0,152.32016632016632,0.8476834558136123
56,-76.0,76.0,167.13513513513513,0.8451404054461714
57,-79.0,79.0,148.27234927234926,0.8426049842298329
58,-61.0,61.0,162.6008316008316,0.8400771692771434
59,-74.0,74.0,158.0956340956341,0.837556937769312
60,-90.0,90.0,177.3950103950104,0.835044266956004
61,-67.0,67.0,163.87318087318087,0.8325391341551359
62,-74.0,74.0,147.14345114345113,0.8300415167526705
63,-57.0,57.0,165.64241164241164,0.8275513922024125
64,-57.0,57.0,149.13721413721413,0.8250687380258053
65,-79.0,79.0,151.51975051975052,0.8225935318117279
66,-56.0,56.0,142.96257796257797,0.8201257512162927
67,-81.0,81.0,168.12681912681913,0.8176653739626438
68,-83.0,83.0,177.03950103950103,0.8152123778407558
69,-60.0,60.0,144.64864864864865,0.8127667407072335
70,-78.0,78.0,154.03118503118503,0.8103284404851119
71,-75.0,75.0,169.31392931392932,0.8078974551636565
72,-63.0,63.0,163.1039501039501,0.8054737627981655
73,-52.0,52.0,165.21621621621622,0.803057341509771
74,-79.0,79.0,165.21621621621622,0.8006481694852418
75,-63.0,63.0,151.012474012474,0.798246224976786
76,-77.0,77.0,172.27234927234926,0.7958514863018556
77,-71.0,71.0,169.66943866943868,0.79346393184295
78,-54.0,54.0,161.49272349272348,0.7910835400474212
79,-77.0,77.0,165.02494802494803,0.7887102894272789
80,-97.0,97.0,167.53846153846155,0.7863441585589971
81,-73.0,73.0,156.75259875259874,0.78398512608332
82,-61.0,61.0,151.35135135135135,0.7816331707050701
83,-60.0,60.0,155.42203742203742,0.7792882711929549
84,-61.0,61.0,145.26819126819126,0.776950406379376
