episode,total_reward,mean_reward_per_decision,final_waiting,avg_waiting,final_avg_travel_time,epsilon
1,-85.0,-0.5902777777777778,85.0,56.5,184.45530145530145,0.997
2,-78.0,-0.5416666666666666,78.0,57.8125,186.3825363825364,0.994009
3,-69.0,-0.4791666666666667,69.0,56.354166666666664,187.15176715176716,0.991026973
4,-71.0,-0.4930555555555556,71.0,49.701388888888886,172.40540540540542,0.988053892081
5,-63.0,-0.4375,63.0,44.84722222222222,154.16632016632016,0.985089730404757
6,-77.0,-0.5347222222222222,77.0,55.94444444444444,181.014553014553,0.9821344612135428
7,-79.0,-0.5486111111111112,79.0,58.201388888888886,178.46361746361745,0.9791880578299021
8,-104.0,-0.7222222222222222,104.0,56.80555555555556,170.85654885654887,0.9762504936564125
9,-77.0,-0.5347222222222222,77.0,54.229166666666664,176.9064449064449,0.9733217421754432
10,-70.0,-0.4861111111111111,70.0,53.625,177.65488565488565,0.9704017769489168
11,-73.0,-0.5069444444444444,73.0,55.701388888888886,175.50727650727652,0.9674905716180701
12,-84.0,-0.5833333333333334,84.0,61.99305555555556,189.14137214137213,0.9645880999032158
13,-87.0,-0.6041666666666666,87.0,55.75694444444444,177.46361746361745,0.9616943356035061
14,-74.0,-0.5138888888888888,74.0,49.36805555555556,168.1018711018711,0.9588092525966956
15,-78.0,-0.5416666666666666,78.0,54.361111111111114,171.63617463617464,0.9559328248389055
16,-67.0,-0.4652777777777778,67.0,53.38194444444444,178.26819126819126,0.9530650263643888
17,-79.0,-0.5486111111111112,79.0,51.1875,168.72972972972974,0.9502058312852957
18,-77.0,-0.5347222222222222,77.0,50.15277777777778,170.06029106029106,0.9473552137914398
19,-73.0,-0.5069444444444444,73.0,51.451388888888886,172.82328482328484,0.9445131481500655
20,-97.0,-0.6736111111111112,97.0,58.236111111111114,177.76299376299377,0.9416796087056153
21,-66.0,-0.4583333333333333,66.0,55.458333333333336,182.03742203742203,0.9388545698794984
22,-93.0,-0.6458333333333334,93.0,52.951388888888886,186.24740124740126,0.93603800616986
23,-63.0,-0.4375,63.0,54.09722222222222,186.11642411642413,0.9332298921513504
24,-72.0,-0.5,72.0,49.11805555555556,164.76507276507277,0.9304302024748964
25,-73.0,-0.5069444444444444,73.0,55.05555555555556,173.65696465696465,0.9276389118674717
26,-96.0,-0.6666666666666666,96.0,53.9375,177.2806652806653,0.9248559951318693
27,-55.0,-0.3819444444444444,55.0,51.9375,176.97089397089397,0.9220814271464737
28,-72.0,-0.5,72.0,49.49305555555556,163.84823284823284,0.9193151828650342
29,-73.0,-0.5069444444444444,73.0,52.81944444444444,184.04781704781703,0.9165572373164391
30,-76.0,-0.5277777777777778,76.0,46.201388888888886,158.76091476091477,0.9138075656044898
31,-62.0,-0.4305555555555556,62.0,47.763888888888886,172.9147609147609,0.9110661429076764
32,-76.0,-0.5277777777777778,76.0,54.229166666666664,179.92307692307693,0.9083329444789534
33,-89.0,-0.6180555555555556,89.0,55.041666666666664,178.14137214137213,0.9056079456455165
34,-71.0,-0.4930555555555556,71.0,47.8125,170.84199584199584,0.90289112180858
35,-82.0,-0.5694444444444444,82.0,49.78472222222222,164.96049896049897,0.9001824484431542
36,-64.0,-0.4444444444444444,64.0,51.423611111111114,174.14760914760916,0.8974819010978248
37,-82.0,-0.5694444444444444,82.0,49.44444444444444,165.92931392931393,0.8947894553945313
38,-71.0,-0.4930555555555556,71.0,48.6875,158.1060291060291,0.8921050870283477
39,-76.0,-0.5277777777777778,76.0,48.138888888888886,168.84199584199584,0.8894287717672626
40,-71.0,-0.4930555555555556,71.0,49.09722222222222,162.88357588357587,0.8867604854519608
41,-77.0,-0.5347222222222222,77.0,50.229166666666664,179.12058212058213,0.884100203995605
42,-72.0,-0.5,72.0,52.673611111111114,178.75883575883577,0.8814479033836181
43,-56.0,-0.3888888888888889,56.0,48.861111111111114,165.25363825363826,0.8788035596734672
44,-77.0,-0.5347222222222222,77.0,51.548611111111114,174.16424116424116,0.8761671489944468
45,-68.0,-0.4722222222222222,68.0,51.44444444444444,174.1871101871102,0.8735386475474635
46,-71.0,-0.4930555555555556,71.0,51.951388888888886,172.49480249480249,0.8709180316048211
47,-76.0,-0.5277777777777778,76.0,50.84722222222222,172.7255717255717,0.8683052775100066
48,-75.0,-0.5208333333333334,75.0,50.576388888888886,168.26195426195426,0.8657003616774767
49,-64.0,-0.4444444444444444,64.0,50.388888888888886,174.0873180873181,0.8631032605924442
50,-73.0,-0.5069444444444444,73.0,48.52777777777778,166.37006237006236,0.860513950810667
51,-60.0,-0.4166666666666667,60.0,48.34722222222222,173.8149688149688,0.857932408958235
52,-82.0,-0.5694444444444444,82.0,62.27777777777778,185.23700623700623,0.8553586117313603
53,-65.0,-0.4513888888888889,65.0,51.65972222222222,162.05613305613306,0.8527925358961662
54,-82.0,-0.5694444444444444,82.0,50.24305555555556,165.6049896049896,0.8502341582884777
55,-59.0,-0.4097222222222222,59.0,43.326388888888886,154.995841995842,0.8476834558136123
56,-83.0,-0.5763888888888888,83.0,52.423611111111114,171.42619542619542,0.8451404054461714
57,-73.0,-0.5069444444444444,73.0,43.49305555555556,148.93762993762994,0.8426049842298329
58,-68.0,-0.4722222222222222,68.0,48.15277777777778,165.76091476091477,0.8400771692771434
59,-76.0,-0.5277777777777778,76.0,47.486111111111114,155.44282744282745,0.837556937769312
60,-82.0,-0.5694444444444444,82.0,56.645833333333336,180.45322245322245,0.835044266956004
61,-71.0,-0.4930555555555556,71.0,51.013888888888886,166.98336798336797,0.8325391341551359
62,-80.0,-0.5555555555555556,80.0,43.56944444444444,157.51975051975052,0.8300415167526705
63,-56.0,-0.3888888888888889,56.0,48.729166666666664,173.51559251559252,0.8275513922024125
64,-63.0,-0.4375,63.0,42.9375,154.2931392931393,0.8250687380258053
65,-89.0,-0.6180555555555556,89.0,50.1875,163.02494802494803,0.8225935318117279
66,-62.0,-0.4305555555555556,62.0,46.02777777777778,159.01663201663203,0.8201257512162927
67,-86.0,-0.5972222222222222,86.0,49.71527777777778,167.56756756756758,0.8176653739626438
68,-70.0,-0.4861111111111111,70.0,52.020833333333336,176.95010395010394,0.8152123778407558
