decision_step,time,action,phase_id,state_north_bucket,state_east_bucket,state_south_bucket,state_west_bucket,state_phase_bucket,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,2,3,0,0,0,0,2,-0.0,0.0,0,0.0
1,10.0,0,1,0,0,0,0,0,-0.1,0.0,1,3.0
2,15.0,2,3,0,0,0,0,2,-0.30000000000000004,0.0,3,4.666666666666667
3,20.0,0,1,0,0,0,0,0,-0.5,0.0,5,7.0
4,25.0,2,3,0,0,0,0,2,-0.8,0.0,8,7.4
5,30.0,0,1,0,0,0,0,0,-1.3,0.0,13,9.923076923076923
6,35.0,2,3,0,0,0,0,2,-1.5,0.0,15,13.4
7,40.0,0,1,0,0,0,0,0,-1.7000000000000002,0.0,17,16.647058823529413
8,45.0,2,3,0,0,0,1,2,-2.9000000000000004,1.0,19,18.85
9,50.0,4,5,0,0,0,1,4,-3.2,1.0,22,20.041666666666668
10,55.0,7,8,0,0,0,2,7,-5.4,3.0,24,21.892857142857142
11,60.0,6,7,2,0,0,2,6,-10.7,8.0,27,25.366666666666667
12,65.0,0,1,1,0,0,1,0,-5.0,2.0,30,27.848484848484848
13,70.0,2,3,1,1,0,1,2,-8.1,5.0,31,30.857142857142858
14,75.0,5,6,1,2,0,0,5,-8.3,5.0,33,33.67567567567568
15,80.0,6,7,1,1,0,1,6,-8.5,5.0,35,35.45
16,85.0,7,8,1,2,0,1,7,-12.0,8.0,40,33.4375
17,90.0,7,8,1,3,0,2,7,-15.3,11.0,43,35.72549019607843
18,95.0,2,3,1,4,0,2,2,-19.3,15.0,43,38.43396226415094
19,100.0,5,6,1,4,0,0,5,-19.6,15.0,46,38.93103448275862
20,105.0,6,7,1,3,1,1,6,-17.9,13.0,49,39.714285714285715
21,110.0,1,2,1,3,0,2,1,-17.1,12.0,51,40.51470588235294
22,115.0,6,7,1,2,2,2,6,-18.5,13.0,55,41.986111111111114
23,120.0,1,2,1,1,1,3,1,-16.6,11.0,56,43.578947368421055
24,125.0,2,3,2,1,2,3,2,-20.8,15.0,58,46.883116883116884
25,130.0,1,2,3,1,1,3,1,-22.1,16.0,61,47.76829268292683
26,135.0,6,7,3,0,2,3,6,-24.2,18.0,62,47.06666666666667
27,140.0,6,7,4,0,2,3,6,-28.2,22.0,62,48.16842105263158
28,145.0,4,5,3,1,2,3,4,-26.5,20.0,65,47.52884615384615
29,150.0,0,1,2,2,3,2,0,-25.5,19.0,65,48.76146788990825
30,155.0,7,8,2,3,3,1,7,-26.9,20.0,69,50.94642857142857
31,160.0,6,7,2,3,3,2,6,-31.9,25.0,69,53.43859649122807
32,165.0,0,1,2,3,3,1,0,-30.9,24.0,69,55.81896551724138
33,170.0,5,6,2,4,4,0,5,-35.0,28.0,70,59.025862068965516
34,175.0,2,3,3,4,4,1,2,-46.0,39.0,70,61.623931623931625
35,180.0,3,4,3,3,3,1,3,-46.8,40.0,68,64.04237288135593
36,185.0,2,3,3,3,4,1,2,-54.1,47.0,71,64.80327868852459
37,190.0,1,2,3,3,4,1,1,-52.1,45.0,71,65.65079365079364
