episode,total_reward,mean_reward_per_decision,final_waiting,avg_waiting,final_avg_travel_time,epsilon
1,-8802.900000000001,-61.131249999999994,85.0,56.5,184.45530145530145,0.997
2,-9011.850000000002,-62.58229166666667,78.0,57.8125,186.3825363825364,0.994009
3,-8772.600000000002,-60.920833333333334,69.0,56.354166666666664,187.15592515592516,0.991026973
4,-7884.300000000002,-54.75208333333333,70.0,50.451388888888886,174.16216216216216,0.988053892081
5,-7082.949999999999,-49.187152777777776,63.0,45.05555555555556,154.31600831600832,0.985089730404757
6,-8524.650000000001,-59.198958333333344,70.0,54.5,180.35758835758836,0.9821344612135428
7,-9188.150000000001,-63.80659722222222,82.0,58.916666666666664,179.42827442827442,0.9791880578299021
8,-9048.600000000004,-62.837500000000006,110.0,57.88194444444444,173.66735966735968,0.9762504936564125
9,-8419.100000000002,-58.46597222222223,77.0,53.90277777777778,178.24948024948026,0.9733217421754432
10,-8551.250000000004,-59.38368055555556,69.0,54.736111111111114,177.7089397089397,0.9704017769489168
11,-8615.249999999998,-59.828125,65.0,55.05555555555556,174.7172557172557,0.9674905716180701
12,-9640.300000000001,-66.94652777777777,88.0,61.888888888888886,189.12474012474013,0.9645880999032158
13,-8705.450000000003,-60.4545138888889,87.0,55.729166666666664,177.55301455301455,0.9616943356035061
14,-7727.6500000000015,-53.66423611111111,72.0,49.19444444444444,167.2910602910603,0.9588092525966956
15,-8519.550000000001,-59.16354166666666,74.0,54.541666666666664,171.69230769230768,0.9559328248389055
16,-8368.8,-58.11666666666666,68.0,53.576388888888886,178.2848232848233,0.9530650263643888
17,-8153.199999999998,-56.61944444444444,77.0,51.986111111111114,169.47401247401248,0.9502058312852957
18,-7703.700000000001,-53.49791666666667,70.0,49.25694444444444,171.8128898128898,0.9473552137914398
19,-7922.8499999999985,-55.01979166666666,69.0,50.666666666666664,172.64864864864865,0.9445131481500655
20,-9191.699999999999,-63.831250000000004,105.0,58.916666666666664,181.67151767151768,0.9416796087056153
21,-8687.55,-60.33020833333334,63.0,55.75694444444444,182.16839916839916,0.9388545698794984
22,-8356.399999999998,-58.03055555555555,89.0,53.611111111111114,188.13097713097713,0.93603800616986
23,-8528.55,-59.22604166666666,58.0,54.666666666666664,184.92099792099793,0.9332298921513504
24,-7647.299999999998,-53.106249999999996,71.0,48.71527777777778,164.14553014553016,0.9304302024748964
25,-8954.149999999998,-62.18159722222223,75.0,57.416666666666664,176.3887733887734,0.9276389118674717
26,-8276.949999999999,-57.47881944444445,89.0,52.916666666666664,176.3846153846154,0.9248559951318693
27,-8729.799999999997,-60.62361111111112,66.0,56.104166666666664,184.31185031185032,0.9220814271464737
28,-7914.000000000002,-54.95833333333334,68.0,50.44444444444444,165.54261954261955,0.9193151828650342
29,-8463.850000000002,-58.77673611111111,77.0,54.395833333333336,190.82328482328484,0.9165572373164391
30,-7250.300000000002,-50.34930555555556,76.0,46.09722222222222,158.05405405405406,0.9138075656044898
31,-7929.2,-55.0638888888889,63.0,50.68055555555556,175.63201663201664,0.9110661429076764
32,-8658.200000000003,-60.1263888888889,72.0,55.583333333333336,186.73388773388774,0.9083329444789534
33,-8626.150000000001,-59.90381944444445,82.0,55.270833333333336,184.2993762993763,0.9056079456455165
34,-8032.050000000001,-55.778124999999996,68.0,51.44444444444444,179.8128898128898,0.90289112180858
35,-8105.100000000002,-56.28541666666667,86.0,51.65277777777778,167.94386694386694,0.9001824484431542
36,-8303.3,-57.66180555555555,72.0,53.09027777777778,174.7983367983368,0.8974819010978248
37,-7743.6,-53.775000000000006,68.0,49.361111111111114,166.44698544698545,0.8947894553945313
38,-7944.050000000004,-55.16701388888888,67.0,50.701388888888886,166.26403326403326,0.8921050870283477
39,-8057.0999999999985,-55.952083333333334,75.0,51.46527777777778,178.65696465696465,0.8894287717672626
40,-7587.150000000002,-52.68854166666667,72.0,48.298611111111114,166.33056133056132,0.8867604854519608
41,-8191.0,-56.88194444444444,75.0,52.38194444444444,184.8045738045738,0.884100203995605
42,-8419.149999999998,-58.46631944444445,74.0,53.94444444444444,184.63409563409564,0.8814479033836181
43,-7918.300000000003,-54.98819444444444,58.0,50.38194444444444,168.03326403326403,0.8788035596734672
44,-8319.399999999996,-57.77361111111112,69.0,53.236111111111114,178.46569646569645,0.8761671489944468
45,-8586.249999999995,-59.626736111111114,65.0,55.15277777777778,188.24116424116423,0.8735386475474635
46,-8642.800000000003,-60.01944444444444,78.0,55.416666666666664,179.43866943866945,0.8709180316048211
47,-8180.949999999998,-56.812152777777776,70.0,52.40277777777778,177.2079002079002,0.8683052775100066
48,-8151.5,-56.607638888888886,77.0,52.111111111111114,172.997920997921,0.8657003616774767
49,-7958.049999999998,-55.2642361111111,64.0,50.86805555555556,175.23908523908523,0.8631032605924442
50,-8031.299999999997,-55.772916666666674,76.0,51.24305555555556,167.8170478170478,0.860513950810667
51,-7982.750000000002,-55.435763888888886,69.0,51.03472222222222,175.9106029106029,0.857932408958235
52,-9153.550000000001,-63.56631944444444,82.0,58.72222222222222,183.14137214137213,0.8553586117313603
53,-8294.2,-57.59861111111112,69.0,52.854166666666664,162.04158004158003,0.8527925358961662
54,-8201.549999999997,-56.95520833333333,75.0,52.395833333333336,177.13097713097713,0.8502341582884777
55,-7718.5999999999985,-53.60138888888889,73.0,49.138888888888886,165.12266112266113,0.8476834558136123
56,-8342.250000000004,-57.932291666666664,84.0,53.3125,176.45322245322245,0.8451404054461714
57,-7765.15,-53.92465277777778,76.0,49.638888888888886,167.2079002079002,0.8426049842298329
58,-8104.750000000004,-56.282986111111114,69.0,51.826388888888886,173.67567567567568,0.8400771692771434
