decision_step,time,action,phase_id,state_north_count,state_east_count,state_south_count,state_west_count,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,5,6,0,0,0,0,-0.0,0.0,0,0.0
1,10.0,5,6,0,0,0,0,-0.1,0.0,1,3.0
2,15.0,5,6,0,0,0,0,-0.30000000000000004,0.0,3,4.666666666666667
3,20.0,5,6,0,0,0,0,-0.5,0.0,5,7.0
4,25.0,5,6,0,0,0,0,-0.8,0.0,8,7.4
5,30.0,5,6,0,0,0,0,-1.3,0.0,13,9.923076923076923
6,35.0,5,6,0,0,0,0,-1.5,0.0,15,13.4
7,40.0,5,6,0,0,0,0,-1.7000000000000002,0.0,17,16.647058823529413
8,45.0,5,6,1,0,0,0,-2.9000000000000004,1.0,19,18.85
9,50.0,0,1,0,0,0,0,-2.2,0.0,22,20.041666666666668
10,55.0,5,6,2,0,0,0,-4.4,2.0,24,21.892857142857142
11,60.0,2,3,5,1,0,0,-8.7,6.0,27,25.366666666666667
12,65.0,0,1,1,1,0,0,-5.0,2.0,30,27.818181818181817
13,70.0,6,7,2,1,0,0,-6.2,3.0,32,30.942857142857143
14,75.0,3,4,3,3,0,1,-10.4,7.0,34,33.78378378378378
15,80.0,6,7,3,1,0,1,-8.5,5.0,35,35.55
16,85.0,2,3,3,4,0,1,-11.9,8.0,39,33.395833333333336
17,90.0,1,2,3,5,0,1,-13.0,9.0,40,35.490196078431374
18,95.0,1,2,3,3,0,3,-13.2,9.0,42,38.056603773584904
19,100.0,6,7,3,0,0,4,-11.5,7.0,45,38.53448275862069
20,105.0,2,3,3,2,1,3,-14.0,9.0,50,39.38095238095238
21,110.0,1,2,3,0,0,4,-12.2,7.0,52,40.279411764705884
22,115.0,2,3,4,2,3,6,-20.6,15.0,56,41.833333333333336
23,120.0,1,2,4,3,1,7,-20.6,15.0,56,43.421052631578945
24,125.0,1,2,6,0,1,7,-19.6,14.0,56,46.63636363636363
25,130.0,0,1,6,3,1,6,-21.7,16.0,57,47.30487804878049
26,135.0,3,4,8,5,1,5,-25.1,19.0,61,46.53333333333333
27,140.0,0,1,6,8,2,2,-24.1,18.0,61,47.61052631578947
28,145.0,2,3,3,9,3,2,-23.6,17.0,66,47.03846153846154
29,150.0,5,6,6,10,6,1,-29.6,23.0,66,48.34862385321101
30,155.0,7,8,10,10,6,2,-36.6,30.0,66,50.464285714285715
31,160.0,7,8,10,10,4,3,-38.8,32.0,68,52.90350877192982
32,165.0,7,8,10,10,3,3,-40.8,34.0,68,55.241379310344826
33,170.0,0,1,9,10,4,0,-39.7,33.0,67,58.35344827586207
34,175.0,3,4,8,10,5,1,-41.9,35.0,69,60.888888888888886
35,180.0,0,1,3,10,9,0,-41.9,35.0,69,63.33050847457627
36,185.0,7,8,4,10,8,0,-44.3,37.0,73,64.18032786885246
37,190.0,7,8,7,10,7,0,-46.3,39.0,73,65.11904761904762
38,195.0,4,5,5,10,7,0,-44.4,37.0,74,67.51968503937007
39,200.0,1,2,4,10,5,0,-38.5,31.0,75,67.82575757575758
40,205.0,4,5,4,10,4,0,-36.7,29.0,77,68.1970802919708
41,210.0,1,2,5,10,3,0,-34.1,26.0,81,67.71527777777777
42,215.0,7,8,7,10,2,4,-40.0,32.0,80,70.02758620689656
43,220.0,3,4,9,10,4,6,-50.0,42.0,80,71.7687074829932
44,225.0,2,3,10,10,5,6,-54.9,47.0,79,73.46308724832215
45,230.0,7,8,10,10,4,10,-61.9,54.0,79,75.08609271523179
46,235.0,4,5,10,10,4,10,-62.9,55.0,79,77.19736842105263
47,240.0,4,5,6,10,6,10,-64.6,57.0,76,79.73026315789474
48,245.0,7,8,5,10,4,10,-62.5,55.0,75,81.67320261437908
49,250.0,2,3,6,10,2,10,-60.8,53.0,78,82.04458598726114
50,255.0,0,1,5,10,6,9,-63.1,55.0,81,82.50931677018633
51,260.0,7,8,3,10,3,8,-56.9,49.0,79,84.98136645962732
52,265.0,7,8,6,10,0,8,-56.9,49.0,79,86.3680981595092
53,270.0,6,7,8,10,2,9,-54.8,47.0,78,88.77300613496932
54,275.0,1,2,9,10,0,10,-53.8,46.0,78,90.06666666666666
55,280.0,0,1,6,10,2,10,-50.0,42.0,80,90.81547619047619
56,285.0,0,1,3,10,6,6,-47.2,39.0,82,89.51428571428572
57,290.0,7,8,4,10,2,5,-44.6,36.0,86,89.41666666666667
58,295.0,3,4,7,10,3,6,-49.6,41.0,86,89.8804347826087
59,300.0,1,2,9,10,0,10,-49.7,41.0,87,89.88359788359789
60,305.0,0,1,6,10,2,7,-44.8,36.0,88,89.47179487179487
61,310.0,4,5,3,10,5,7,-45.1,36.0,91,87.8921568627451
62,315.0,3,4,5,10,7,8,-53.2,44.0,92,88.5625
63,320.0,3,4,6,10,9,10,-62.4,53.0,94,88.84037558685446
64,325.0,2,3,10,10,10,10,-71.8,62.0,98,88.82191780821918
65,330.0,0,1,8,10,10,6,-69.7,60.0,97,88.89333333333333
66,335.0,4,5,7,10,10,3,-68.8,59.0,98,89.79475982532752
67,340.0,1,2,5,10,10,6,-68.6,59.0,96,91.79130434782608
68,345.0,4,5,2,10,10,8,-69.7,60.0,97,94.14782608695653
69,350.0,4,5,2,10,10,8,-77.0,67.0,100,95.6896551724138
70,355.0,4,5,1,10,10,9,-80.3,70.0,103,96.85106382978724
71,360.0,6,7,2,10,10,9,-74.0,64.0,100,98.78389830508475
72,365.0,3,4,6,10,10,10,-71.9,62.0,99,100.66244725738396
73,370.0,0,1,3,10,10,6,-67.8,58.0,98,101.67916666666666
74,375.0,6,7,2,10,10,6,-67.1,57.0,101,100.68145161290323
75,380.0,0,1,2,10,10,6,-69.2,59.0,102,99.859375
76,385.0,0,1,0,10,10,4,-64.3,54.0,103,101.08108108108108
77,390.0,4,5,0,10,10,7,-69.3,59.0,103,101.50378787878788
78,395.0,1,2,0,10,10,9,-65.2,55.0,102,103.81060606060606
79,400.0,4,5,0,10,10,10,-62.8,53.0,98,104.88764044943821
80,405.0,0,1,0,10,10,9,-64.7,55.0,97,107.12359550561797
81,410.0,4,5,0,10,10,8,-69.5,60.0,95,108.92164179104478
82,415.0,1,2,0,10,10,8,-60.3,51.0,93,108.68248175182482
83,420.0,1,2,3,10,10,10,-65.6,56.0,96,108.51428571428572
84,425.0,5,6,3,10,10,9,-59.4,50.0,94,110.2846975088968
85,430.0,1,2,3,10,10,7,-51.5,42.0,95,110.51748251748252
86,435.0,7,8,3,10,5,8,-44.4,35.0,94,111.13793103448276
87,440.0,6,7,3,10,6,10,-44.2,35.0,92,112.11262798634812
88,445.0,1,2,3,10,5,10,-42.0,33.0,90,112.71380471380472
89,450.0,4,5,1,10,4,10,-40.0,31.0,90,111.4673202614379
90,455.0,4,5,0,10,8,10,-44.3,35.0,93,111.78135048231512
91,460.0,7,8,2,10,6,10,-52.6,43.0,96,111.7602523659306
