decision_step,time,action,phase_id,state_north_count,state_east_count,state_south_count,state_west_count,state_phase,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,6,7,0,0,0,0,6,-0.0,0.0,0,0.0
1,10.0,1,2,0,0,0,0,1,-0.0,0.0,1,3.0
2,15.0,5,6,0,0,0,0,5,-0.0,0.0,3,4.666666666666667
3,20.0,7,8,0,0,0,0,7,-0.0,0.0,5,7.0
4,25.0,7,8,0,0,0,0,7,-0.0,0.0,8,7.4
5,30.0,7,8,0,0,0,0,7,-0.0,0.0,13,9.923076923076923
6,35.0,7,8,0,0,0,0,7,-0.0,0.0,15,13.4
7,40.0,7,8,0,0,0,1,7,-1.0,1.0,17,16.647058823529413
8,45.0,1,2,1,0,0,2,1,-3.0,3.0,19,18.85
9,50.0,4,5,0,0,0,3,4,-3.0,3.0,22,20.041666666666668
10,55.0,5,6,2,0,0,1,5,-3.0,3.0,24,21.892857142857142
11,60.0,2,3,5,1,0,2,2,-8.0,8.0,27,25.366666666666667
12,65.0,0,1,1,1,0,0,0,-2.0,2.0,31,27.87878787878788
13,70.0,7,8,2,3,0,2,7,-7.0,7.0,33,31.142857142857142
14,75.0,5,6,3,5,0,0,5,-8.0,8.0,36,34.24324324324324
15,80.0,1,2,3,4,0,1,1,-8.0,8.0,38,36.3
16,85.0,6,7,3,2,0,1,6,-6.0,6.0,42,34.333333333333336
17,90.0,0,1,0,5,0,0,0,-5.0,5.0,44,36.68627450980392
18,95.0,5,6,1,6,0,0,5,-7.0,7.0,44,39.45283018867924
19,100.0,6,7,1,4,0,1,6,-6.0,6.0,48,40.03448275862069
20,105.0,6,7,1,4,1,1,6,-7.0,7.0,51,40.888888888888886
21,110.0,2,3,1,4,3,2,2,-10.0,10.0,54,41.80882352941177
22,115.0,0,1,0,5,6,0,0,-11.0,11.0,54,43.208333333333336
23,120.0,2,3,0,9,7,2,2,-18.0,18.0,53,44.55263157894737
24,125.0,1,2,1,8,3,3,1,-15.0,15.0,53,47.532467532467535
25,130.0,0,1,1,9,3,1,0,-14.0,14.0,55,48.01219512195122
26,135.0,4,5,0,10,7,3,4,-20.0,20.0,58,47.044444444444444
27,140.0,5,6,3,10,8,0,5,-23.0,23.0,62,48.084210526315786
28,145.0,7,8,6,10,6,1,7,-28.0,28.0,63,47.38461538461539
29,150.0,6,7,6,10,9,1,6,-28.0,28.0,67,48.669724770642205
30,155.0,2,3,5,10,10,1,2,-29.0,29.0,67,50.82142857142857
31,160.0,6,7,7,10,10,1,6,-31.0,31.0,69,53.29824561403509
32,165.0,6,7,8,8,10,1,6,-32.0,32.0,70,55.71551724137931
33,170.0,0,1,4,8,10,0,0,-31.0,31.0,71,58.974137931034484
34,175.0,4,5,0,10,10,0,4,-32.0,32.0,72,61.666666666666664
35,180.0,7,8,1,10,10,0,7,-31.0,31.0,71,64.1864406779661
36,185.0,2,3,3,10,10,0,2,-38.0,38.0,75,65.07377049180327
37,190.0,6,7,3,10,10,0,6,-41.0,41.0,75,66.07142857142857
38,195.0,6,7,3,10,10,0,6,-42.0,42.0,75,68.5275590551181
39,200.0,6,7,3,10,10,0,6,-39.0,39.0,76,68.83333333333333
40,205.0,6,7,3,8,10,0,6,-35.0,35.0,77,69.17518248175182
41,210.0,6,7,4,3,10,0,6,-32.0,32.0,80,68.625
42,215.0,0,1,1,2,10,2,0,-30.0,30.0,83,71.0
43,220.0,0,1,0,5,10,2,0,-35.0,35.0,83,72.82993197278911
44,225.0,2,3,1,8,10,0,2,-37.0,37.0,82,74.61744966442953
45,230.0,0,1,0,10,10,1,0,-40.0,40.0,83,76.33774834437087
46,235.0,4,5,0,10,10,4,4,-47.0,47.0,82,78.53947368421052
47,240.0,5,6,2,10,10,1,5,-51.0,51.0,80,81.1842105263158
48,245.0,6,7,2,10,10,2,6,-49.0,49.0,77,83.22222222222223
49,250.0,1,2,2,10,10,4,1,-47.0,47.0,76,83.54777070063695
50,255.0,5,6,2,10,10,1,5,-40.0,40.0,79,83.91304347826087
51,260.0,6,7,2,10,10,3,6,-41.0,41.0,75,86.27329192546584
52,265.0,2,3,2,7,10,4,2,-40.0,40.0,74,87.49079754601227
53,270.0,1,2,2,4,10,4,1,-32.0,32.0,72,89.7239263803681
54,275.0,0,1,0,5,10,1,0,-26.0,26.0,70,90.77575757575758
55,280.0,0,1,0,8,10,0,0,-28.0,28.0,69,91.2202380952381
56,285.0,6,7,1,8,10,3,6,-34.0,34.0,74,89.65142857142857
57,290.0,0,1,1,10,10,0,0,-38.0,38.0,78,89.30555555555556
58,295.0,3,4,1,10,10,2,3,-45.0,45.0,81,89.57065217391305
59,300.0,7,8,2,10,10,2,7,-44.0,44.0,83,89.4021164021164
60,305.0,7,8,2,10,10,2,7,-45.0,45.0,86,88.86666666666666
61,310.0,7,8,2,10,10,2,7,-44.0,44.0,88,87.1421568627451
62,315.0,7,8,5,10,10,3,7,-49.0,49.0,90,87.72115384615384
63,320.0,2,3,5,10,10,3,2,-51.0,51.0,93,87.93896713615024
64,325.0,4,5,3,10,10,3,4,-51.0,51.0,94,87.82648401826484
65,330.0,1,2,4,10,10,3,1,-47.0,47.0,93,87.80444444444444
66,335.0,0,1,2,10,10,0,0,-42.0,42.0,94,88.61135371179039
67,340.0,3,4,5,10,10,2,3,-46.0,46.0,94,90.52608695652174
68,345.0,5,6,7,10,10,0,5,-51.0,51.0,94,92.77391304347826
69,350.0,4,5,5,10,10,0,4,-56.0,56.0,95,94.1853448275862
70,355.0,3,4,3,10,10,0,3,-56.0,56.0,98,95.18723404255319
71,360.0,1,2,6,10,10,1,1,-56.0,56.0,97,96.95338983050847
72,365.0,1,2,7,10,10,1,1,-53.0,53.0,98,98.67510548523207
73,370.0,5,6,7,10,10,0,5,-50.0,50.0,97,99.525
74,375.0,4,5,3,10,10,1,4,-49.0,49.0,101,98.3991935483871
75,380.0,4,5,0,10,10,4,4,-56.0,56.0,106,97.4609375
76,385.0,5,6,1,10,10,0,5,-56.0,56.0,105,98.5057915057915
77,390.0,3,4,4,10,10,2,3,-59.0,59.0,104,98.76515151515152
78,395.0,2,3,5,10,10,5,2,-63.0,63.0,102,100.85227272727273
79,400.0,4,5,3,10,10,7,4,-65.0,65.0,101,101.77902621722846
80,405.0,4,5,1,10,10,7,4,-64.0,64.0,99,103.8314606741573
81,410.0,1,2,1,10,10,7,1,-67.0,67.0,99,105.46641791044776
82,415.0,7,8,6,10,10,7,7,-72.0,72.0,99,105.14963503649635
83,420.0,1,2,10,10,10,7,1,-72.0,72.0,103,104.92142857142858
84,425.0,0,1,7,10,10,5,0,-66.0,66.0,104,106.61565836298932
85,430.0,5,6,6,10,10,1,5,-62.0,62.0,105,106.83566433566433
86,435.0,5,6,8,10,10,0,5,-61.0,61.0,106,107.45517241379311
87,440.0,4,5,4,10,10,2,4,-60.0,60.0,103,108.42662116040955
88,445.0,5,6,1,10,10,0,5,-55.0,55.0,103,109.05050505050505
89,450.0,3,4,6,10,10,2,3,-60.0,60.0,103,107.8921568627451
90,455.0,0,1,4,10,10,0,0,-58.0,58.0,104,108.26045016077171
91,460.0,6,7,3,10,10,4,6,-62.0,62.0,108,108.30914826498423
92,465.0,4,5,2,10,10,4,4,-70.0,70.0,109,109.75235109717869
93,470.0,4,5,0,10,10,4,4,-75.0,75.0,109,110.16666666666667
94,475.0,5,6,1,10,10,0,5,-75.0,75.0,111,109.65361445783132
95,480.0,3,4,5,10,10,0,3,-77.0,77.0,109,111.46546546546547
96,485.0,1,2,8,10,10,0,1,-74.0,74.0,106,112.25519287833828
97,490.0,7,8,9,10,10,0,7,-72.0,72.0,104,113.05278592375366
98,495.0,7,8,9,10,10,0,7,-69.0,69.0,102,114.50437317784257
99,500.0,7,8,10,10,10,1,7,-65.0,65.0,102,115.30547550432277
100,505.0,4,5,7,10,10,1,4,-64.0,64.0,100,115.75852272727273
101,510.0,3,4,6,10,10,1,3,-61.0,61.0,99,115.91620111731844
102,515.0,6,7,7,10,10,1,6,-56.0,56.0,97,117.66852367688023
103,520.0,6,7,9,10,10,1,6,-53.0,53.0,96,118.72375690607734
