decision_step,time,action,phase_id,state_north_bucket,state_east_bucket,state_south_bucket,state_west_bucket,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,0,1,0,0,0,0,-0.0,0.0,2,3.5
1,10.0,0,1,0,0,0,0,-0.0,0.0,3,6.333333333333333
2,15.0,0,1,0,0,0,0,-0.0,0.0,5,7.8
3,20.0,0,1,0,0,0,0,-0.0,0.0,8,7.8
4,25.0,0,1,0,0,0,0,-0.0,0.0,14,9.571428571428571
5,30.0,0,1,0,0,0,0,-0.0,0.0,15,13.866666666666667
6,35.0,0,1,0,0,0,0,-0.0,0.0,18,16.27777777777778
7,40.0,0,1,0,0,0,0,-0.0,0.0,22,17.954545454545453
8,45.0,0,1,0,1,0,0,-1.0,1.0,27,18.06896551724138
9,50.0,1,2,0,1,0,0,-1.0,1.0,33,19.65714285714286
10,55.0,1,2,1,0,0,1,-3.0,3.0,37,23.486486486486488
11,60.0,4,5,0,1,0,1,-3.0,3.0,38,26.575
12,65.0,4,5,0,1,1,1,-5.0,5.0,37,31.3
13,70.0,4,5,0,2,1,1,-7.0,7.0,38,34.30952380952381
14,75.0,1,2,1,2,0,1,-8.0,8.0,36,38.73809523809524
15,80.0,4,5,0,3,2,1,-11.0,11.0,39,37.958333333333336
16,85.0,1,2,1,3,1,1,-11.0,11.0,39,40.42
17,90.0,4,5,0,3,2,1,-11.0,11.0,38,43.509803921568626
18,95.0,1,2,1,3,1,1,-11.0,11.0,38,46.32692307692308
19,100.0,4,5,0,3,1,1,-10.0,10.0,37,49.0
20,105.0,1,2,1,3,1,1,-11.0,11.0,36,50.50909090909091
21,110.0,4,5,0,3,1,2,-11.0,11.0,38,51.03448275862069
22,115.0,1,2,1,2,1,3,-14.0,14.0,36,53.28813559322034
23,120.0,1,2,1,2,1,3,-13.0,13.0,39,53.0
24,125.0,1,2,2,2,1,3,-15.0,15.0,40,52.776119402985074
25,130.0,4,5,1,2,1,3,-12.0,12.0,41,54.18840579710145
26,135.0,1,2,1,2,1,3,-13.0,13.0,43,53.33783783783784
27,140.0,1,2,2,2,1,3,-17.0,17.0,43,54.776315789473685
28,145.0,4,5,2,2,1,3,-16.0,16.0,44,56.15384615384615
29,150.0,4,5,1,3,1,3,-17.0,17.0,43,58.177215189873415
30,155.0,0,1,1,3,1,2,-14.0,14.0,46,56.01162790697674
31,160.0,0,1,1,3,1,2,-13.0,13.0,52,54.02127659574468
32,165.0,0,1,1,3,2,1,-13.0,13.0,55,55.22680412371134
33,170.0,1,2,2,3,1,2,-13.0,13.0,59,55.36274509803921
34,175.0,4,5,1,3,1,2,-16.0,16.0,60,56.714285714285715
35,180.0,0,1,0,3,1,1,-12.0,12.0,64,56.585585585585584
36,185.0,1,2,1,3,1,2,-14.0,14.0,63,58.415929203539825
37,190.0,0,1,2,3,2,2,-20.0,20.0,63,59.560344827586206
38,195.0,0,1,2,4,2,1,-19.0,19.0,61,61.11864406779661
39,200.0,0,1,2,4,2,1,-23.0,23.0,65,59.79365079365079
40,205.0,0,1,2,4,2,1,-27.0,27.0,66,61.90551181102362
41,210.0,0,1,2,4,2,1,-29.0,29.0,64,62.93846153846154
42,215.0,0,1,2,4,2,1,-30.0,30.0,65,64.45454545454545
43,220.0,0,1,2,4,2,1,-33.0,33.0,65,65.0220588235294
44,225.0,0,1,2,4,3,1,-37.0,37.0,63,66.8905109489051
45,230.0,4,5,0,4,3,1,-36.0,36.0,59,69.10218978102189
46,235.0,4,5,0,4,3,1,-39.0,39.0,57,71.22627737226277
47,240.0,4,5,0,4,3,1,-42.0,42.0,59,71.29787234042553
48,245.0,4,5,0,4,4,1,-44.0,44.0,57,73.36170212765957
49,250.0,3,4,0,4,3,1,-38.0,38.0,58,73.84027777777777
50,255.0,4,5,0,4,3,1,-38.0,38.0,58,75.34482758620689
51,260.0,4,5,0,4,3,1,-40.0,40.0,55,77.26896551724138
52,265.0,4,5,0,4,3,1,-42.0,42.0,52,79.07586206896552
53,270.0,4,5,0,4,3,1,-42.0,42.0,54,79.29729729729729
54,275.0,4,5,0,4,3,1,-42.0,42.0,56,80.63087248322148
55,280.0,4,5,0,4,3,2,-44.0,44.0,53,81.33774834437087
56,285.0,7,8,0,4,2,2,-41.0,41.0,55,82.61184210526316
57,290.0,2,3,0,4,2,2,-39.0,39.0,56,83.89542483660131
58,295.0,2,3,0,4,2,2,-40.0,40.0,56,84.6258064516129
59,300.0,2,3,1,4,3,3,-46.0,46.0,58,84.35220125786164
60,305.0,4,5,0,4,3,3,-47.0,47.0,62,85.22981366459628
61,310.0,5,6,0,4,3,2,-46.0,46.0,61,87.12422360248448
62,315.0,7,8,1,4,2,2,-46.0,46.0,61,87.920245398773
63,320.0,6,7,1,4,2,2,-37.0,37.0,62,88.7030303030303
64,325.0,6,7,1,3,3,3,-36.0,36.0,64,89.01785714285714
65,330.0,1,2,1,4,1,3,-33.0,33.0,67,89.3859649122807
66,335.0,1,2,1,4,0,3,-30.0,30.0,71,89.34857142857143
67,340.0,7,8,1,4,0,3,-29.0,29.0,72,89.85955056179775
68,345.0,7,8,1,4,0,3,-31.0,31.0,76,89.43715846994536
69,350.0,7,8,1,4,0,3,-33.0,33.0,72,91.43169398907104
70,355.0,7,8,1,4,0,4,-35.0,35.0,69,92.81521739130434
71,360.0,7,8,2,4,0,4,-39.0,39.0,68,93.16042780748663
