decision_step,time,action,phase_id,state_north_bucket,state_east_bucket,state_south_bucket,state_west_bucket,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,3,4,0,0,0,0,-0.1,0.0,2,3.5
1,10.0,3,4,0,0,0,0,-0.15000000000000002,0.0,3,6.333333333333333
2,15.0,3,4,0,0,0,0,-0.25,0.0,5,7.8
3,20.0,3,4,0,0,0,0,-0.4,0.0,8,7.8
4,25.0,3,4,0,0,0,0,-0.7000000000000001,0.0,14,9.571428571428571
5,30.0,3,4,0,0,0,0,-0.75,0.0,15,13.866666666666667
6,35.0,3,4,1,0,0,0,-2.9,2.0,18,16.27777777777778
7,40.0,0,1,0,0,0,0,-1.1,0.0,22,17.954545454545453
8,45.0,3,4,1,1,0,0,-4.35,3.0,27,18.06896551724138
9,50.0,0,1,0,2,1,0,-5.65,4.0,33,19.65714285714286
10,55.0,1,2,1,1,0,1,-7.85,6.0,37,23.486486486486488
11,60.0,6,7,2,0,0,1,-8.0,6.0,40,26.7
12,65.0,4,5,1,1,1,1,-9.0,7.0,40,31.7
13,70.0,4,5,0,2,1,1,-9.0,7.0,40,34.95238095238095
14,75.0,0,1,0,3,2,1,-13.0,11.0,40,39.714285714285715
15,80.0,6,7,1,2,3,1,-16.1,14.0,42,39.145833333333336
16,85.0,4,5,0,3,3,1,-17.1,15.0,42,41.92
17,90.0,7,8,1,3,2,1,-15.05,13.0,41,45.254901960784316
18,95.0,4,5,0,3,1,1,-14.05,12.0,41,48.32692307692308
19,100.0,5,6,1,3,2,0,-18.0,16.0,40,51.24528301886792
20,105.0,1,2,2,2,1,0,-10.95,9.0,39,52.89090909090909
21,110.0,0,1,1,2,1,0,-8.95,7.0,39,53.41379310344828
22,115.0,1,2,2,2,1,0,-10.9,9.0,38,55.76271186440678
23,120.0,0,1,2,2,1,0,-10.95,9.0,39,55.333333333333336
24,125.0,0,1,1,3,1,0,-11.1,9.0,42,55.07462686567164
25,130.0,0,1,1,3,1,0,-11.15,9.0,43,56.53623188405797
26,135.0,0,1,1,3,1,0,-11.2,9.0,44,55.5945945945946
27,140.0,0,1,1,3,1,0,-13.15,11.0,43,57.01315789473684
28,145.0,0,1,1,4,1,0,-16.15,14.0,43,58.30769230769231
29,150.0,4,5,0,4,1,0,-16.05,14.0,41,60.265822784810126
30,155.0,2,3,1,4,1,0,-17.15,15.0,43,57.80232558139535
31,160.0,4,5,0,4,2,1,-18.45,16.0,49,55.51063829787234
32,165.0,3,4,1,3,2,2,-19.5,17.0,50,56.44329896907217
33,170.0,4,5,0,4,2,2,-22.65,20.0,53,56.254901960784316
34,175.0,4,5,0,4,2,2,-23.7,21.0,54,57.2952380952381
35,180.0,4,5,0,4,2,2,-25.85,23.0,57,56.83783783783784
36,185.0,4,5,0,4,3,3,-32.0,29.0,60,58.47787610619469
37,190.0,0,1,1,4,3,2,-32.1,29.0,62,59.560344827586206
38,195.0,7,8,1,4,2,1,-30.15,27.0,63,61.17796610169491
39,200.0,6,7,2,3,2,2,-33.35,30.0,67,59.92063492063492
40,205.0,4,5,2,3,3,2,-33.4,30.0,68,62.118110236220474
41,210.0,5,6,2,4,3,1,-34.45,31.0,69,63.33076923076923
42,215.0,0,1,2,4,3,0,-34.5,31.0,70,65.03030303030303
43,220.0,4,5,0,4,3,1,-33.4,30.0,68,65.70588235294117
44,225.0,3,4,1,3,3,1,-38.45,35.0,69,67.77372262773723
45,230.0,7,8,2,4,3,1,-41.35,38.0,67,70.24817518248175
46,235.0,0,1,2,4,2,0,-38.25,35.0,65,72.63503649635037
47,240.0,6,7,2,3,3,0,-37.25,34.0,65,72.87943262411348
48,245.0,6,7,3,3,3,0,-41.05,38.0,61,75.08510638297872
49,250.0,6,7,3,3,3,0,-39.05,36.0,61,75.61805555555556
50,255.0,6,7,3,3,3,0,-35.0,32.0,60,77.1655172413793
51,260.0,6,7,3,3,3,0,-31.9,29.0,58,79.18620689655172
52,265.0,6,7,3,3,3,0,-28.8,26.0,56,81.13103448275862
53,270.0,6,7,3,2,3,0,-25.75,23.0,55,81.37162162162163
54,275.0,1,2,3,1,3,0,-18.75,16.0,55,82.67114093959732
55,280.0,1,2,3,0,1,1,-15.65,13.0,53,83.36423841059603
56,285.0,0,1,3,0,1,1,-11.65,9.0,53,84.59868421052632
57,290.0,0,1,2,2,2,0,-13.6,11.0,52,85.77777777777777
58,295.0,6,7,2,2,3,1,-16.55,14.0,51,86.35483870967742
59,300.0,0,1,1,3,3,1,-17.55,15.0,51,85.85534591194968
60,305.0,7,8,2,3,2,2,-19.55,17.0,51,86.42857142857143
61,310.0,4,5,1,3,2,2,-23.35,21.0,47,87.93788819875776
62,315.0,4,5,0,3,2,3,-27.35,25.0,47,88.31288343558282
63,320.0,1,2,1,3,1,3,-24.3,22.0,46,88.63030303030303
64,325.0,1,2,1,3,0,3,-20.35,18.0,47,88.45238095238095
65,330.0,0,1,0,3,1,2,-16.35,14.0,47,88.27485380116958
66,335.0,6,7,1,3,1,2,-15.55,13.0,51,87.70285714285714
67,340.0,0,1,0,3,1,2,-14.6,12.0,52,87.67415730337079
68,345.0,6,7,0,3,1,2,-15.75,13.0,55,86.73770491803279
69,350.0,6,7,0,3,1,3,-17.6,15.0,52,88.18579234972678
70,355.0,0,1,0,3,2,2,-18.45,16.0,49,89.04347826086956
71,360.0,6,7,0,2,2,3,-17.5,15.0,50,88.9572192513369
72,365.0,6,7,1,1,2,4,-21.65,19.0,53,86.68717948717949
73,370.0,6,7,2,1,2,4,-23.85,21.0,57,85.11881188118812
74,375.0,6,7,2,0,2,4,-25.0,22.0,60,84.96601941747574
75,380.0,3,4,2,1,2,4,-27.0,24.0,60,84.85238095238095
76,385.0,6,7,2,1,3,4,-28.1,25.0,62,85.99052132701422
77,390.0,7,8,3,1,2,4,-28.2,25.0,64,86.68544600938966
78,395.0,4,5,2,3,3,4,-33.25,30.0,65,86.61290322580645
79,400.0,4,5,1,3,3,4,-35.25,32.0,65,87.34246575342466
80,405.0,6,7,1,2,4,4,-34.35,31.0,67,86.55111111111111
81,410.0,0,1,1,2,4,3,-32.5,29.0,70,86.3
82,415.0,0,1,0,3,4,3,-35.65,32.0,73,87.1896551724138
83,420.0,5,6,1,3,4,1,-35.6,32.0,72,88.05128205128206
84,425.0,1,2,2,3,4,1,-35.55,32.0,71,89.23829787234042
85,430.0,0,1,1,3,4,1,-33.5,30.0,70,90.73617021276596
86,435.0,1,2,1,3,4,2,-32.45,29.0,69,91.8135593220339
87,440.0,6,7,1,3,4,2,-34.3,31.0,66,93.23305084745763
88,445.0,6,7,2,3,4,2,-32.1,29.0,62,94.5677966101695
89,450.0,1,2,2,2,4,2,-27.05,24.0,61,94.64435146443515
90,455.0,1,2,2,1,4,2,-22.95,20.0,59,94.71900826446281
91,460.0,4,5,0,0,4,2,-20.0,17.0,60,93.33333333333333
92,465.0,1,2,1,1,3,2,-18.15,15.0,63,93.17786561264822
93,470.0,5,6,1,2,3,1,-16.15,13.0,63,92.65891472868218
94,475.0,4,5,0,3,3,2,-23.2,20.0,64,93.61389961389962
95,480.0,1,2,1,3,3,3,-25.3,22.0,66,93.12878787878788
96,485.0,7,8,2,2,2,3,-24.25,21.0,65,93.66917293233082
97,490.0,4,5,2,3,2,3,-28.25,25.0,65,94.55805243445693
98,495.0,4,5,1,3,3,4,-32.15,29.0,63,95.7565543071161
99,500.0,6,7,2,3,3,4,-37.15,34.0,63,96.57462686567165
100,505.0,4,5,1,2,3,4,-33.25,30.0,65,95.97435897435898
101,510.0,6,7,2,2,3,4,-36.25,33.0,65,96.1159420289855
102,515.0,6,7,3,1,3,4,-37.3,34.0,66,95.92857142857143
103,520.0,7,8,4,1,2,4,-35.45,32.0,69,95.13286713286713
104,525.0,3,4,4,3,2,4,-39.65,36.0,73,95.06206896551724
105,530.0,7,8,4,3,1,4,-40.7,37.0,74,95.65753424657534
106,535.0,1,2,4,2,2,4,-39.5,36.0,70,96.87328767123287
107,540.0,0,1,3,2,2,4,-33.65,30.0,73,96.80405405405405
108,545.0,6,7,3,2,3,4,-37.65,34.0,73,97.37248322147651
109,550.0,4,5,2,3,4,4,-41.8,38.0,76,96.04901960784314
110,555.0,4,5,1,3,4,4,-44.0,40.0,80,96.40776699029126
111,560.0,1,2,1,3,4,4,-41.05,37.0,81,96.4888178913738
112,565.0,1,2,3,3,3,4,-42.1,38.0,82,96.55520504731861
113,570.0,6,7,3,0,3,4,-40.1,36.0,82,97.5503144654088
114,575.0,1,2,3,0,3,4,-41.2,37.0,84,97.63975155279503
115,580.0,1,2,3,0,2,4,-41.2,37.0,84,98.33333333333333
116,585.0,3,4,3,1,2,4,-43.3,39.0,86,97.58006042296073
117,590.0,4,5,3,2,3,4,-42.3,38.0,86,98.61144578313252
118,595.0,4,5,2,2,4,4,-47.2,43.0,84,99.2994011976048
119,600.0,0,1,1,2,4,4,-44.15,40.0,83,99.66765578635015
120,605.0,0,1,0,3,4,4,-44.95,41.0,79,100.86646884272997
121,610.0,3,4,1,3,4,4,-44.8,41.0,76,102.00593471810089
122,615.0,1,2,2,3,4,4,-43.7,40.0,74,103.10979228486647
123,620.0,4,5,1,3,4,4,-41.65,38.0,73,103.88165680473372
124,625.0,1,2,2,3,4,4,-40.6,37.0,72,103.75146198830409
125,630.0,4,5,1,3,3,4,-38.55,35.0,71,103.92463768115942
126,635.0,6,7,2,3,4,4,-40.6,37.0,72,103.78510028653295
127,640.0,4,5,0,3,4,4,-41.7,38.0,74,102.53501400560224
128,645.0,3,4,1,3,3,4,-46.75,43.0,75,102.48753462603878
129,650.0,6,7,1,3,4,4,-48.85,45.0,77,102.76373626373626
130,655.0,1,2,1,1,4,4,-41.9,38.0,78,102.76902173913044
131,660.0,0,1,0,1,3,4,-37.9,34.0,78,103.87771739130434
132,665.0,0,1,1,3,3,4,-42.95,39.0,79,103.86290322580645
133,670.0,6,7,2,2,4,4,-45.1,41.0,82,103.87234042553192
134,675.0,0,1,2,2,4,4,-44.35,40.0,87,103.37958115183245
135,680.0,0,1,2,2,4,4,-42.4,38.0,88,103.99739583333333
136,685.0,0,1,2,3,4,4,-42.35,38.0,87,104.05154639175258
137,690.0,4,5,0,3,4,4,-37.45,33.0,89,104.65897435897436
138,695.0,3,4,2,3,3,4,-45.4,41.0,88,104.9796437659033
139,700.0,4,5,1,3,3,4,-47.5,43.0,90,105.30050505050505
140,705.0,6,7,1,3,3,4,-50.45,46.0,89,105.88442211055276
141,710.0,6,7,3,3,3,4,-54.4,50.0,88,106.20199501246883
142,715.0,6,7,3,2,3,4,-55.4,51.0,88,105.97290640394088
143,720.0,4,5,3,2,3,4,-55.3,51.0,86,106.77149877149877
