decision_step,time,action,phase_id,state_north_bucket,state_east_bucket,state_south_bucket,state_west_bucket,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,3,4,0,0,0,0,-0.2,0.0,2,3.5
1,10.0,3,4,0,0,0,0,-0.30000000000000004,0.0,3,6.333333333333333
2,15.0,3,4,0,0,0,0,-0.5,0.0,5,7.8
3,20.0,3,4,0,0,0,0,-0.8,0.0,8,7.8
4,25.0,3,4,0,0,0,0,-1.4000000000000001,0.0,14,9.571428571428571
5,30.0,3,4,0,0,0,0,-1.5,0.0,15,13.866666666666667
6,35.0,3,4,1,0,0,0,-3.8,2.0,18,16.27777777777778
7,40.0,0,1,0,0,0,0,-2.2,0.0,22,17.954545454545453
8,45.0,3,4,1,1,0,0,-5.7,3.0,27,18.06896551724138
9,50.0,1,2,2,0,0,0,-6.300000000000001,3.0,33,19.65714285714286
10,55.0,0,1,1,1,1,1,-8.7,5.0,37,23.486486486486488
11,60.0,6,7,1,0,1,1,-9.0,5.0,40,26.7
12,65.0,1,2,3,0,0,1,-11.0,7.0,40,31.7
13,70.0,0,1,2,1,1,1,-13.0,9.0,40,34.95238095238095
14,75.0,4,5,2,3,1,1,-15.9,12.0,39,39.69047619047619
15,80.0,2,3,1,3,2,0,-19.1,15.0,41,39.020833333333336
16,85.0,1,2,3,3,2,0,-19.1,15.0,41,41.68
17,90.0,7,8,3,2,0,0,-16.1,12.0,41,45.01960784313726
18,95.0,6,7,3,1,1,0,-14.0,10.0,40,48.0
19,100.0,6,7,3,0,1,0,-15.0,11.0,40,50.905660377358494
20,105.0,0,1,2,1,1,0,-13.0,9.0,40,52.654545454545456
21,110.0,4,5,2,1,1,1,-12.2,8.0,42,53.37931034482759
22,115.0,4,5,0,1,1,2,-10.9,7.0,39,55.86440677966102
23,120.0,4,5,0,1,1,2,-13.0,9.0,40,55.507936507936506
24,125.0,4,5,0,1,1,2,-13.0,9.0,40,55.134328358208954
25,130.0,4,5,0,1,1,2,-12.9,9.0,39,56.34782608695652
26,135.0,4,5,0,1,1,2,-13.100000000000001,9.0,41,55.229729729729726
27,140.0,4,5,0,2,1,2,-15.100000000000001,11.0,41,56.48684210526316
28,145.0,2,3,1,3,1,2,-18.1,14.0,41,57.62820512820513
29,150.0,2,3,2,3,1,2,-21.0,17.0,40,59.44303797468354
30,155.0,6,7,3,1,1,3,-20.3,16.0,43,57.0
31,160.0,4,5,1,1,2,3,-19.9,15.0,49,54.755319148936174
32,165.0,1,2,1,1,0,3,-17.0,12.0,50,55.70103092783505
33,170.0,4,5,1,2,1,3,-21.3,16.0,53,55.53921568627451
34,175.0,6,7,1,1,1,3,-19.6,14.0,56,56.666666666666664
35,180.0,2,3,3,2,1,3,-29.2,23.0,62,56.42342342342342
36,185.0,6,7,3,1,2,3,-32.1,26.0,61,58.15929203539823
37,190.0,1,2,4,1,0,3,-32.2,26.0,62,59.25
38,195.0,0,1,4,1,1,3,-32.1,26.0,61,60.813559322033896
39,200.0,4,5,3,2,1,3,-31.6,25.0,66,59.53174603174603
40,205.0,6,7,4,3,2,3,-35.8,29.0,68,61.724409448818896
41,210.0,4,5,3,3,2,3,-32.0,25.0,70,62.95384615384615
42,215.0,1,2,2,2,0,3,-27.1,20.0,71,64.68939393939394
43,220.0,3,4,3,3,1,3,-35.9,29.0,69,65.41176470588235
44,225.0,0,1,3,3,2,3,-33.9,27.0,69,67.4963503649635
45,230.0,1,2,3,3,2,2,-31.6,25.0,66,69.93430656934306
46,235.0,1,2,3,3,1,3,-33.4,27.0,64,72.2992700729927
47,240.0,0,1,3,3,2,3,-33.4,27.0,64,72.51063829787235
