episode,total_reward,mean_reward_per_decision,final_waiting,avg_waiting,final_avg_travel_time,epsilon
1,-7323.000000000001,-50.854166666666664,70.0,43.03472222222222,142.62653562653563,0.997
2,-7587.900000000001,-52.693749999999994,73.0,44.65972222222222,149.47420147420146,0.994009
3,-7232.700000000003,-50.22708333333333,62.0,42.43055555555556,141.34643734643734,0.991026973
4,-7141.600000000001,-49.59444444444445,82.0,41.80555555555556,140.13513513513513,0.988053892081
5,-8020.700000000002,-55.69930555555556,84.0,47.513888888888886,152.19164619164619,0.985089730404757
6,-8023.2000000000035,-55.71666666666666,75.0,47.625,161.25552825552825,0.9821344612135428
7,-7827.899999999997,-54.360416666666666,84.0,46.111111111111114,154.03685503685503,0.9791880578299021
8,-7634.299999999999,-53.01597222222222,86.0,44.916666666666664,146.53071253071252,0.9762504936564125
9,-8609.1,-59.78541666666667,92.0,51.125,162.45945945945945,0.9733217421754432
10,-7064.7,-49.06041666666667,76.0,41.388888888888886,140.86732186732186,0.9704017769489168
11,-7639.099999999999,-53.04930555555555,88.0,45.111111111111114,143.53562653562653,0.9674905716180701
12,-7697.5999999999985,-53.45555555555555,65.0,45.38194444444444,153.9164619164619,0.9645880999032158
13,-8201.699999999997,-56.956250000000004,67.0,48.59722222222222,154.28255528255528,0.9616943356035061
14,-7554.8,-52.46388888888888,64.0,44.604166666666664,155.1031941031941,0.9588092525966956
15,-6922.5,-48.072916666666664,69.0,40.47222222222222,138.1007371007371,0.9559328248389055
16,-8044.700000000001,-55.865972222222226,63.0,47.791666666666664,154.84520884520884,0.9530650263643888
17,-7698.400000000002,-53.461111111111116,71.0,45.5,150.6044226044226,0.9502058312852957
18,-7419.0,-51.52083333333334,77.0,43.61805555555556,142.67321867321868,0.9473552137914398
19,-8245.199999999999,-57.25833333333334,78.0,48.90972222222222,160.16216216216216,0.9445131481500655
20,-6550.300000000001,-45.488194444444446,76.0,38.1875,136.6904176904177,0.9416796087056153
21,-7925.299999999999,-55.03680555555555,77.0,46.84027777777778,153.3194103194103,0.9388545698794984
22,-8371.900000000001,-58.138194444444444,80.0,49.791666666666664,160.8968058968059,0.93603800616986
23,-6998.799999999997,-48.60277777777778,79.0,41.06944444444444,139.82555282555282,0.9332298921513504
24,-8262.8,-57.38055555555555,83.0,49.05555555555556,157.84029484029483,0.9304302024748964
25,-8595.2,-59.6888888888889,84.0,51.25,166.7125307125307,0.9276389118674717
26,-7785.699999999999,-54.06736111111112,65.0,46.06944444444444,155.78378378378378,0.9248559951318693
27,-7126.799999999999,-49.49166666666666,62.0,41.770833333333336,145.5061425061425,0.9220814271464737
28,-6685.100000000001,-46.424305555555556,70.0,39.1875,136.8132678132678,0.9193151828650342
29,-7634.499999999999,-53.017361111111114,75.0,45.013888888888886,146.3857493857494,0.9165572373164391
30,-6648.600000000001,-46.17083333333333,67.0,38.826388888888886,140.61916461916462,0.9138075656044898
31,-7174.4,-49.82222222222222,78.0,42.03472222222222,141.36117936117935,0.9110661429076764
32,-7602.8,-52.797222222222224,69.0,44.74305555555556,149.1818181818182,0.9083329444789534
33,-6718.700000000002,-46.65763888888889,82.0,39.375,134.8992628992629,0.9056079456455165
34,-7587.999999999999,-52.69444444444445,70.0,44.6875,144.63144963144964,0.90289112180858
35,-7184.899999999998,-49.89513888888889,60.0,42.291666666666664,144.14496314496316,0.9001824484431542
36,-8225.400000000001,-57.120833333333344,62.0,48.729166666666664,160.35626535626537,0.8974819010978248
37,-7843.199999999998,-54.46666666666667,83.0,46.479166666666664,159.55282555282557,0.8947894553945313
38,-7587.2999999999965,-52.68958333333333,63.0,44.63194444444444,148.05159705159704,0.8921050870283477
39,-8859.800000000005,-61.52638888888888,84.0,52.951388888888886,166.23095823095824,0.8894287717672626
40,-7275.700000000001,-50.52569444444444,61.0,42.888888888888886,145.3046683046683,0.8867604854519608
41,-7512.200000000003,-52.168055555555554,65.0,44.24305555555556,148.15970515970517,0.884100203995605
42,-7629.0,-52.979166666666664,82.0,45.09722222222222,146.12776412776412,0.8814479033836181
43,-7969.500000000001,-55.34375,74.0,47.0625,156.25307125307125,0.8788035596734672
44,-7570.399999999997,-52.57222222222222,66.0,44.55555555555556,147.34398034398035,0.8761671489944468
45,-7494.499999999999,-52.045138888888886,72.0,44.145833333333336,146.0835380835381,0.8735386475474635
46,-7645.2000000000035,-53.09166666666666,59.0,44.791666666666664,149.73710073710075,0.8709180316048211
47,-5958.399999999998,-41.37777777777777,68.0,34.458333333333336,123.92383292383292,0.8683052775100066
48,-7440.599999999999,-51.670833333333334,72.0,43.80555555555556,145.2972972972973,0.8657003616774767
49,-7887.900000000002,-54.77708333333333,73.0,46.520833333333336,153.5159705159705,0.8631032605924442
50,-7405.7000000000035,-51.428472222222226,79.0,43.4375,143.35135135135135,0.860513950810667
51,-6944.6,-48.22638888888889,83.0,40.44444444444444,140.86240786240785,0.857932408958235
52,-6915.199999999999,-48.022222222222226,63.0,40.458333333333336,138.46437346437347,0.8553586117313603
53,-7917.499999999998,-54.982638888888886,80.0,46.736111111111114,151.66584766584768,0.8527925358961662
54,-6519.999999999997,-45.27777777777777,69.0,37.94444444444444,137.31695331695332,0.8502341582884777
55,-7490.699999999999,-52.01875,69.0,44.25,155.35626535626537,0.8476834558136123
56,-7335.4,-50.94027777777777,65.0,43.06944444444444,147.16707616707617,0.8451404054461714
57,-8212.600000000002,-57.031944444444434,82.0,48.729166666666664,159.97788697788698,0.8426049842298329
58,-7666.199999999995,-53.23749999999999,74.0,45.173611111111114,148.64373464373463,0.8400771692771434
59,-7309.200000000001,-50.758333333333326,70.0,42.8125,142.982800982801,0.837556937769312
60,-7710.2,-53.543055555555554,57.0,45.520833333333336,153.83046683046683,0.835044266956004
61,-7267.999999999996,-50.47222222222222,93.0,42.75694444444444,141.85749385749386,0.8325391341551359
62,-6790.5,-47.15625,67.0,39.625,137.6216216216216,0.8300415167526705
63,-7266.6,-50.462500000000006,79.0,42.770833333333336,140.9041769041769,0.8275513922024125
64,-8436.8,-58.58888888888888,81.0,50.15972222222222,166.07616707616708,0.8250687380258053
65,-6642.700000000001,-46.12986111111112,73.0,38.798611111111114,135.84275184275185,0.8225935318117279
66,-6963.1,-48.35486111111111,67.0,40.729166666666664,138.79115479115478,0.8201257512162927
67,-7672.499999999998,-53.28125,73.0,45.388888888888886,150.1965601965602,0.8176653739626438
68,-6995.800000000001,-48.581944444444446,85.0,40.90972222222222,136.92874692874693,0.8152123778407558
69,-7345.100000000002,-51.0076388888889,64.0,43.145833333333336,150.45700245700246,0.8127667407072335
70,-7029.6,-48.81666666666666,60.0,41.11805555555556,144.07862407862407,0.8103284404851119
71,-7618.200000000001,-52.90416666666667,87.0,45.09027777777778,147.06879606879608,0.8078974551636565
72,-7033.8,-48.84583333333333,73.0,41.166666666666664,138.88206388206387,0.8054737627981655
73,-7264.400000000001,-50.44722222222222,83.0,42.708333333333336,140.22604422604422,0.803057341509771
74,-7196.500000000001,-49.97569444444444,82.0,42.50694444444444,138.8058968058968,0.8006481694852418
75,-7094.899999999999,-49.27013888888889,65.0,41.645833333333336,140.3857493857494,0.798246224976786
76,-6209.699999999999,-43.12291666666667,67.0,35.958333333333336,130.88943488943488,0.7958514863018556
77,-7328.9,-50.895138888888894,65.0,43.09722222222222,146.47174447174447,0.79346393184295
78,-6591.6,-45.775,68.0,38.46527777777778,133.54545454545453,0.7910835400474212
79,-6676.5,-46.364583333333336,59.0,38.958333333333336,138.65847665847667,0.7887102894272789
80,-6207.8,-43.109722222222224,61.0,35.84027777777778,131.1867321867322,0.7863441585589971
81,-7047.600000000001,-48.94166666666667,51.0,41.3125,149.57739557739558,0.78398512608332
82,-6406.100000000001,-44.48680555555555,71.0,37.19444444444444,130.92874692874693,0.7816331707050701
83,-8416.0,-58.44444444444444,69.0,50.06944444444444,162.05896805896805,0.7792882711929549
84,-6381.5999999999985,-44.31666666666667,57.0,37.19444444444444,133.12039312039312,0.776950406379376
85,-7033.499999999999,-48.84375,59.0,41.28472222222222,141.98034398034397,0.7746195551602378
86,-6455.799999999999,-44.831944444444446,68.0,37.56944444444444,131.35626535626537,0.7722956964947572
87,-6702.499999999999,-46.54513888888889,69.0,39.4375,131.7936117936118,0.7699788094052729
88,-6997.799999999998,-48.59583333333333,89.0,40.88194444444444,140.23341523341523,0.767668872977057
89,-7296.1,-50.66736111111111,70.0,42.833333333333336,144.6216216216216,0.7653658663581259
90,-6988.0999999999985,-48.52847222222223,53.0,41.048611111111114,145.80835380835381,0.7630697687590515
91,-7349.9000000000015,-51.04097222222222,74.0,43.145833333333336,142.88206388206387,0.7607805594527743
92,-6748.999999999998,-46.86805555555556,56.0,39.28472222222222,138.7051597051597,0.7584982177744161
93,-7353.599999999996,-51.06666666666666,68.0,43.451388888888886,145.0982800982801,0.7562227231210928
94,-7756.700000000001,-53.86597222222222,80.0,45.84722222222222,153.9189189189189,0.7539540549517295
95,-5899.699999999999,-40.97013888888889,55.0,33.96527777777778,129.36855036855036,0.7516921927868743
