decision_step,time,action,phase_id,state_north_bucket,state_east_bucket,state_south_bucket,state_west_bucket,state_phase_bucket,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,6,7,0,0,0,0,6,-0.1,0.0,2,3.5
1,10.0,2,3,0,0,0,0,2,-0.15000000000000002,0.0,3,6.333333333333333
2,15.0,3,4,0,0,0,0,3,-0.25,0.0,5,7.8
3,20.0,7,8,0,0,0,0,7,-0.4,0.0,8,7.8
4,25.0,0,1,0,0,0,0,0,-0.7000000000000001,0.0,14,9.571428571428571
5,30.0,6,7,0,0,0,0,6,-0.75,0.0,15,13.866666666666667
6,35.0,2,3,1,0,0,0,2,-2.9,2.0,18,16.27777777777778
7,40.0,0,1,0,0,0,0,0,-1.1,0.0,22,17.954545454545453
8,45.0,6,7,1,0,0,0,6,-3.35,2.0,27,18.06896551724138
9,50.0,3,4,2,0,1,0,3,-5.65,4.0,33,19.65714285714286
10,55.0,3,4,2,1,1,1,3,-12.85,11.0,37,23.486486486486488
11,60.0,0,1,1,1,2,1,0,-10.0,8.0,40,26.7
12,65.0,7,8,2,1,0,1,7,-8.0,6.0,40,31.7
13,70.0,4,5,2,2,1,1,4,-12.0,10.0,40,34.95238095238095
14,75.0,1,2,2,3,0,1,1,-14.9,13.0,38,39.57142857142857
15,80.0,3,4,3,2,1,1,3,-17.1,15.0,42,38.958333333333336
16,85.0,1,2,3,2,1,1,1,-16.25,14.0,45,41.94
17,90.0,7,8,3,2,0,1,7,-15.15,13.0,43,45.490196078431374
18,95.0,7,8,3,3,0,1,7,-20.15,18.0,43,48.75
19,100.0,2,3,3,3,0,0,2,-21.15,19.0,43,51.924528301886795
20,105.0,5,6,3,3,0,0,5,-23.1,21.0,42,53.872727272727275
21,110.0,4,5,3,3,0,1,4,-20.1,18.0,42,54.58620689655172
22,115.0,1,2,3,2,0,2,1,-15.95,14.0,39,57.05084745762712
23,120.0,5,6,3,2,0,2,5,-20.05,18.0,41,56.698412698412696
24,125.0,6,7,3,1,0,2,6,-19.2,17.0,44,56.47761194029851
25,130.0,7,8,3,1,0,2,7,-22.25,20.0,45,58.04347826086956
26,135.0,5,6,3,2,0,0,5,-23.45,21.0,49,57.310810810810814
27,140.0,6,7,3,1,0,1,6,-25.45,23.0,49,59.03947368421053
28,145.0,7,8,3,1,0,1,7,-27.5,25.0,50,60.69230769230769
29,150.0,3,4,3,2,0,1,3,-31.5,29.0,50,63.10126582278481
30,155.0,6,7,4,1,0,1,6,-30.6,28.0,52,60.895348837209305
31,160.0,6,7,4,0,0,2,6,-33.0,30.0,60,58.88297872340426
32,165.0,5,6,4,1,1,2,5,-35.05,32.0,61,60.27835051546392
33,170.0,3,4,4,1,1,2,3,-38.15,35.0,63,60.40196078431372
34,175.0,0,1,4,2,1,1,0,-35.25,32.0,65,61.857142857142854
35,180.0,1,2,4,1,0,1,1,-32.55,29.0,71,61.73873873873874
36,185.0,3,4,4,2,1,2,3,-42.6,39.0,72,63.849557522123895
37,190.0,1,2,4,2,0,3,1,-44.7,41.0,74,65.3103448275862
38,195.0,5,6,4,1,1,2,5,-44.75,41.0,75,67.33898305084746
39,200.0,3,4,4,3,1,2,3,-51.0,47.0,80,66.22222222222223
40,205.0,0,1,4,3,1,1,0,-47.85,44.0,77,68.86614173228347
41,210.0,5,6,4,4,1,0,5,-49.85,46.0,77,70.34615384615384
42,215.0,5,6,4,4,1,0,5,-51.0,47.0,80,72.40151515151516
43,220.0,5,6,4,4,2,0,5,-52.9,49.0,78,73.33823529411765
44,225.0,6,7,4,3,2,0,6,-53.0,49.0,80,75.82481751824818
45,230.0,3,4,4,3,3,0,3,-57.1,53.0,82,78.85401459854015
46,235.0,7,8,4,3,1,0,7,-56.9,53.0,78,81.78102189781022
47,240.0,1,2,4,4,0,0,1,-54.95,51.0,79,82.31205673758865
48,245.0,4,5,4,4,1,0,4,-46.9,43.0,78,85.14893617021276
49,250.0,1,2,4,3,0,0,1,-43.0,39.0,80,86.20833333333333
50,255.0,4,5,3,4,1,0,4,-47.9,44.0,78,88.40689655172413
51,260.0,6,7,4,3,1,0,6,-49.9,46.0,78,91.1448275862069
52,265.0,0,1,4,3,1,0,0,-44.8,41.0,76,93.82068965517242
53,270.0,1,2,4,3,0,0,1,-42.65,39.0,73,94.49324324324324
54,275.0,4,5,4,4,0,0,4,-39.6,36.0,72,96.35570469798658
55,280.0,3,4,4,3,0,1,3,-41.5,38.0,70,97.49006622516556
56,285.0,6,7,4,3,0,2,6,-38.45,35.0,69,99.24342105263158
57,290.0,2,3,3,3,0,2,2,-37.4,34.0,68,100.92156862745098
58,295.0,0,1,3,3,0,0,0,-32.4,29.0,68,101.90322580645162
59,300.0,0,1,3,3,0,0,0,-31.4,28.0,68,101.60377358490567
60,305.0,0,1,3,3,0,0,0,-32.55,29.0,71,102.6024844720497
61,310.0,0,1,3,3,0,0,0,-31.55,28.0,71,104.80745341614907
62,315.0,0,1,3,3,0,0,0,-31.5,28.0,70,105.69325153374233
63,320.0,0,1,3,3,0,0,0,-32.55,29.0,71,106.54545454545455
64,325.0,0,1,3,3,0,0,0,-29.45,26.0,69,106.72619047619048
65,330.0,0,1,2,4,0,0,0,-26.4,23.0,68,106.84795321637426
66,335.0,3,4,1,3,0,1,3,-26.45,23.0,69,106.38285714285715
67,340.0,3,4,2,3,0,1,3,-30.4,27.0,68,106.5
68,345.0,7,8,3,3,0,1,7,-33.5,30.0,70,105.46994535519126
69,350.0,2,3,3,3,0,0,2,-36.4,33.0,68,107.33879781420765
70,355.0,5,6,3,3,1,0,5,-42.35,39.0,67,108.56521739130434
71,360.0,4,5,3,3,1,1,4,-43.35,40.0,67,108.61497326203208
72,365.0,6,7,3,3,1,2,6,-44.55,41.0,71,105.98974358974358
73,370.0,7,8,3,3,0,3,7,-48.9,45.0,78,104.24752475247524
74,375.0,6,7,3,3,1,3,6,-47.05,43.0,81,104.23300970873787
75,380.0,2,3,3,3,1,2,2,-48.05,44.0,81,104.26190476190476
76,385.0,4,5,3,3,1,2,4,-46.15,42.0,83,105.81042654028435
77,390.0,5,6,3,3,2,1,5,-46.2,42.0,84,106.7981220657277
78,395.0,4,5,3,3,3,1,4,-49.3,45.0,86,106.83410138248848
79,400.0,6,7,4,3,4,2,6,-53.3,49.0,86,107.86301369863014
80,405.0,5,6,4,3,4,0,5,-55.4,51.0,88,106.99555555555555
81,410.0,1,2,4,3,4,1,1,-57.5,53.0,90,106.74347826086957
82,415.0,5,6,4,3,4,0,5,-56.65,52.0,93,107.88793103448276
83,420.0,1,2,4,3,4,1,1,-54.7,50.0,94,109.02564102564102
84,425.0,5,6,4,4,4,0,5,-59.7,55.0,94,110.59148936170213
85,430.0,4,5,3,4,4,0,4,-63.65,59.0,93,112.58297872340425
86,435.0,7,8,3,4,3,0,7,-56.65,52.0,93,114.07627118644068
87,440.0,4,5,3,4,4,0,4,-55.5,51.0,90,116.0042372881356
88,445.0,7,8,3,4,3,0,7,-52.45,48.0,89,117.89830508474576
89,450.0,4,5,3,4,3,0,4,-50.45,46.0,89,118.27196652719665
90,455.0,7,8,3,4,2,0,7,-51.5,47.0,90,118.6694214876033
91,460.0,3,4,3,3,2,0,3,-52.5,48.0,90,117.20080321285141
92,465.0,4,5,3,3,3,0,4,-59.55,55.0,91,117.21739130434783
93,470.0,2,3,3,3,3,0,2,-62.7,58.0,94,116.80232558139535
94,475.0,0,1,3,3,3,0,0,-62.65,58.0,93,118.22007722007721
95,480.0,4,5,3,3,3,1,4,-64.9,60.0,98,117.85227272727273
96,485.0,6,7,3,3,3,1,6,-62.9,58.0,98,118.80827067669173
97,490.0,4,5,3,3,3,2,4,-60.85,56.0,97,120.20224719101124
98,495.0,7,8,3,3,3,3,7,-63.8,59.0,96,122.01123595505618
99,500.0,4,5,3,3,2,3,4,-58.85,54.0,97,123.35820895522389
100,505.0,0,1,3,3,3,2,0,-56.9,52.0,98,122.87545787545787
101,510.0,0,1,3,3,3,2,0,-60.95,56.0,99,123.33333333333333
102,515.0,0,1,3,3,3,1,0,-58.1,53.0,102,123.40714285714286
103,520.0,4,5,2,3,3,2,4,-58.15,53.0,103,122.66783216783217
104,525.0,6,7,3,3,3,2,6,-56.3,51.0,106,122.84137931034483
105,530.0,0,1,2,3,3,2,0,-52.3,47.0,106,123.84931506849315
106,535.0,7,8,1,3,3,2,7,-55.15,50.0,103,125.66438356164383
107,540.0,2,3,3,3,3,1,2,-59.05,54.0,101,125.75337837837837
108,545.0,0,1,2,3,4,0,0,-57.95,53.0,99,126.63758389261746
109,550.0,4,5,3,3,4,1,4,-61.05,56.0,101,125.02614379084967
110,555.0,1,2,3,4,4,1,1,-57.15,52.0,103,125.55663430420712
111,560.0,4,5,3,4,4,2,4,-57.1,52.0,102,125.69968051118211
112,565.0,4,5,3,4,4,2,4,-60.2,55.0,104,125.8391167192429
113,570.0,4,5,1,4,4,2,4,-61.15,56.0,103,127.17610062893081
114,575.0,5,6,3,4,4,0,5,-67.15,62.0,103,127.29813664596273
115,580.0,4,5,2,4,4,2,4,-73.1,68.0,102,128.20987654320987
116,585.0,3,4,2,3,3,2,3,-70.1,65.0,102,127.20845921450152
117,590.0,4,5,2,4,4,2,4,-73.1,68.0,102,128.54819277108433
118,595.0,3,4,2,3,3,2,3,-73.95,69.0,99,129.47904191616766
119,600.0,4,5,2,3,4,2,4,-78.05,73.0,101,130.0326409495549
120,605.0,6,7,2,3,4,2,6,-77.95,73.0,99,131.71810089020772
121,610.0,3,4,3,3,3,2,3,-78.85,74.0,97,133.37388724035608
122,615.0,0,1,3,4,3,1,0,-76.7,72.0,94,134.98813056379822
123,620.0,0,1,2,4,3,1,0,-73.65,69.0,93,136.16863905325442
124,625.0,0,1,0,4,3,1,0,-69.55,65.0,91,136.14619883040936
125,630.0,0,1,1,4,3,1,0,-71.6,67.0,92,136.5391304347826
126,635.0,2,3,1,4,3,0,2,-71.8,67.0,96,136.56160458452723
127,640.0,1,2,2,4,3,0,1,-64.9,60.0,98,135.11484593837534
128,645.0,6,7,2,3,3,0,6,-59.0,54.0,100,135.24653739612188
129,650.0,4,5,0,3,3,1,4,-54.0,49.0,100,135.75824175824175
130,655.0,2,3,1,3,3,2,2,-60.05,55.0,101,135.89945652173913
131,660.0,7,8,2,3,3,3,7,-59.05,54.0,101,137.50815217391303
132,665.0,2,3,2,3,3,3,2,-59.05,54.0,101,137.6236559139785
133,670.0,4,5,1,3,3,3,4,-59.0,54.0,100,137.74734042553192
134,675.0,5,6,2,3,3,3,5,-60.1,55.0,102,137.17015706806282
135,680.0,7,8,3,3,3,3,7,-64.1,59.0,102,138.0546875
136,685.0,4,5,3,3,3,3,4,-68.25,63.0,105,138.2319587628866
137,690.0,0,1,2,3,3,3,0,-69.35,64.0,107,139.14871794871794
138,695.0,6,7,3,3,3,3,6,-76.45,71.0,109,139.70229007633588
139,700.0,4,5,2,3,3,3,4,-73.4,68.0,108,140.2247474747475
140,705.0,0,1,1,3,3,3,0,-72.4,67.0,108,141.10552763819095
141,710.0,5,6,2,3,3,2,5,-71.5,66.0,110,141.66334164588528
142,715.0,4,5,1,4,3,1,4,-71.6,66.0,112,141.52216748768473
143,720.0,0,1,1,4,3,0,0,-71.45,66.0,109,142.76412776412778
