decision_step,time,action,phase_id,state_north_count,state_east_count,state_south_count,state_west_count,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,0,1,0,0,0,0,-0.0,0.0,2,3.5
1,10.0,0,1,0,0,0,0,-0.0,0.0,3,6.333333333333333
2,15.0,0,1,0,0,0,0,-0.0,0.0,5,7.8
3,20.0,0,1,0,0,0,0,-0.0,0.0,8,7.8
4,25.0,0,1,0,0,0,0,-0.0,0.0,14,9.571428571428571
5,30.0,0,1,0,0,0,0,-0.0,0.0,15,13.866666666666667
6,35.0,0,1,0,0,0,0,-0.0,0.0,18,16.27777777777778
7,40.0,0,1,0,0,0,0,-0.0,0.0,22,17.954545454545453
8,45.0,0,1,0,1,0,0,-1.0,1.0,27,18.06896551724138
9,50.0,1,2,0,1,0,0,-1.0,1.0,33,19.65714285714286
10,55.0,1,2,1,0,0,2,-3.0,3.0,37,23.486486486486488
11,60.0,0,1,0,1,0,1,-2.0,2.0,38,26.575
12,65.0,5,6,2,1,2,0,-5.0,5.0,37,31.3
13,70.0,1,2,4,1,0,0,-5.0,5.0,38,34.30952380952381
14,75.0,2,3,6,4,1,0,-11.0,11.0,36,38.73809523809524
15,80.0,4,5,2,7,4,0,-13.0,13.0,39,37.958333333333336
16,85.0,4,5,0,9,6,0,-15.0,15.0,39,40.42
17,90.0,2,3,2,9,6,0,-17.0,17.0,37,43.450980392156865
18,95.0,3,4,3,7,5,0,-15.0,15.0,38,46.21153846153846
19,100.0,6,7,4,3,5,0,-12.0,12.0,35,48.75471698113208
20,105.0,3,4,6,2,5,0,-13.0,13.0,37,50.27272727272727
21,110.0,3,4,8,5,5,1,-19.0,19.0,38,50.827586206896555
22,115.0,4,5,3,5,5,3,-16.0,16.0,37,53.13559322033898
23,120.0,1,2,2,2,1,5,-10.0,10.0,41,52.98412698412698
24,125.0,1,2,6,0,0,5,-11.0,11.0,42,52.865671641791046
25,130.0,0,1,6,2,1,3,-12.0,12.0,41,54.289855072463766
26,135.0,2,3,7,2,1,3,-13.0,13.0,46,53.554054054054056
27,140.0,1,2,9,1,0,4,-14.0,14.0,48,55.276315789473685
28,145.0,4,5,6,4,0,4,-14.0,14.0,47,56.84615384615385
29,150.0,0,1,6,5,0,0,-11.0,11.0,45,59.0253164556962
30,155.0,3,4,6,4,0,2,-12.0,12.0,46,56.825581395348834
31,160.0,4,5,0,4,0,4,-8.0,8.0,52,54.776595744680854
32,165.0,0,1,1,4,2,2,-9.0,9.0,55,55.95876288659794
33,170.0,0,1,0,4,2,0,-6.0,6.0,57,55.990196078431374
34,175.0,6,7,2,2,2,2,-8.0,8.0,58,57.22857142857143
35,180.0,2,3,5,3,2,2,-12.0,12.0,60,56.91891891891892
36,185.0,1,2,9,3,0,4,-16.0,16.0,61,58.61946902654867
37,190.0,6,7,10,2,2,5,-23.0,23.0,62,59.69827586206897
38,195.0,6,7,10,1,2,5,-26.0,26.0,60,61.220338983050844
39,200.0,2,3,10,2,2,5,-27.0,27.0,62,59.77777777777778
40,205.0,6,7,10,1,3,5,-30.0,30.0,64,61.811023622047244
41,210.0,3,4,10,2,3,5,-33.0,33.0,66,62.88461538461539
42,215.0,2,3,10,7,3,5,-37.0,37.0,65,64.41666666666667
43,220.0,5,6,10,9,4,1,-38.0,38.0,65,64.9779411764706
44,225.0,7,8,10,10,3,2,-40.0,40.0,65,66.91240875912409
45,230.0,4,5,10,10,4,3,-40.0,40.0,64,69.26277372262774
46,235.0,3,4,10,10,6,3,-43.0,43.0,61,71.52554744525547
47,240.0,4,5,10,10,7,3,-42.0,42.0,65,71.75886524822695
48,245.0,1,2,10,10,4,3,-35.0,35.0,63,74.00709219858156
49,250.0,3,4,10,10,2,3,-36.0,36.0,64,74.65972222222223
50,255.0,0,1,10,10,6,0,-34.0,34.0,63,76.33103448275862
51,260.0,5,6,9,10,6,0,-31.0,31.0,62,78.48275862068965
52,265.0,4,5,6,10,6,0,-28.0,28.0,61,80.58620689655173
53,270.0,3,4,10,10,6,0,-34.0,34.0,61,81.03378378378379
54,275.0,5,6,10,10,6,0,-35.0,35.0,60,82.52348993288591
55,280.0,5,6,10,10,6,0,-36.0,36.0,60,83.41721854304636
56,285.0,5,6,10,10,6,0,-40.0,40.0,58,84.8157894736842
57,290.0,5,6,10,10,6,0,-43.0,43.0,58,86.15032679738562
58,295.0,5,6,10,10,6,0,-44.0,44.0,57,86.89032258064516
59,300.0,5,6,10,10,6,0,-45.0,45.0,58,86.56603773584905
60,305.0,5,6,10,10,6,0,-45.0,45.0,61,87.3975155279503
61,310.0,5,6,10,10,6,0,-46.0,46.0,59,89.24844720496894
62,315.0,5,6,10,10,6,0,-48.0,48.0,61,90.0
63,320.0,5,6,10,10,6,0,-50.0,50.0,63,90.78787878787878
64,325.0,5,6,10,10,6,0,-50.0,50.0,64,91.08333333333333
65,330.0,5,6,10,10,6,0,-53.0,53.0,65,91.3859649122807
66,335.0,5,6,10,10,6,0,-54.0,54.0,69,91.26857142857143
67,340.0,5,6,10,10,6,0,-54.0,54.0,71,91.71348314606742
68,345.0,5,6,10,10,7,0,-56.0,56.0,75,91.21311475409836
69,350.0,7,8,10,10,5,0,-56.0,56.0,75,93.26229508196721
70,355.0,4,5,10,10,3,1,-54.0,54.0,76,94.79891304347827
71,360.0,0,1,10,10,6,1,-54.0,54.0,77,95.33689839572193
