decision_step,time,action,phase_id,state_north_count,state_east_count,state_south_count,state_west_count,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,4,5,0,0,0,0,-0.0,0.0,2,3.5
1,10.0,4,5,0,0,0,0,0.0,0.0,3,6.333333333333333
2,15.0,4,5,0,0,0,0,0.0,0.0,5,7.8
3,20.0,4,5,0,0,0,0,0.0,0.0,8,7.8
4,25.0,4,5,0,0,0,0,0.0,0.0,14,9.571428571428571
5,30.0,4,5,0,0,0,0,0.0,0.0,15,13.866666666666667
6,35.0,4,5,0,0,0,0,0.0,0.0,18,16.27777777777778
7,40.0,4,5,0,0,0,0,0.0,0.0,22,17.954545454545453
8,45.0,4,5,0,1,0,0,-1.0,1.0,27,18.06896551724138
9,50.0,6,7,0,1,1,0,-1.0,2.0,33,19.65714285714286
10,55.0,6,7,1,0,2,2,-3.0,5.0,37,23.486486486486488
11,60.0,0,1,0,1,3,1,0.0,5.0,38,26.575
12,65.0,5,6,2,1,4,0,-2.0,7.0,37,31.3
13,70.0,1,2,4,1,0,0,2.0,5.0,38,34.30952380952381
14,75.0,4,5,3,4,2,0,-4.0,9.0,37,38.76190476190476
15,80.0,1,2,3,4,3,0,-1.0,10.0,40,38.083333333333336
16,85.0,1,2,6,3,1,0,0.0,10.0,41,40.74
17,90.0,4,5,3,5,3,0,-1.0,11.0,39,43.96078431372549
18,95.0,1,2,4,4,1,0,2.0,9.0,40,46.90384615384615
19,100.0,0,1,3,6,2,0,-2.0,11.0,37,49.62264150943396
20,105.0,1,2,4,3,1,0,3.0,8.0,38,51.236363636363635
21,110.0,1,2,8,3,1,1,-5.0,13.0,38,51.775862068965516
22,115.0,6,7,9,0,1,3,0.0,13.0,35,53.932203389830505
23,120.0,0,1,7,1,1,1,3.0,10.0,38,53.523809523809526
24,125.0,0,1,4,1,1,0,4.0,6.0,39,53.19402985074627
25,130.0,0,1,3,1,1,0,1.0,5.0,40,54.52173913043478
26,135.0,0,1,1,1,1,0,2.0,3.0,43,53.5945945945946
27,140.0,6,7,3,0,1,0,-1.0,4.0,43,55.01315789473684
28,145.0,4,5,1,0,1,0,2.0,2.0,43,56.32051282051282
29,150.0,2,3,2,3,1,0,-4.0,6.0,40,58.20253164556962
30,155.0,6,7,8,0,1,0,-3.0,9.0,41,55.7906976744186
31,160.0,6,7,10,0,1,1,-4.0,13.0,46,53.48936170212766
32,165.0,4,5,7,0,3,3,0.0,13.0,47,54.31958762886598
33,170.0,0,1,3,0,3,0,7.0,6.0,49,54.03921568627451
34,175.0,0,1,1,1,3,0,1.0,5.0,49,54.904761904761905
35,180.0,4,5,0,1,3,0,1.0,4.0,55,54.44144144144144
36,185.0,0,1,0,3,4,0,-3.0,7.0,55,55.92920353982301
37,190.0,1,2,4,4,3,1,-5.0,12.0,58,56.87931034482759
38,195.0,1,2,7,2,1,1,1.0,11.0,57,58.29661016949152
39,200.0,0,1,9,3,2,0,-3.0,14.0,59,56.92857142857143
40,205.0,4,5,5,5,2,0,2.0,12.0,58,58.77165354330709
41,210.0,1,2,8,7,1,0,-4.0,16.0,57,59.61538461538461
42,215.0,6,7,9,4,1,0,2.0,14.0,57,60.878787878787875
43,220.0,0,1,7,4,2,0,1.0,13.0,57,61.25735294117647
44,225.0,1,2,9,3,2,0,-1.0,14.0,55,62.86131386861314
45,230.0,4,5,6,6,4,0,-2.0,16.0,54,64.86131386861314
46,235.0,1,2,7,7,2,0,0.0,16.0,50,66.71532846715328
47,240.0,4,5,6,9,2,0,-1.0,17.0,51,66.62411347517731
48,245.0,1,2,7,10,2,0,-3.0,20.0,48,68.34042553191489
49,250.0,1,2,8,8,2,0,2.0,18.0,49,68.59027777777777
50,255.0,1,2,10,6,2,0,-1.0,19.0,47,69.75862068965517
51,260.0,1,2,10,4,2,0,1.0,18.0,45,71.33793103448276
52,265.0,4,5,8,4,2,0,4.0,14.0,42,72.82068965517242
53,270.0,0,1,3,8,2,0,1.0,13.0,42,72.79054054054055
54,275.0,1,2,2,9,2,0,0.0,13.0,41,73.69127516778524
55,280.0,1,2,5,5,2,2,-1.0,14.0,40,74.04635761589404
56,285.0,7,8,9,6,0,3,-4.0,18.0,39,74.88157894736842
57,290.0,6,7,10,2,0,3,3.0,15.0,39,75.67320261437908
58,295.0,0,1,6,3,0,1,5.0,10.0,38,75.93548387096774
59,300.0,1,2,4,3,0,3,0.0,10.0,38,75.27044025157232
60,305.0,0,1,2,4,0,3,1.0,9.0,41,75.62111801242236
61,310.0,0,1,1,4,0,0,4.0,5.0,39,76.84472049689441
62,315.0,6,7,1,0,0,3,1.0,4.0,39,77.08588957055214
63,320.0,0,1,1,3,0,2,-2.0,6.0,37,77.27272727272727
64,325.0,1,2,2,2,0,3,-1.0,7.0,36,76.98809523809524
65,330.0,0,1,0,5,0,2,0.0,7.0,38,76.73099415204679
66,335.0,1,2,1,4,0,4,-2.0,9.0,40,76.12571428571428
67,340.0,0,1,0,4,0,2,3.0,6.0,39,75.9438202247191
68,345.0,6,7,0,4,0,4,-2.0,8.0,42,74.97267759562841
69,350.0,5,6,0,3,1,1,3.0,5.0,39,76.06557377049181
70,355.0,6,7,0,2,3,3,-3.0,8.0,39,76.70108695652173
71,360.0,7,8,0,2,0,7,-1.0,9.0,39,76.524064171123
72,365.0,5,6,2,6,1,4,-4.0,13.0,43,74.50769230769231
73,370.0,5,6,3,7,1,1,1.0,12.0,47,73.11386138613861
74,375.0,6,7,4,2,2,2,2.0,10.0,49,72.9368932038835
75,380.0,2,3,3,2,2,5,-2.0,12.0,49,72.79047619047618
76,385.0,6,7,4,1,3,5,-1.0,13.0,50,73.70616113744076
77,390.0,0,1,1,2,6,2,2.0,11.0,52,74.23474178403755
78,395.0,0,1,0,5,9,0,-3.0,14.0,52,74.09216589861751
79,400.0,6,7,3,2,10,2,-5.0,19.0,52,74.64383561643835
80,405.0,1,2,5,0,10,2,1.0,18.0,54,73.90666666666667
81,410.0,1,2,6,0,10,2,0.0,18.0,56,73.62608695652175
82,415.0,0,1,3,0,10,0,4.0,14.0,59,74.32327586206897
83,420.0,1,2,4,0,9,0,1.0,13.0,59,75.00854700854701
84,425.0,1,2,6,1,7,0,-1.0,14.0,57,75.9404255319149
85,430.0,0,1,2,3,10,0,-1.0,15.0,56,77.1404255319149
86,435.0,7,8,1,6,6,0,2.0,13.0,53,77.94915254237289
87,440.0,7,8,4,8,3,0,-2.0,15.0,49,79.00847457627118
88,445.0,1,2,5,7,4,0,-1.0,16.0,46,80.01271186440678
89,450.0,0,1,2,8,3,0,3.0,13.0,47,79.98744769874477
90,455.0,4,5,0,9,6,0,-2.0,15.0,46,79.95867768595042
91,460.0,1,2,1,8,5,0,1.0,14.0,47,78.72289156626506
92,465.0,6,7,1,3,3,0,7.0,7.0,48,78.49802371541502
93,470.0,4,5,0,2,8,0,-3.0,10.0,48,77.95348837209302
94,475.0,2,3,0,6,8,0,-4.0,14.0,47,78.63320463320463
95,480.0,1,2,1,3,4,2,4.0,10.0,52,78.14393939393939
96,485.0,7,8,3,2,0,3,2.0,8.0,52,78.53007518796993
97,490.0,6,7,6,1,2,5,-6.0,14.0,50,79.2059925093633
98,495.0,2,3,8,2,3,7,-6.0,20.0,47,80.10112359550561
99,500.0,0,1,7,3,3,4,3.0,17.0,47,80.67164179104478
100,505.0,1,2,9,1,0,4,3.0,14.0,51,80.0952380952381
101,510.0,0,1,9,3,2,3,-3.0,17.0,50,80.1413043478261
102,515.0,0,1,6,4,2,1,4.0,13.0,52,79.925
103,520.0,0,1,5,4,2,1,1.0,12.0,54,79.2062937062937
104,525.0,4,5,0,5,2,3,2.0,10.0,59,79.1103448275862
105,530.0,1,2,3,1,0,3,3.0,7.0,57,79.53767123287672
106,535.0,4,5,3,0,2,4,-2.0,9.0,55,80.4931506849315
107,540.0,5,6,4,5,5,0,-5.0,14.0,57,80.38175675675676
108,545.0,7,8,6,7,3,1,-3.0,17.0,55,80.76510067114094
109,550.0,7,8,7,8,2,2,-2.0,19.0,57,79.56862745098039
110,555.0,0,1,5,9,2,0,3.0,16.0,57,79.72815533980582
111,560.0,0,1,2,10,5,0,-1.0,17.0,56,79.63897763578275
112,565.0,1,2,3,8,3,0,3.0,14.0,59,79.54889589905363
113,570.0,1,2,6,4,1,0,3.0,11.0,58,80.21698113207547
114,575.0,6,7,9,0,2,0,0.0,11.0,58,80.13664596273291
115,580.0,0,1,5,2,6,1,-3.0,14.0,58,80.54012345679013
116,585.0,1,2,3,2,7,1,1.0,13.0,59,79.76132930513594
117,590.0,3,4,6,3,6,1,-3.0,16.0,58,80.42469879518072
118,595.0,7,8,8,7,5,1,-5.0,21.0,58,80.82934131736526
119,600.0,0,1,6,7,4,1,3.0,18.0,57,80.97626112759644
120,605.0,0,1,2,9,7,1,-1.0,19.0,54,81.7893175074184
121,610.0,1,2,2,8,6,1,2.0,17.0,51,82.55489614243324
122,615.0,7,8,5,10,5,1,-4.0,21.0,48,83.28189910979229
123,620.0,1,2,5,10,1,1,4.0,17.0,47,83.72485207100591
124,625.0,1,2,6,5,0,1,5.0,12.0,45,83.43859649122807
125,630.0,6,7,7,2,2,1,0.0,12.0,46,83.42608695652174
126,635.0,7,8,7,2,1,1,1.0,11.0,49,83.18338108882521
127,640.0,0,1,4,5,2,1,-1.0,12.0,50,82.0672268907563
128,645.0,1,2,4,6,0,1,1.0,11.0,52,81.92243767313019
129,650.0,6,7,6,2,1,2,0.0,11.0,51,82.01923076923077
130,655.0,0,1,1,3,1,2,4.0,7.0,51,81.88315217391305
131,660.0,1,2,4,3,0,5,-5.0,12.0,50,82.6086956521739
132,665.0,0,1,5,3,0,6,-2.0,14.0,51,82.4489247311828
133,670.0,0,1,6,5,0,5,-2.0,16.0,55,82.32446808510639
134,675.0,0,1,5,5,0,3,3.0,13.0,59,81.81151832460733
135,680.0,4,5,1,5,0,5,2.0,11.0,60,82.17447916666667
136,685.0,5,6,4,6,0,1,0.0,11.0,60,82.10309278350516
137,690.0,6,7,8,3,0,3,-3.0,14.0,62,82.47692307692307
138,695.0,0,1,8,4,0,2,0.0,14.0,63,82.64885496183206
139,700.0,1,2,9,3,0,5,-3.0,17.0,62,82.79040404040404
140,705.0,0,1,6,6,1,4,0.0,17.0,59,83.11809045226131
141,710.0,4,5,1,9,1,5,1.0,16.0,59,83.24189526184539
142,715.0,1,2,5,9,0,6,-4.0,20.0,59,82.94088669950739
143,720.0,4,5,1,10,0,7,2.0,18.0,59,83.46191646191646
