decision_step,time,action,phase_id,state_north_count,state_east_count,state_south_count,state_west_count,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,0,1,0,0,0,0,-0.1,0.0,2,3.5
1,10.0,0,1,0,0,0,0,-0.15000000000000002,0.0,3,6.333333333333333
2,15.0,0,1,0,0,0,0,-0.25,0.0,5,7.8
3,20.0,0,1,0,0,0,0,-0.4,0.0,8,7.8
4,25.0,0,1,0,0,0,0,-0.7000000000000001,0.0,14,9.571428571428571
5,30.0,0,1,0,0,0,0,-0.75,0.0,15,13.866666666666667
6,35.0,0,1,0,0,0,0,-0.9,0.0,18,16.27777777777778
7,40.0,0,1,0,0,0,0,-1.1,0.0,22,17.954545454545453
8,45.0,0,1,0,1,0,0,-2.35,1.0,27,18.06896551724138
9,50.0,6,7,0,1,1,0,-3.6500000000000004,2.0,33,19.65714285714286
10,55.0,1,2,1,0,0,2,-4.85,3.0,37,23.486486486486488
11,60.0,0,1,0,1,0,1,-3.9000000000000004,2.0,38,26.575
12,65.0,7,8,3,1,0,1,-6.85,5.0,37,31.3
13,70.0,6,7,5,0,1,1,-8.9,7.0,38,34.30952380952381
14,75.0,1,2,7,2,0,1,-11.85,10.0,37,38.76190476190476
15,80.0,7,8,7,3,0,1,-13.0,11.0,40,38.083333333333336
16,85.0,0,1,5,5,1,1,-13.95,12.0,39,40.6
17,90.0,4,5,2,6,2,1,-12.9,11.0,38,43.705882352941174
18,95.0,7,8,2,7,0,1,-11.95,10.0,39,46.59615384615385
19,100.0,0,1,3,7,0,1,-12.85,11.0,37,49.283018867924525
20,105.0,1,2,4,4,0,1,-10.75,9.0,35,50.70909090909091
21,110.0,1,2,8,2,0,2,-13.75,12.0,35,51.0
22,115.0,1,2,9,2,0,4,-16.75,15.0,35,53.11864406779661
23,120.0,3,4,10,0,0,6,-18.85,17.0,37,52.682539682539684
24,125.0,0,1,8,0,0,2,-11.95,10.0,39,52.37313432835821
25,130.0,0,1,6,0,0,1,-9.0,7.0,40,53.72463768115942
26,135.0,3,4,5,0,0,2,-9.2,7.0,44,52.91891891891892
27,140.0,7,8,7,2,0,2,-13.2,11.0,44,54.421052631578945
28,145.0,7,8,10,4,0,2,-18.2,16.0,44,55.80769230769231
29,150.0,2,3,10,5,0,1,-20.15,18.0,43,57.835443037974684
30,155.0,1,2,10,2,0,1,-21.2,19.0,44,55.627906976744185
31,160.0,4,5,10,4,0,3,-20.4,18.0,48,53.48936170212766
32,165.0,0,1,10,4,2,1,-19.55,17.0,51,54.50515463917526
33,170.0,6,7,8,0,2,2,-14.8,12.0,56,54.529411764705884
34,175.0,2,3,10,2,2,3,-19.95,17.0,59,55.82857142857143
35,180.0,0,1,8,3,2,0,-16.15,13.0,63,55.67567567567568
36,185.0,2,3,10,5,3,2,-23.2,20.0,64,57.53982300884956
37,190.0,3,4,10,7,4,4,-31.25,28.0,65,58.775862068965516
38,195.0,3,4,10,9,4,4,-35.15,32.0,63,60.440677966101696
39,200.0,6,7,10,7,4,4,-37.3,34.0,66,59.198412698412696
40,205.0,3,4,10,8,5,4,-44.45,41.0,69,61.41732283464567
41,210.0,1,2,10,3,1,4,-36.35,33.0,67,62.58461538461538
42,215.0,6,7,10,2,2,4,-39.45,36.0,69,64.24242424242425
43,220.0,3,4,10,1,4,4,-43.55,40.0,71,65.00735294117646
44,225.0,3,4,10,6,6,4,-50.65,47.0,73,67.21167883211679
45,230.0,1,2,10,6,3,4,-47.6,44.0,72,69.86131386861314
46,235.0,6,7,10,5,2,4,-45.55,42.0,71,72.46715328467154
47,240.0,1,2,10,5,1,4,-44.55,41.0,71,72.9290780141844
48,245.0,0,1,10,5,2,1,-39.45,36.0,69,75.39716312056737
49,250.0,0,1,10,6,5,0,-39.6,36.0,72,76.27777777777777
50,255.0,2,3,10,9,5,1,-38.6,35.0,72,78.23448275862069
51,260.0,1,2,10,9,1,1,-37.4,34.0,68,80.62068965517241
52,265.0,0,1,10,8,2,0,-33.25,30.0,65,82.88275862068966
53,270.0,1,2,10,6,0,0,-29.15,26.0,63,83.36486486486487
54,275.0,4,5,10,8,2,0,-28.15,25.0,63,84.93288590604027
55,280.0,1,2,10,7,0,2,-27.0,24.0,60,85.81456953642385
56,285.0,0,1,10,8,0,1,-27.0,24.0,60,87.23684210526316
57,290.0,6,7,10,4,0,2,-24.85,22.0,57,88.56209150326798
58,295.0,2,3,10,5,0,2,-28.85,26.0,57,89.25806451612904
59,300.0,1,2,10,4,0,4,-30.85,28.0,57,88.86163522012579
