episode,total_reward,mean_reward_per_decision,final_waiting,avg_waiting,final_avg_travel_time,epsilon
1,-7323.000000000001,-50.854166666666664,70.0,43.03472222222222,142.62653562653563,0.997
2,-7587.900000000001,-52.693749999999994,73.0,44.65972222222222,149.47420147420146,0.994009
3,-7294.299999999997,-50.65486111111111,62.0,42.8125,142.14987714987714,0.991026973
4,-7141.600000000001,-49.59444444444445,82.0,41.80555555555556,140.13513513513513,0.988053892081
5,-8040.600000000001,-55.837500000000006,85.0,47.65277777777778,152.17690417690417,0.985089730404757
6,-8023.2000000000035,-55.71666666666666,75.0,47.625,161.25552825552825,0.9821344612135428
7,-7321.499999999997,-50.84375,79.0,42.986111111111114,147.85749385749386,0.9791880578299021
8,-7400.800000000001,-51.394444444444446,84.0,43.416666666666664,143.997542997543,0.9762504936564125
9,-8625.299999999997,-59.897916666666674,85.0,51.24305555555556,163.72481572481573,0.9733217421754432
10,-7064.7,-49.06041666666667,76.0,41.388888888888886,140.86732186732186,0.9704017769489168
11,-7639.099999999999,-53.04930555555555,88.0,45.111111111111114,143.53562653562653,0.9674905716180701
12,-7822.0,-54.31944444444444,69.0,46.22222222222222,154.66584766584768,0.9645880999032158
13,-8094.599999999998,-56.212500000000006,67.0,47.888888888888886,153.6805896805897,0.9616943356035061
14,-7588.799999999998,-52.7,59.0,44.80555555555556,156.28501228501227,0.9588092525966956
15,-6866.6,-47.68472222222223,71.0,40.09027777777778,137.6904176904177,0.9559328248389055
16,-8141.499999999999,-56.53819444444445,67.0,48.4375,156.01228501228502,0.9530650263643888
17,-7699.999999999999,-53.47222222222222,64.0,45.486111111111114,150.82800982800984,0.9502058312852957
18,-7225.699999999998,-50.17847222222222,73.0,42.40277777777778,140.85995085995086,0.9473552137914398
19,-7944.800000000001,-55.17222222222222,77.0,46.97222222222222,155.27764127764127,0.9445131481500655
20,-6422.000000000003,-44.59722222222222,73.0,37.333333333333336,133.3783783783784,0.9416796087056153
21,-7871.699999999999,-54.66458333333333,79.0,46.53472222222222,152.98034398034397,0.9388545698794984
22,-8174.100000000002,-56.764583333333334,74.0,48.548611111111114,158.74447174447175,0.93603800616986
23,-6972.500000000002,-48.420138888888886,75.0,40.93055555555556,139.82063882063883,0.9332298921513504
24,-8359.0,-58.048611111111114,81.0,49.71527777777778,159.72235872235873,0.9304302024748964
25,-8816.699999999999,-61.22708333333334,84.0,52.63194444444444,167.98034398034397,0.9276389118674717
26,-7756.399999999998,-53.863888888888894,72.0,45.90277777777778,155.45700245700246,0.9248559951318693
27,-7003.6,-48.63611111111111,57.0,40.979166666666664,144.49631449631448,0.9220814271464737
28,-6433.499999999999,-44.677083333333336,68.0,37.59722222222222,133.38329238329237,0.9193151828650342
29,-7827.200000000002,-54.35555555555556,76.0,46.229166666666664,149.04176904176904,0.9165572373164391
30,-6715.499999999997,-46.635416666666664,67.0,39.236111111111114,141.59459459459458,0.9138075656044898
31,-7031.999999999999,-48.833333333333336,79.0,41.19444444444444,141.42506142506141,0.9110661429076764
32,-7023.799999999998,-48.77638888888889,76.0,41.041666666666664,140.1081081081081,0.9083329444789534
33,-6396.700000000002,-44.421527777777776,84.0,37.28472222222222,132.8869778869779,0.9056079456455165
34,-7383.099999999998,-51.27152777777778,72.0,43.395833333333336,141.73955773955774,0.90289112180858
35,-7418.299999999998,-51.515972222222224,72.0,43.77777777777778,145.66584766584768,0.9001824484431542
36,-8170.599999999999,-56.74027777777778,71.0,48.40972222222222,157.04176904176904,0.8974819010978248
37,-6974.0,-48.43055555555556,84.0,40.97222222222222,146.75184275184276,0.8947894553945313
38,-7122.999999999999,-49.46527777777778,63.0,41.708333333333336,141.14987714987714,0.8921050870283477
39,-8691.800000000001,-60.35972222222222,82.0,51.875,162.5085995085995,0.8894287717672626
40,-7628.000000000001,-52.97222222222222,69.0,45.05555555555556,148.66339066339066,0.8867604854519608
41,-6652.599999999996,-46.19861111111111,63.0,38.736111111111114,137.06633906633905,0.884100203995605
42,-7583.399999999998,-52.6625,86.0,44.72222222222222,144.43734643734643,0.8814479033836181
43,-7929.599999999999,-55.06666666666667,74.0,46.770833333333336,154.2113022113022,0.8788035596734672
44,-7177.4,-49.84305555555555,59.0,42.125,144.06879606879608,0.8761671489944468
45,-6336.0999999999985,-44.00069444444444,65.0,36.78472222222222,131.12530712530713,0.8735386475474635
46,-7554.4,-52.46111111111111,68.0,44.30555555555556,148.94594594594594,0.8709180316048211
47,-6444.0999999999985,-44.75069444444445,65.0,37.479166666666664,132.08599508599508,0.8683052775100066
48,-7554.499999999999,-52.46180555555556,72.0,44.59027777777778,147.4938574938575,0.8657003616774767
49,-7675.399999999999,-53.30138888888889,68.0,45.1875,151.04914004914005,0.8631032605924442
50,-6750.300000000001,-46.87708333333333,75.0,39.31944444444444,135.56265356265357,0.860513950810667
51,-6518.999999999999,-45.270833333333336,84.0,37.861111111111114,137.37346437346437,0.857932408958235
52,-6884.399999999997,-47.80833333333334,73.0,40.4375,144.05896805896805,0.8553586117313603
53,-7793.4,-54.12083333333333,89.0,46.013888888888886,150.51351351351352,0.8527925358961662
54,-6466.900000000001,-44.90902777777777,68.0,37.56944444444444,132.58722358722358,0.8502341582884777
55,-8075.399999999995,-56.079166666666666,80.0,47.81944444444444,154.27518427518427,0.8476834558136123
56,-7366.500000000003,-51.15625,63.0,43.1875,147.1081081081081,0.8451404054461714
57,-8523.300000000001,-59.18958333333333,79.0,50.65972222222222,162.75675675675674,0.8426049842298329
58,-8000.100000000003,-55.556250000000006,77.0,47.361111111111114,153.53808353808353,0.8400771692771434
59,-6911.499999999997,-47.996527777777786,72.0,40.31944444444444,138.42997542997543,0.837556937769312
60,-7775.799999999999,-53.9986111111111,66.0,45.916666666666664,154.25061425061426,0.835044266956004
61,-7154.799999999999,-49.68611111111112,95.0,42.06944444444444,137.65601965601965,0.8325391341551359
62,-6876.199999999997,-47.7513888888889,58.0,40.25694444444444,137.16461916461915,0.8300415167526705
63,-7180.100000000001,-49.86180555555555,60.0,42.145833333333336,141.71744471744472,0.8275513922024125
64,-8500.699999999999,-59.0326388888889,97.0,50.63194444444444,164.42751842751844,0.8250687380258053
65,-7442.8,-51.68611111111112,77.0,43.875,148.31695331695332,0.8225935318117279
66,-7617.600000000003,-52.9,71.0,44.895833333333336,147.17936117936117,0.8201257512162927
67,-7711.199999999998,-53.55,73.0,45.65972222222222,144.48157248157247,0.8176653739626438
68,-6170.699999999998,-42.85208333333334,88.0,35.75694444444444,126.53808353808354,0.8152123778407558
69,-7075.399999999999,-49.13472222222222,61.0,41.486111111111114,146.41523341523342,0.8127667407072335
70,-7203.000000000004,-50.020833333333336,65.0,42.326388888888886,148.16461916461915,0.8103284404851119
71,-7789.3,-54.0923611111111,87.0,46.111111111111114,149.43734643734643,0.8078974551636565
72,-7464.6,-51.837500000000006,74.0,43.77777777777778,145.997542997543,0.8054737627981655
73,-7301.4000000000015,-50.70416666666667,80.0,43.06944444444444,144.3980343980344,0.803057341509771
74,-6915.5,-48.02430555555556,78.0,40.65277777777778,134.97788697788698,0.8006481694852418
75,-7202.499999999999,-50.017361111111114,61.0,42.291666666666664,142.8845208845209,0.798246224976786
76,-6836.9,-47.47847222222222,70.0,39.86805555555556,137.57493857493859,0.7958514863018556
77,-6561.099999999999,-45.56319444444445,68.0,38.24305555555556,134.11056511056512,0.79346393184295
78,-6944.000000000004,-48.22222222222222,68.0,40.729166666666664,138.45700245700246,0.7910835400474212
79,-6517.9,-45.263194444444444,54.0,37.875,137.31449631449632,0.7887102894272789
80,-5687.899999999998,-39.49930555555555,66.0,32.666666666666664,125.06633906633907,0.7863441585589971
81,-7200.200000000001,-50.0013888888889,60.0,42.30555555555556,150.33660933660934,0.78398512608332
82,-5818.300000000001,-40.4048611111111,52.0,33.3125,126.86977886977887,0.7816331707050701
83,-8895.899999999996,-61.777083333333344,78.0,53.111111111111114,171.77641277641277,0.7792882711929549
84,-6317.099999999998,-43.868750000000006,70.0,36.888888888888886,126.96314496314497,0.776950406379376
85,-7187.800000000001,-49.91527777777778,62.0,42.15277777777778,142.2948402948403,0.7746195551602378
86,-6681.0999999999985,-46.39652777777778,76.0,38.9375,135.1941031941032,0.7722956964947572
87,-6581.600000000003,-45.705555555555556,71.0,38.53472222222222,134.82555282555282,0.7699788094052729
88,-6826.000000000003,-47.40277777777778,87.0,40.15972222222222,141.3931203931204,0.767668872977057
89,-5094.5,-35.37847222222222,60.0,28.993055555555557,115.56265356265357,0.7653658663581259
90,-7360.399999999999,-51.11388888888889,63.0,43.21527777777778,144.36855036855036,0.7630697687590515
91,-7046.600000000002,-48.93472222222223,66.0,41.270833333333336,141.1818181818182,0.7607805594527743
92,-6113.499999999999,-42.454861111111114,64.0,35.270833333333336,128.8181818181818,0.7584982177744161
93,-7241.8,-50.290277777777774,66.0,42.666666666666664,142.17936117936117,0.7562227231210928
94,-7935.9000000000015,-55.110416666666666,78.0,46.99305555555556,156.2800982800983,0.7539540549517295
