episode,total_reward,mean_reward_per_decision,final_waiting,avg_waiting,final_avg_travel_time,epsilon
1,-7323.000000000001,-50.854166666666664,70.0,43.03472222222222,142.62653562653563,0.997
2,-7587.900000000001,-52.693749999999994,73.0,44.65972222222222,149.47420147420146,0.994009
3,-7232.700000000003,-50.22708333333333,62.0,42.43055555555556,141.34643734643734,0.991026973
4,-7141.600000000001,-49.59444444444445,82.0,41.80555555555556,140.13513513513513,0.988053892081
5,-8017.300000000002,-55.675694444444446,82.0,47.49305555555556,152.14742014742015,0.985089730404757
6,-8023.2000000000035,-55.71666666666666,75.0,47.625,161.25552825552825,0.9821344612135428
7,-7142.099999999998,-49.59791666666667,75.0,41.84027777777778,146.1056511056511,0.9791880578299021
8,-7379.199999999998,-51.24444444444444,83.0,43.270833333333336,144.36855036855036,0.9762504936564125
9,-8380.0,-58.19444444444444,84.0,49.673611111111114,159.86486486486487,0.9733217421754432
10,-7064.7,-49.06041666666667,76.0,41.388888888888886,140.86732186732186,0.9704017769489168
11,-7639.099999999999,-53.04930555555555,88.0,45.111111111111114,143.53562653562653,0.9674905716180701
12,-7775.299999999999,-53.99513888888889,67.0,45.90972222222222,154.46191646191647,0.9645880999032158
13,-8222.799999999997,-57.102777777777774,69.0,48.763888888888886,153.74938574938574,0.9616943356035061
14,-7414.600000000004,-51.49027777777778,64.0,43.673611111111114,153.48894348894348,0.9588092525966956
15,-6866.6,-47.68472222222223,71.0,40.09027777777778,137.6904176904177,0.9559328248389055
16,-7922.5999999999985,-55.01805555555555,64.0,46.99305555555556,152.96068796068795,0.9530650263643888
17,-7463.599999999999,-51.830555555555556,64.0,43.96527777777778,147.46928746928748,0.9502058312852957
18,-7199.5,-49.99652777777777,75.0,42.201388888888886,140.84029484029483,0.9473552137914398
19,-7978.999999999997,-55.40972222222222,77.0,47.18055555555556,156.38083538083538,0.9445131481500655
20,-6445.6,-44.76111111111111,78.0,37.43055555555556,132.5970515970516,0.9416796087056153
21,-7763.999999999998,-53.916666666666664,80.0,45.826388888888886,151.3022113022113,0.9388545698794984
22,-8068.300000000002,-56.02986111111111,73.0,47.833333333333336,156.47665847665849,0.93603800616986
23,-6801.2999999999965,-47.23125,74.0,39.80555555555556,137.5921375921376,0.9332298921513504
24,-8208.499999999998,-57.00347222222222,82.0,48.75,156.992628992629,0.9304302024748964
25,-8541.099999999999,-59.31319444444445,82.0,50.84722222222222,163.46191646191647,0.9276389118674717
26,-7641.4,-53.06527777777778,76.0,45.18055555555556,154.2039312039312,0.9248559951318693
27,-6765.000000000003,-46.979166666666664,62.0,39.479166666666664,141.22604422604422,0.9220814271464737
28,-6498.600000000001,-45.12916666666667,67.0,38.0625,133.88943488943488,0.9193151828650342
29,-7597.299999999995,-52.759027777777774,81.0,44.833333333333336,146.22604422604422,0.9165572373164391
30,-6464.400000000004,-44.89166666666668,67.0,37.833333333333336,138.3857493857494,0.9138075656044898
31,-6865.500000000003,-47.677083333333336,80.0,40.1875,138.62899262899262,0.9110661429076764
32,-7175.7,-49.83125,73.0,42.020833333333336,140.67321867321868,0.9083329444789534
33,-6125.1,-42.53541666666667,76.0,35.611111111111114,131.12039312039312,0.9056079456455165
34,-7260.000000000001,-50.416666666666664,71.0,42.55555555555556,141.3046683046683,0.90289112180858
35,-7047.999999999999,-48.94444444444444,69.0,41.361111111111114,140.23095823095824,0.9001824484431542
36,-8031.9000000000015,-55.77708333333334,68.0,47.479166666666664,152.67567567567568,0.8974819010978248
37,-7054.0999999999985,-48.986805555555556,77.0,41.47222222222222,148.98034398034397,0.8947894553945313
38,-6997.099999999998,-48.59097222222223,62.0,40.916666666666664,138.67567567567568,0.8921050870283477
39,-8573.899999999998,-59.54097222222222,86.0,51.208333333333336,165.64373464373463,0.8894287717672626
40,-7314.4,-50.794444444444444,66.0,43.076388888888886,144.82555282555282,0.8867604854519608
41,-6629.299999999997,-46.03680555555556,65.0,38.673611111111114,137.93611793611794,0.884100203995605
42,-7390.500000000003,-51.322916666666664,81.0,43.451388888888886,142.7985257985258,0.8814479033836181
43,-7504.500000000003,-52.114583333333336,69.0,44.0625,148.82309582309583,0.8788035596734672
44,-6860.700000000001,-47.64375,54.0,40.0625,140.75921375921376,0.8761671489944468
45,-6339.6,-44.025000000000006,55.0,36.80555555555556,132.23832923832924,0.8735386475474635
46,-7726.500000000002,-53.65625,64.0,45.326388888888886,150.59459459459458,0.8709180316048211
47,-6083.099999999999,-42.24375,66.0,35.21527777777778,126.76167076167076,0.8683052775100066
48,-7871.200000000001,-54.661111111111104,81.0,46.59722222222222,150.36855036855036,0.8657003616774767
49,-7998.799999999997,-55.54722222222222,68.0,47.291666666666664,153.6977886977887,0.8631032605924442
50,-7056.299999999998,-49.00208333333333,71.0,41.24305555555556,140.02457002457,0.860513950810667
51,-6707.2,-46.577777777777776,72.0,39.15972222222222,138.6068796068796,0.857932408958235
52,-6856.199999999999,-47.6125,67.0,40.31944444444444,144.27272727272728,0.8553586117313603
53,-7340.599999999999,-50.97638888888889,87.0,43.229166666666664,145.5995085995086,0.8527925358961662
54,-6520.9,-45.28402777777778,73.0,37.875,134.36609336609337,0.8502341582884777
55,-7697.000000000001,-53.451388888888886,67.0,45.395833333333336,151.86486486486487,0.8476834558136123
56,-6652.9000000000015,-46.20069444444445,67.0,38.75694444444444,140.76167076167076,0.8451404054461714
57,-7933.699999999999,-55.0951388888889,86.0,46.97222222222222,156.92874692874693,0.8426049842298329
58,-7989.399999999998,-55.48194444444445,77.0,47.25694444444444,153.33169533169533,0.8400771692771434
59,-6721.4000000000015,-46.67638888888889,78.0,39.173611111111114,138.68304668304668,0.837556937769312
60,-7374.500000000002,-51.21180555555556,65.0,43.40277777777778,152.87960687960688,0.835044266956004
61,-7447.399999999998,-51.71805555555555,99.0,43.90277777777778,143.33169533169533,0.8325391341551359
62,-7068.799999999997,-49.08888888888888,62.0,41.5,141.14742014742015,0.8300415167526705
63,-7147.300000000003,-49.63402777777778,62.0,41.99305555555556,140.06879606879608,0.8275513922024125
64,-7805.499999999998,-54.204861111111114,77.0,46.048611111111114,154.87223587223588,0.8250687380258053
65,-6995.000000000002,-48.576388888888886,69.0,40.96527777777778,143.2800982800983,0.8225935318117279
66,-7143.299999999997,-49.606249999999996,65.0,41.88194444444444,140.9164619164619,0.8201257512162927
67,-7566.199999999999,-52.54305555555556,76.0,44.576388888888886,144.17936117936117,0.8176653739626438
68,-6321.200000000003,-43.897222222222226,77.0,36.78472222222222,128.85257985257985,0.8152123778407558
69,-7059.900000000002,-49.02708333333333,60.0,41.291666666666664,144.982800982801,0.8127667407072335
70,-6594.5999999999985,-45.795833333333334,58.0,38.36805555555556,135.74692874692875,0.8103284404851119
71,-7246.5,-50.322916666666664,91.0,42.61805555555556,140.62899262899262,0.8078974551636565
72,-6593.700000000001,-45.78958333333334,83.0,38.451388888888886,134.41523341523342,0.8054737627981655
73,-7132.5,-49.53125,88.0,41.94444444444444,140.5061425061425,0.803057341509771
74,-6554.800000000001,-45.51944444444444,77.0,38.31944444444444,130.15724815724815,0.8006481694852418
75,-6721.5,-46.677083333333336,60.0,39.27777777777778,136.92137592137593,0.798246224976786
76,-6548.7,-45.47708333333334,69.0,38.09027777777778,134.41277641277642,0.7958514863018556
77,-6501.2,-45.147222222222226,64.0,37.916666666666664,133.7788697788698,0.79346393184295
78,-5821.400000000001,-40.42638888888889,58.0,33.673611111111114,127.67321867321867,0.7910835400474212
79,-5769.400000000001,-40.06527777777777,35.0,33.18055555555556,127.63144963144963,0.7887102894272789
80,-5386.4000000000015,-37.40555555555555,55.0,30.77777777777778,122.73464373464374,0.7863441585589971
81,-7339.800000000003,-50.97083333333333,60.0,43.09722222222222,151.57002457002457,0.78398512608332
82,-4835.899999999999,-33.58263888888889,48.0,27.208333333333332,113.8943488943489,0.7816331707050701
83,-8718.900000000003,-60.547916666666666,73.0,51.97222222222222,166.22604422604422,0.7792882711929549
84,-5962.299999999998,-41.4048611111111,62.0,34.53472222222222,123.35872235872236,0.776950406379376
85,-6942.2,-48.20972222222222,59.0,40.59722222222222,141.44226044226045,0.7746195551602378
86,-5299.400000000002,-36.80138888888889,72.0,30.166666666666668,118.37100737100737,0.7722956964947572
87,-7075.999999999997,-49.138888888888886,72.0,41.854166666666664,142.8845208845209,0.7699788094052729
88,-6586.299999999999,-45.738194444444446,80.0,38.576388888888886,137.9115479115479,0.767668872977057
89,-5622.0,-39.041666666666664,61.0,32.201388888888886,122.82309582309583,0.7653658663581259
90,-6450.1,-44.79236111111111,59.0,37.520833333333336,131.5061425061425,0.7630697687590515
91,-6543.3,-45.43958333333333,52.0,38.18055555555556,138.76904176904176,0.7607805594527743
92,-5144.100000000001,-35.72291666666667,64.0,29.26388888888889,116.41523341523342,0.7584982177744161
93,-7384.000000000001,-51.27777777777778,81.0,43.666666666666664,139.72235872235873,0.7562227231210928
94,-8486.300000000005,-58.93263888888888,86.0,50.395833333333336,164.0909090909091,0.7539540549517295
