dataset,method,eval_wait_only_reward,avg_waiting,final_waiting,avg_travel_time
hangzhou_1x1_bc-tyc_18041607_1h,fixed_cycle,-3238.0,22.48611111111111,38.0,76.64454734596151
hangzhou_1x1_bc-tyc_18041607_1h,bucketed_no_phase_default,-1817.0,12.618055555555555,58.0,58.298639101437224
hangzhou_1x1_bc-tyc_18041607_1h,bucketed_no_phase_delta_wait,-1072.0,7.444444444444445,21.0,57.1351955120162
hangzhou_1x1_bc-tyc_18041607_1h,bucketed_no_phase_wait_small_vehicle,-906.0,6.291666666666667,21.0,56.28315786401644
hangzhou_1x1_bc-tyc_18041607_1h,bucketed_no_phase_wait_vehicle,-2441.0,16.95138888888889,77.0,61.816488187180894
hangzhou_1x1_bc-tyc_18041607_1h,capped_no_phase_default_reward,-2127.0,14.770833333333334,40.0,63.71394239392779
hangzhou_1x1_bc-tyc_18041607_1h,capped_no_phase_delta_wait,-449.0,3.1180555555555554,5.0,54.98547043213478
hangzhou_1x1_bc-tyc_18041607_1h,capped_no_phase_wait_small_vehicle,-2000.0,13.88888888888889,29.0,69.19941324612334
hangzhou_1x1_bc-tyc_18041607_1h,capped_no_phase_wait_vehicle,-2140.0,14.86111111111111,33.0,71.8898062892507
hangzhou_1x1_bc-tyc_18041607_1h,bucketed_with_phase_default_reward,-2168.0,15.055555555555555,42.0,68.87794321203138
hangzhou_1x1_bc-tyc_18041607_1h,bucketed_with_phase_delta_wait,-578.0,4.013888888888889,7.0,56.38065157877403
hangzhou_1x1_bc-tyc_18041607_1h,bucketed_with_phase_wait_small_vehicle,-1562.0,10.847222222222221,22.0,68.33182061722347
hangzhou_1x1_bc-tyc_18041607_1h,bucketed_with_phase_wait_vehicle,-3899.0,27.07638888888889,47.0,75.97877095255492
hangzhou_1x1_bc-tyc_18041607_1h,capped_with_phase_default_reward,-4017.0,27.895833333333332,30.0,88.74790102994221
hangzhou_1x1_bc-tyc_18041607_1h,capped_with_phase_delta_wait,-581.0,4.034722222222222,7.0,55.36057752736551
hangzhou_1x1_bc-tyc_18041607_1h,capped_with_phase_wait_small_vehicle,-4617.0,32.0625,65.0,84.03023557023532
hangzhou_1x1_bc-tyc_18041607_1h,capped_with_phase_wait_vehicle,-2315.0,16.07638888888889,25.0,74.6358988011127
hangzhou_1x1_bc-tyc_18041608_1h,fixed_cycle,-7463.0,51.826388888888886,76.0,98.95259221223576
hangzhou_1x1_bc-tyc_18041608_1h,bucketed_no_phase_default,-6189.0,42.979166666666664,63.0,95.1520760796964
hangzhou_1x1_bc-tyc_18041608_1h,bucketed_no_phase_delta_wait,-3998.0,27.76388888888889,26.0,76.88758823332225
hangzhou_1x1_bc-tyc_18041608_1h,bucketed_no_phase_wait_small_vehicle,-4736.0,32.888888888888886,56.0,76.40745542753292
hangzhou_1x1_bc-tyc_18041608_1h,bucketed_no_phase_wait_vehicle,-6702.0,46.541666666666664,102.0,91.61309458346722
hangzhou_1x1_bc-tyc_18041608_1h,capped_no_phase_default_reward,-5955.0,41.354166666666664,51.0,92.51645879695565
hangzhou_1x1_bc-tyc_18041608_1h,capped_no_phase_delta_wait,-4179.0,29.020833333333332,38.0,77.22251916086395
hangzhou_1x1_bc-tyc_18041608_1h,capped_no_phase_wait_small_vehicle,-5229.0,36.3125,46.0,85.24139477445932
hangzhou_1x1_bc-tyc_18041608_1h,capped_no_phase_wait_vehicle,-5874.0,40.791666666666664,45.0,92.68361878321616
hangzhou_1x1_bc-tyc_18041608_1h,bucketed_with_phase_default_reward,-5299.0,36.798611111111114,40.0,88.68238298318803
hangzhou_1x1_bc-tyc_18041608_1h,bucketed_with_phase_delta_wait,-3772.0,26.194444444444443,42.0,75.47501569623334
hangzhou_1x1_bc-tyc_18041608_1h,bucketed_with_phase_wait_small_vehicle,-6167.0,42.826388888888886,35.0,93.16111213927807
hangzhou_1x1_bc-tyc_18041608_1h,bucketed_with_phase_wait_vehicle,-5911.0,41.048611111111114,53.0,88.15275862203674
hangzhou_1x1_bc-tyc_18041608_1h,capped_with_phase_default_reward,-6267.0,43.520833333333336,52.0,91.86534167806889
hangzhou_1x1_bc-tyc_18041608_1h,capped_with_phase_delta_wait,-3818.0,26.51388888888889,39.0,75.80438522377196
hangzhou_1x1_bc-tyc_18041608_1h,capped_with_phase_wait_small_vehicle,-7224.0,50.166666666666664,42.0,99.3941575768663
hangzhou_1x1_bc-tyc_18041608_1h,capped_with_phase_wait_vehicle,-6894.0,47.875,62.0,95.48228583141989
hangzhou_1x1_bc-tyc_18041610_1h,fixed_cycle,-6621.0,45.979166666666664,74.0,97.48691463960053
hangzhou_1x1_bc-tyc_18041610_1h,bucketed_no_phase_default,-5273.0,36.61805555555556,57.0,85.1074975076899
hangzhou_1x1_bc-tyc_18041610_1h,bucketed_no_phase_delta_wait,-1721.0,11.95138888888889,14.0,69.01871793276288
hangzhou_1x1_bc-tyc_18041610_1h,bucketed_no_phase_wait_small_vehicle,-3586.0,24.90277777777778,51.0,77.65663839419213
hangzhou_1x1_bc-tyc_18041610_1h,bucketed_no_phase_wait_vehicle,-4602.0,31.958333333333332,45.0,82.72292474597873
hangzhou_1x1_bc-tyc_18041610_1h,capped_no_phase_default_reward,-5477.0,38.03472222222222,48.0,88.22819111296023
hangzhou_1x1_bc-tyc_18041610_1h,capped_no_phase_delta_wait,-1640.0,11.38888888888889,18.0,66.76611614762126
hangzhou_1x1_bc-tyc_18041610_1h,capped_no_phase_wait_small_vehicle,-5032.0,34.94444444444444,60.0,83.32207779856246
hangzhou_1x1_bc-tyc_18041610_1h,capped_no_phase_wait_vehicle,-5417.0,37.61805555555556,54.0,93.14095154301492
hangzhou_1x1_bc-tyc_18041610_1h,bucketed_with_phase_default_reward,-4604.0,31.97222222222222,56.0,85.9758536480652
hangzhou_1x1_bc-tyc_18041610_1h,bucketed_with_phase_delta_wait,-1952.0,13.555555555555555,12.0,72.91734685739372
hangzhou_1x1_bc-tyc_18041610_1h,bucketed_with_phase_wait_small_vehicle,-5972.0,41.47222222222222,66.0,95.12537942253988
hangzhou_1x1_bc-tyc_18041610_1h,bucketed_with_phase_wait_vehicle,-5254.0,36.486111111111114,69.0,88.25819182979109
hangzhou_1x1_bc-tyc_18041610_1h,capped_with_phase_default_reward,-5663.0,39.326388888888886,56.0,89.29545802185176
