method,total_reward,final_waiting,avg_waiting,final_avg_travel_time,num_decisions,run
baseline,-2884.0,151.0,72.1,60.44583333333333,40,1
baseline,-2884.0,151.0,72.1,60.44583333333333,40,2
baseline,-2884.0,151.0,72.1,60.44583333333333,40,3
baseline,-2884.0,151.0,72.1,60.44583333333333,40,4
baseline,-2884.0,151.0,72.1,60.44583333333333,40,5
baseline,-2884.0,151.0,72.1,60.44583333333333,40,6
baseline,-2884.0,151.0,72.1,60.44583333333333,40,7
baseline,-2884.0,151.0,72.1,60.44583333333333,40,8
baseline,-2884.0,151.0,72.1,60.44583333333333,40,9
baseline,-2884.0,151.0,72.1,60.44583333333333,40,10
baseline,-2884.0,151.0,72.1,60.44583333333333,40,11
baseline,-2884.0,151.0,72.1,60.44583333333333,40,12
baseline,-2884.0,151.0,72.1,60.44583333333333,40,13
baseline,-2884.0,151.0,72.1,60.44583333333333,40,14
baseline,-2884.0,151.0,72.1,60.44583333333333,40,15
baseline,-2884.0,151.0,72.1,60.44583333333333,40,16
baseline,-2884.0,151.0,72.1,60.44583333333333,40,17
baseline,-2884.0,151.0,72.1,60.44583333333333,40,18
baseline,-2884.0,151.0,72.1,60.44583333333333,40,19
baseline,-2884.0,151.0,72.1,60.44583333333333,40,20
q_learning,-2918.0,153.0,72.95,60.98125,40,1
q_learning,-2918.0,153.0,72.95,60.98125,40,2
q_learning,-2918.0,153.0,72.95,60.98125,40,3
q_learning,-2918.0,153.0,72.95,60.98125,40,4
q_learning,-2918.0,153.0,72.95,60.98125,40,5
q_learning,-2918.0,153.0,72.95,60.98125,40,6
q_learning,-2918.0,153.0,72.95,60.98125,40,7
q_learning,-2918.0,153.0,72.95,60.98125,40,8
q_learning,-2918.0,153.0,72.95,60.98125,40,9
q_learning,-2918.0,153.0,72.95,60.98125,40,10
q_learning,-2918.0,153.0,72.95,60.98125,40,11
q_learning,-2918.0,153.0,72.95,60.98125,40,12
q_learning,-2918.0,153.0,72.95,60.98125,40,13
q_learning,-2918.0,153.0,72.95,60.98125,40,14
q_learning,-2918.0,153.0,72.95,60.98125,40,15
q_learning,-2918.0,153.0,72.95,60.98125,40,16
q_learning,-2918.0,153.0,72.95,60.98125,40,17
q_learning,-2918.0,153.0,72.95,60.98125,40,18
q_learning,-2918.0,153.0,72.95,60.98125,40,19
q_learning,-2918.0,153.0,72.95,60.98125,40,20
