decision_step,time,action,phase_id,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,1,2,-0.0,0.0,12,5.0
1,10.0,1,2,-0.0,0.0,24,7.5
2,15.0,1,2,-0.0,0.0,36,10.0
3,20.0,1,2,-0.0,0.0,48,12.5
4,25.0,1,2,-6.0,6.0,60,15.0
5,30.0,1,2,-12.0,12.0,72,17.5
6,35.0,0,0,-14.0,14.0,84,20.0
7,40.0,0,0,-20.0,20.0,96,22.5
8,45.0,1,2,-20.0,20.0,102,24.77777777777778
9,50.0,1,2,-26.0,26.0,108,26.866666666666667
10,55.0,1,2,-34.0,34.0,112,28.78787878787879
11,60.0,0,0,-35.0,35.0,116,30.45138888888889
12,65.0,1,2,-38.0,38.0,118,31.993589743589745
13,70.0,1,2,-44.0,44.0,122,33.38690476190476
14,75.0,1,2,-50.0,50.0,128,34.75
15,80.0,1,2,-56.0,56.0,133,36.119791666666664
16,85.0,0,0,-57.0,57.0,134,37.3235294117647
17,90.0,1,2,-63.0,63.0,139,38.504629629629626
18,95.0,1,2,-70.0,70.0,145,39.68421052631579
19,100.0,1,2,-75.0,75.0,151,40.88333333333333
20,105.0,0,0,-73.0,73.0,155,42.08730158730159
21,110.0,1,2,-80.0,80.0,157,43.19318181818182
22,115.0,1,2,-86.0,86.0,162,44.27173913043478
23,120.0,1,2,-92.0,92.0,168,45.36805555555556
24,125.0,0,0,-91.0,91.0,171,46.46333333333333
25,130.0,1,2,-96.0,96.0,174,47.493589743589745
26,135.0,1,2,-102.0,102.0,178,48.51234567901235
27,140.0,0,0,-102.0,102.0,184,49.538690476190474
28,145.0,1,2,-106.0,106.0,189,50.577586206896555
29,150.0,1,2,-113.0,113.0,191,51.56944444444444
30,155.0,1,2,-119.0,119.0,195,52.545698924731184
31,160.0,0,0,-118.0,118.0,199,53.5390625
32,165.0,1,2,-123.0,123.0,199,54.46969696969697
33,170.0,1,2,-129.0,129.0,205,55.39460784313726
34,175.0,1,2,-137.0,137.0,211,56.338095238095235
35,180.0,0,0,-136.0,136.0,214,57.298611111111114
36,185.0,1,2,-141.0,141.0,216,58.20945945945946
37,190.0,1,2,-147.0,147.0,221,59.12061403508772
38,195.0,1,2,-154.0,154.0,227,60.04059829059829
39,200.0,0,0,-153.0,153.0,231,60.98125
