method,total_reward,final_waiting,avg_waiting,final_avg_travel_time,num_decisions,run
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,1
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,2
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,3
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,4
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,5
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,6
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,7
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,8
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,9
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,10
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,11
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,12
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,13
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,14
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,15
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,16
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,17
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,18
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,19
baseline,-3458.7000000000007,151.0,72.1,60.44583333333333,40,20
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,1
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,2
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,3
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,4
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,5
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,6
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,7
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,8
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,9
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,10
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,11
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,12
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,13
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,14
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,15
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,16
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,17
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,18
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,19
q_learning,-3503.0000000000005,156.0,73.1,61.02708333333333,40,20
