episode,total_reward,mean_reward_per_decision,final_waiting,avg_waiting,final_avg_travel_time,epsilon
1,-153.0,-3.825,153.0,77.075,62.69583333333333,0.997
2,-152.0,-3.8,152.0,74.825,61.59583333333333,0.994009
3,-153.0,-3.825,153.0,71.95,60.63125,0.991026973
4,-153.0,-3.825,153.0,72.15,60.73125,0.988053892081
5,-156.0,-3.9,156.0,76.775,62.6625,0.985089730404757
6,-153.0,-3.825,153.0,71.775,60.447916666666664,0.9821344612135428
7,-151.0,-3.775,151.0,72.475,60.71875,0.9791880578299021
8,-153.0,-3.825,153.0,71.35,60.20625,0.9762504936564125
9,-153.0,-3.825,153.0,72.7,60.8125,0.9733217421754432
10,-155.0,-3.875,155.0,73.75,61.38125,0.9704017769489168
11,-155.0,-3.875,155.0,72.175,60.63125,0.9674905716180701
12,-161.0,-4.025,161.0,72.85,60.52916666666667,0.9645880999032158
13,-157.0,-3.925,157.0,72.325,60.583333333333336,0.9616943356035061
14,-158.0,-3.95,158.0,73.475,61.08541666666667,0.9588092525966956
15,-153.0,-3.825,153.0,71.775,60.358333333333334,0.9559328248389055
16,-151.0,-3.775,151.0,74.325,61.604166666666664,0.9530650263643888
17,-159.0,-3.975,159.0,73.775,61.09791666666667,0.9502058312852957
18,-151.0,-3.775,151.0,72.55,60.53125,0.9473552137914398
19,-151.0,-3.775,151.0,74.875,61.69166666666667,0.9445131481500655
20,-155.0,-3.875,155.0,73.7,61.40208333333333,0.9416796087056153
21,-153.0,-3.825,153.0,72.175,60.485416666666666,0.9388545698794984
22,-157.0,-3.925,157.0,71.4,60.0625,0.93603800616986
23,-157.0,-3.925,157.0,72.35,60.6625,0.9332298921513504
24,-155.0,-3.875,155.0,71.95,60.44583333333333,0.9304302024748964
25,-154.0,-3.85,154.0,75.275,62.19375,0.9276389118674717
26,-155.0,-3.875,155.0,71.875,60.483333333333334,0.9248559951318693
27,-155.0,-3.875,155.0,71.225,60.09166666666667,0.9220814271464737
28,-157.0,-3.925,157.0,71.925,60.31875,0.9193151828650342
29,-153.0,-3.825,153.0,72.475,60.58541666666667,0.9165572373164391
30,-151.0,-3.775,151.0,72.575,60.520833333333336,0.9138075656044898
31,-153.0,-3.825,153.0,72.15,60.57083333333333,0.9110661429076764
32,-153.0,-3.825,153.0,71.6,60.31458333333333,0.9083329444789534
33,-153.0,-3.825,153.0,73.825,61.364583333333336,0.9056079456455165
34,-157.0,-3.925,157.0,71.9,60.43333333333333,0.90289112180858
35,-157.0,-3.925,157.0,72.625,60.66041666666667,0.9001824484431542
36,-157.0,-3.925,157.0,72.8,60.8125,0.8974819010978248
37,-151.0,-3.775,151.0,71.575,60.358333333333334,0.8947894553945313
38,-153.0,-3.825,153.0,71.225,60.05416666666667,0.8921050870283477
39,-155.0,-3.875,155.0,72.725,60.854166666666664,0.8894287717672626
40,-153.0,-3.825,153.0,71.7,60.608333333333334,0.8867604854519608
41,-157.0,-3.925,157.0,71.35,59.97291666666667,0.884100203995605
42,-153.0,-3.825,153.0,72.7,60.86875,0.8814479033836181
43,-151.0,-3.775,151.0,72.35,60.735416666666666,0.8788035596734672
44,-161.0,-4.025,161.0,72.625,60.56458333333333,0.8761671489944468
45,-154.0,-3.85,154.0,72.075,60.4875,0.8735386475474635
46,-159.0,-3.975,159.0,72.1,60.40208333333333,0.8709180316048211
47,-155.0,-3.875,155.0,71.725,60.4125,0.8683052775100066
48,-168.0,-4.2,168.0,74.95,61.264583333333334,0.8657003616774767
49,-153.0,-3.825,153.0,72.25,60.452083333333334,0.8631032605924442
50,-151.0,-3.775,151.0,71.7,60.358333333333334,0.860513950810667
51,-155.0,-3.875,155.0,74.875,61.78958333333333,0.857932408958235
52,-157.0,-3.925,157.0,73.75,61.17916666666667,0.8553586117313603
53,-157.0,-3.925,157.0,72.3,60.62916666666667,0.8527925358961662
54,-151.0,-3.775,151.0,71.275,60.06458333333333,0.8502341582884777
55,-153.0,-3.825,153.0,71.975,60.475,0.8476834558136123
56,-155.0,-3.875,155.0,75.225,61.90625,0.8451404054461714
57,-155.0,-3.875,155.0,72.15,60.50833333333333,0.8426049842298329
58,-155.0,-3.875,155.0,71.9,60.479166666666664,0.8400771692771434
59,-156.0,-3.9,156.0,74.925,61.295833333333334,0.837556937769312
60,-158.0,-3.95,158.0,71.875,60.3125,0.835044266956004
61,-153.0,-3.825,153.0,71.45,60.18125,0.8325391341551359
62,-151.0,-3.775,151.0,72.325,60.49166666666667,0.8300415167526705
63,-155.0,-3.875,155.0,72.95,60.885416666666664,0.8275513922024125
64,-151.0,-3.775,151.0,72.875,60.62708333333333,0.8250687380258053
65,-163.0,-4.075,163.0,72.65,60.50208333333333,0.8225935318117279
66,-159.0,-3.975,159.0,73.15,60.920833333333334,0.8201257512162927
67,-153.0,-3.825,153.0,71.9,60.49583333333333,0.8176653739626438
68,-151.0,-3.775,151.0,71.525,60.17916666666667,0.8152123778407558
69,-161.0,-4.025,161.0,72.65,60.53958333333333,0.8127667407072335
70,-153.0,-3.825,153.0,71.55,60.27291666666667,0.8103284404851119
71,-161.0,-4.025,161.0,71.625,60.08958333333333,0.8078974551636565
72,-157.0,-3.925,157.0,72.85,60.72291666666667,0.8054737627981655
73,-155.0,-3.875,155.0,72.975,60.72083333333333,0.803057341509771
74,-153.0,-3.825,153.0,72.075,60.43541666666667,0.8006481694852418
