episode,total_reward,mean_reward_per_decision,final_waiting,avg_waiting,final_avg_travel_time,epsilon
1,-2881.0,-72.025,153.0,72.025,60.452083333333334,0.997
2,-2868.0,-71.7,153.0,71.7,60.302083333333336,0.994009
3,-2915.0,-72.875,162.0,72.875,60.61666666666667,0.991026973
4,-2925.0,-73.125,161.0,73.125,60.74583333333333,0.988053892081
5,-2884.0,-72.1,151.0,72.1,60.56875,0.985089730404757
6,-3007.0,-75.175,153.0,75.175,62.083333333333336,0.9821344612135428
7,-2953.0,-73.825,151.0,73.825,61.15416666666667,0.9791880578299021
8,-2909.0,-72.725,155.0,72.725,60.81666666666667,0.9762504936564125
9,-2872.0,-71.8,153.0,71.8,60.239583333333336,0.9733217421754432
10,-2861.0,-71.525,155.0,71.525,60.14375,0.9704017769489168
11,-2893.0,-72.325,158.0,72.325,60.53541666666667,0.9674905716180701
12,-2875.0,-71.875,153.0,71.875,60.177083333333336,0.9645880999032158
13,-2934.0,-73.35,165.0,73.35,60.59583333333333,0.9616943356035061
14,-2873.0,-71.825,155.0,71.825,60.42916666666667,0.9588092525966956
15,-2872.0,-71.8,153.0,71.8,60.43333333333333,0.9559328248389055
16,-2942.0,-73.55,154.0,73.55,61.260416666666664,0.9530650263643888
17,-2889.0,-72.225,154.0,72.225,60.50833333333333,0.9502058312852957
18,-2913.0,-72.825,153.0,72.825,60.885416666666664,0.9473552137914398
19,-2885.0,-72.125,157.0,72.125,60.391666666666666,0.9445131481500655
20,-2888.0,-72.2,151.0,72.2,60.44166666666667,0.9416796087056153
21,-2943.0,-73.575,156.0,73.575,61.020833333333336,0.9388545698794984
22,-2864.0,-71.6,151.0,71.6,60.27708333333333,0.93603800616986
23,-2973.0,-74.325,158.0,74.325,61.52291666666667,0.9332298921513504
24,-2909.0,-72.725,155.0,72.725,60.91458333333333,0.9304302024748964
25,-2864.0,-71.6,153.0,71.6,60.34583333333333,0.9276389118674717
26,-2925.0,-73.125,155.0,73.125,61.01875,0.9248559951318693
27,-2907.0,-72.675,155.0,72.675,60.83125,0.9220814271464737
28,-2832.0,-70.8,153.0,70.8,59.87083333333333,0.9193151828650342
29,-2862.0,-71.55,153.0,71.55,60.239583333333336,0.9165572373164391
30,-2867.0,-71.675,157.0,71.675,60.25208333333333,0.9138075656044898
31,-2911.0,-72.775,153.0,72.775,60.87083333333333,0.9110661429076764
32,-2874.0,-71.85,153.0,71.85,60.40208333333333,0.9083329444789534
33,-2917.0,-72.925,159.0,72.925,60.84583333333333,0.9056079456455165
34,-2879.0,-71.975,153.0,71.975,60.4625,0.90289112180858
35,-2875.0,-71.875,153.0,71.875,60.520833333333336,0.9001824484431542
36,-2853.0,-71.325,151.0,71.325,60.04375,0.8974819010978248
37,-2870.0,-71.75,153.0,71.75,60.37916666666667,0.8947894553945313
38,-2833.0,-70.825,153.0,70.825,59.93125,0.8921050870283477
39,-2901.0,-72.525,151.0,72.525,60.739583333333336,0.8894287717672626
40,-2911.0,-72.775,157.0,72.775,60.84583333333333,0.8867604854519608
41,-2879.0,-71.975,154.0,71.975,60.425,0.884100203995605
42,-2883.0,-72.075,155.0,72.075,60.425,0.8814479033836181
43,-2860.0,-71.5,159.0,71.5,60.13333333333333,0.8788035596734672
44,-3022.0,-75.55,159.0,75.55,62.05625,0.8761671489944468
45,-2861.0,-71.525,155.0,71.525,60.264583333333334,0.8735386475474635
46,-2887.0,-72.175,153.0,72.175,60.4375,0.8709180316048211
47,-2937.0,-73.425,151.0,73.425,61.24375,0.8683052775100066
48,-2876.0,-71.9,151.0,71.9,60.425,0.8657003616774767
49,-2888.0,-72.2,151.0,72.2,60.49375,0.8631032605924442
50,-2928.0,-73.2,158.0,73.2,60.74583333333333,0.860513950810667
51,-2879.0,-71.975,157.0,71.975,60.454166666666666,0.857932408958235
52,-2898.0,-72.45,153.0,72.45,60.69166666666667,0.8553586117313603
53,-2855.0,-71.375,153.0,71.375,60.18125,0.8527925358961662
54,-2867.0,-71.675,153.0,71.675,60.25625,0.8502341582884777
55,-2871.0,-71.775,153.0,71.775,60.34583333333333,0.8476834558136123
56,-2867.0,-71.675,155.0,71.675,60.34791666666667,0.8451404054461714
57,-2903.0,-72.575,155.0,72.575,60.65416666666667,0.8426049842298329
58,-2903.0,-72.575,153.0,72.575,60.827083333333334,0.8400771692771434
