episode,total_reward,mean_reward_per_decision,final_waiting,avg_waiting,final_avg_travel_time,epsilon
1,-3146.25,-78.65625,154.0,71.5,60.20625,0.997
2,-3143.199999999999,-78.58,155.0,71.425,60.21666666666667,0.994009
3,-3211.5,-80.2875,159.0,73.05,60.889583333333334,0.991026973
4,-3143.6999999999994,-78.5925,153.0,71.425,60.295833333333334,0.988053892081
5,-3167.7999999999993,-79.195,158.0,72.025,60.3,0.985089730404757
6,-3201.25,-80.03125,151.0,72.8,60.90833333333333,0.9821344612135428
7,-3196.95,-79.92375,155.0,72.7,60.75625,0.9791880578299021
8,-3230.600000000001,-80.76500000000001,157.0,73.5,61.172916666666666,0.9762504936564125
9,-3218.1499999999996,-80.45375,153.0,73.2,61.00833333333333,0.9733217421754432
10,-3202.3499999999995,-80.05875,155.0,72.85,60.641666666666666,0.9704017769489168
11,-3220.899999999999,-80.52250000000001,157.0,73.275,61.041666666666664,0.9674905716180701
12,-3178.3500000000004,-79.45875,156.0,72.275,60.479166666666664,0.9645880999032158
13,-3183.1,-79.57750000000001,155.0,72.375,60.65416666666667,0.9616943356035061
14,-3159.3,-78.9825,151.0,71.8,60.46041666666667,0.9588092525966956
15,-3187.85,-79.69624999999999,164.0,72.525,60.35,0.9559328248389055
16,-3196.0000000000005,-79.9,151.0,72.675,60.775,0.9530650263643888
17,-3210.7000000000003,-80.2675,155.0,73.025,60.90208333333333,0.9502058312852957
18,-3337.4500000000003,-83.43625,153.0,76.025,62.30833333333333,0.9473552137914398
19,-3182.2,-79.55499999999999,157.0,72.375,60.43125,0.9445131481500655
20,-3151.25,-78.78125,154.0,71.625,60.21458333333333,0.9416796087056153
21,-3210.95,-80.27374999999999,153.0,73.0,61.15416666666667,0.9388545698794984
22,-3179.8500000000004,-79.49625,151.0,72.3,60.614583333333336,0.93603800616986
23,-3147.95,-78.69874999999999,153.0,71.55,60.204166666666666,0.9332298921513504
24,-3208.35,-80.20875,154.0,72.975,60.88333333333333,0.9304302024748964
25,-3157.7999999999997,-78.945,155.0,71.775,60.37291666666667,0.9276389118674717
26,-3237.2999999999997,-80.9325,153.0,73.65,61.31458333333333,0.9248559951318693
