episode,total_reward,mean_reward_per_decision,final_waiting,avg_waiting,final_avg_travel_time,epsilon
1,-3438.2999999999997,-85.95750000000001,153.0,71.6,60.44583333333333,0.997
2,-3834.8,-95.87,161.0,80.675,63.74583333333333,0.994009
3,-3523.9999999999995,-88.1,153.0,73.5,61.46458333333333,0.991026973
4,-3511.6999999999994,-87.7925,160.0,73.3,60.89791666666667,0.988053892081
5,-3435.399999999999,-85.885,153.0,71.575,60.239583333333336,0.985089730404757
6,-3451.2,-86.28,151.0,71.875,60.55833333333333,0.9821344612135428
7,-3459.8,-86.495,151.0,72.15,60.41458333333333,0.9791880578299021
8,-3468.1,-86.7025,157.0,72.3,60.65,0.9762504936564125
9,-3581.4,-89.535,155.0,74.8,61.92916666666667,0.9733217421754432
10,-3519.4,-87.985,155.0,73.45,61.11875,0.9704017769489168
11,-3451.599999999999,-86.28999999999999,151.0,71.95,60.3625,0.9674905716180701
12,-3432.5,-85.8125,153.0,71.5,60.2375,0.9645880999032158
13,-3521.1,-88.0275,153.0,73.475,61.31666666666667,0.9616943356035061
14,-3440.9000000000005,-86.02250000000001,155.0,71.7,60.28541666666667,0.9588092525966956
15,-3460.7999999999997,-86.52,161.0,72.2,60.27708333333333,0.9559328248389055
16,-3471.3000000000006,-86.7825,151.0,72.375,60.63333333333333,0.9530650263643888
17,-3475.1999999999994,-86.88,153.0,72.55,60.260416666666664,0.9502058312852957
18,-3524.3999999999996,-88.11,155.0,73.525,61.34375,0.9473552137914398
19,-3431.2000000000003,-85.78,157.0,71.5,60.09791666666667,0.9445131481500655
20,-3462.3000000000006,-86.5575,153.0,72.175,60.56875,0.9416796087056153
21,-3548.0999999999995,-88.7025,156.0,74.075,61.425,0.9388545698794984
22,-3469.6,-86.73999999999998,153.0,72.35,60.53541666666667,0.93603800616986
23,-3495.600000000001,-87.39,161.0,72.925,60.86875,0.9332298921513504
24,-3606.8,-90.17,158.0,75.35,62.264583333333334,0.9304302024748964
25,-3477.2999999999993,-86.9325,151.0,72.525,60.63333333333333,0.9276389118674717
26,-3453.9000000000005,-86.3475,153.0,71.975,60.4875,0.9248559951318693
27,-3426.0000000000005,-85.65,153.0,71.375,60.075,0.9220814271464737
28,-3521.7000000000003,-88.04249999999999,153.0,73.5,61.197916666666664,0.9193151828650342
29,-3447.5,-86.1875,151.0,71.9,60.10208333333333,0.9165572373164391
30,-3501.0000000000005,-87.525,151.0,73.075,60.78958333333333,0.9138075656044898
31,-3410.6999999999994,-85.26750000000001,151.0,71.0,60.05625,0.9110661429076764
32,-3466.3,-86.6575,153.0,72.3,60.416666666666664,0.9083329444789534
33,-3505.6,-87.64,151.0,73.15,60.989583333333336,0.9056079456455165
34,-3497.2000000000003,-87.42999999999999,151.0,72.975,60.8375,0.90289112180858
35,-3474.6,-86.86500000000001,153.0,72.475,60.59375,0.9001824484431542
36,-3494.3999999999996,-87.35999999999999,159.0,73.0,60.33125,0.8974819010978248
37,-3446.7000000000003,-86.1675,153.0,71.8,60.489583333333336,0.8947894553945313
38,-3508.2,-87.705,153.0,73.175,61.06458333333333,0.8921050870283477
39,-3484.1,-87.1025,151.0,72.7,60.57083333333333,0.8894287717672626
40,-3488.3,-87.20750000000001,153.0,72.775,60.72291666666667,0.8867604854519608
41,-3466.7999999999997,-86.67,156.0,72.275,60.56666666666667,0.884100203995605
42,-3425.0000000000005,-85.625,153.0,71.35,60.09375,0.8814479033836181
43,-3497.2,-87.42999999999999,153.0,73.0,60.766666666666666,0.8788035596734672
44,-3527.7000000000003,-88.1925,151.0,73.6,61.389583333333334,0.8761671489944468
45,-3430.9999999999995,-85.775,151.0,71.45,60.27291666666667,0.8735386475474635
46,-3479.2000000000003,-86.98,159.0,72.575,60.65833333333333,0.8709180316048211
47,-3472.500000000001,-86.8125,151.0,72.375,60.85,0.8683052775100066
48,-3440.8,-86.02000000000001,155.0,71.7,60.25833333333333,0.8657003616774767
49,-3425.3,-85.6325,153.0,71.325,60.24166666666667,0.8631032605924442
50,-3473.9999999999995,-86.85,159.0,72.475,60.52916666666667,0.860513950810667
51,-3545.3000000000006,-88.63250000000001,165.0,74.15,60.958333333333336,0.857932408958235
52,-3454.2,-86.35499999999999,156.0,72.0,60.44166666666667,0.8553586117313603
53,-3503.1999999999994,-87.58,153.0,73.075,61.02708333333333,0.8527925358961662
54,-3489.8,-87.245,157.0,72.8,60.80833333333333,0.8502341582884777
55,-3588.5,-89.7125,151.0,75.0,61.8125,0.8476834558136123
56,-3431.2,-85.78,158.0,71.5,60.14791666666667,0.8451404054461714
57,-3446.9,-86.1725,154.0,71.825,60.37291666666667,0.8426049842298329
58,-3641.2000000000003,-91.03,153.0,76.125,62.66458333333333,0.8400771692771434
59,-3441.1000000000004,-86.0275,151.0,71.675,60.425,0.837556937769312
60,-3535.9,-88.3975,153.0,73.775,61.479166666666664,0.835044266956004
61,-3438.1000000000004,-85.95250000000001,153.0,71.625,60.302083333333336,0.8325391341551359
62,-3423.5000000000005,-85.5875,153.0,71.325,60.045833333333334,0.8300415167526705
63,-3447.3,-86.1825,153.0,71.825,60.40416666666667,0.8275513922024125
64,-3446.5,-86.1625,155.0,71.825,60.31666666666667,0.8250687380258053
65,-3439.9000000000005,-85.9975,155.0,71.7,60.12916666666667,0.8225935318117279
66,-3506.9,-87.67249999999999,153.0,73.2,60.95625,0.8201257512162927
67,-3517.8000000000006,-87.94500000000001,155.0,73.4,61.18125,0.8176653739626438
68,-3592.7,-89.81750000000001,160.0,75.125,61.74166666666667,0.8152123778407558
69,-3535.1,-88.37750000000001,161.0,73.825,61.204166666666666,0.8127667407072335
70,-3451.2999999999997,-86.2825,156.0,71.95,60.260416666666664,0.8103284404851119
71,-3512.1999999999994,-87.80499999999999,154.0,73.275,61.15,0.8078974551636565
72,-3541.4999999999995,-88.5375,155.0,73.95,61.39791666666667,0.8054737627981655
73,-3454.6,-86.36500000000001,153.0,71.975,60.514583333333334,0.803057341509771
74,-3445.0,-86.125,153.0,71.775,60.40416666666667,0.8006481694852418
75,-3520.5,-88.0125,153.0,73.45,61.166666666666664,0.798246224976786
76,-3450.7000000000003,-86.2675,161.0,71.975,60.23125,0.7958514863018556
77,-3519.0999999999995,-87.9775,157.0,73.45,61.083333333333336,0.79346393184295
78,-3504.6000000000004,-87.615,151.0,73.125,61.01875,0.7910835400474212
79,-3552.7999999999993,-88.82,157.0,74.2,61.483333333333334,0.7887102894272789
80,-3535.5,-88.3875,167.0,73.925,60.84583333333333,0.7863441585589971
81,-3530.4999999999995,-88.2625,153.0,73.7,61.233333333333334,0.78398512608332
82,-3598.9,-89.9725,153.0,75.25,61.88333333333333,0.7816331707050701
83,-3527.3,-88.1825,161.0,73.675,61.03125,0.7792882711929549
84,-3734.9999999999995,-93.375,168.0,78.4,62.91458333333333,0.776950406379376
85,-3527.7000000000003,-88.1925,160.0,73.775,60.59375,0.7746195551602378
86,-3479.5,-86.9875,152.0,72.6,60.52916666666667,0.7722956964947572
87,-3437.3999999999996,-85.93500000000002,155.0,71.625,60.24791666666667,0.7699788094052729
88,-3563.5,-89.0875,153.0,74.45,61.45625,0.767668872977057
89,-3578.0,-89.45,159.0,74.875,61.19583333333333,0.7653658663581259
90,-3446.100000000001,-86.1525,153.0,71.8,60.43541666666667,0.7630697687590515
91,-3534.3000000000006,-88.35749999999999,156.0,73.825,61.16041666666667,0.7607805594527743
